timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777292801.814501286,-0.014113,0.021576,1777292801.814501286,0.000000,0.000000,0.025781
1777292801.864510298,-0.014113,0.021576,1777292801.844520330,-0.000012,0.000032,0.025748
1777292801.914347172,-0.014113,0.021576,1777292801.844520330,-0.000012,0.000032,0.025748
1777292801.964375019,-0.014113,0.021576,1777292801.994508743,0.000013,-0.000008,0.025795
1777292802.014378548,-0.014113,0.021576,1777292802.014478922,0.000040,-0.000051,0.025846
1777292802.064506054,-0.019127,0.023346,1777292802.054508448,0.000056,-0.000031,0.030240
1777292802.114409685,-0.017197,0.018645,1777292802.084493876,0.000007,0.000080,0.025311
1777292802.164348602,-0.017197,0.018645,1777292802.084493876,0.000007,0.000080,0.025311
1777292802.214363098,-0.017197,0.018645,1777292802.244513988,0.000030,0.000048,0.025350
1777292802.264379025,-0.017197,0.018645,1777292802.254685163,0.000028,-0.000004,0.025387
1777292802.314515829,-0.018379,0.023572,1777292802.314497232,0.000031,0.000078,0.029848
1777292802.364424944,-0.018379,0.023572,1777292802.354497194,-0.000001,0.000062,0.029841
1777292802.414351940,-0.018379,0.023572,1777292802.354497194,-0.000001,0.000062,0.029841
1777292802.464339733,-0.018379,0.023572,1777292802.504560232,0.000019,0.000042,0.029869
1777292802.514364958,-0.018379,0.023572,1777292802.504710197,0.000011,0.000078,0.029835
1777292802.564418077,-0.015706,0.022113,1777292802.554502249,0.000015,0.000004,0.027129
1777292802.614381313,-0.015706,0.022113,1777292802.584491968,-0.000001,0.000073,0.027064
1777292802.664342642,-0.015706,0.022113,1777292802.584491968,-0.000001,0.000073,0.027064
1777292802.714346170,-0.015706,0.022113,1777292802.754519224,0.000008,0.000009,0.027121
1777292802.764369011,-0.015706,0.022113,1777292802.764497757,0.000028,0.000014,0.027129
1777292802.814376593,-0.018002,0.022953,1777292802.824490309,0.000027,0.000005,0.029183
1777292802.864379406,-0.018002,0.022953,1777292802.824490309,0.000027,0.000005,0.029183
1777292802.914335012,-0.018002,0.022953,1777292802.824490309,0.000027,0.000005,0.029183
1777292802.964376688,-0.018002,0.022953,1777292803.004486322,-0.000001,0.000043,0.029136
1777292803.014353037,-0.018002,0.022953,1777292803.014484167,-0.000011,0.000019,0.029149
1777292803.064480066,-0.019030,0.022330,1777292803.054476261,0.000013,-0.000007,0.029353
1777292803.114413500,-0.019030,0.022330,1777292803.094492674,-0.000010,0.000064,0.029284
1777292803.164375305,-0.019030,0.022330,1777292803.094492674,-0.000010,0.000064,0.029284
1777292803.214378595,-0.019030,0.022330,1777292803.254508018,-0.000007,0.000044,0.029302
1777292803.264352560,-0.019030,0.022330,1777292803.264492035,0.000041,-0.000003,0.029368
1777292803.314433336,-0.017106,0.021549,1777292803.304504156,0.000062,0.000020,0.027537
1777292803.364428520,-0.017106,0.021549,1777292803.354493380,0.000029,-0.000017,0.027545
1777292803.414353371,-0.017106,0.021549,1777292803.354493380,0.000029,-0.000017,0.027545
1777292803.464347363,-0.017106,0.021549,1777292803.504484415,-0.000001,0.000049,0.027475
1777292803.514368534,-0.017106,0.021549,1777292803.504652977,0.000021,-0.000011,0.027536
1777292803.564446449,-0.013796,0.024400,1777292803.564479589,-0.000013,0.000053,0.027978
1777292803.614402771,-0.013796,0.024400,1777292803.594491720,-0.000005,0.000079,0.027959
