timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777296810.173035860,0.188545,-0.068153,1777296810.173035860,0.000000,0.000000,0.200484
1777296810.223049164,0.188545,-0.068153,1777296810.233033419,0.000002,0.000045,0.200498
1777296810.272976875,0.189480,-0.068379,1777296810.263043642,0.000024,-0.000158,0.201364
1777296810.481027126,0.189480,-0.068379,1777296810.483033895,-0.000016,-0.000049,0.201439
1777296810.322991133,0.189480,-0.068379,1777296810.323058605,0.000012,0.000023,0.201437
1777296810.531031132,0.189480,-0.068379,1777296810.523020744,-0.000095,-0.000016,0.201524
1777296810.372961521,0.189480,-0.068379,1777296810.373058081,-0.000152,-0.000036,0.201571
1777296810.423012018,0.188439,-0.068528,1777296810.423094511,0.000051,-0.000017,0.200459
1777296810.472988844,0.188439,-0.068528,1777296810.463040829,-0.000038,0.000041,0.200562
1777296810.681036472,0.188439,-0.068528,1777296810.683099508,0.000106,-0.000020,0.200406
1777296810.522983074,0.188888,-0.068204,1777296810.523020744,-0.000095,-0.000016,0.200908
1777296810.572978973,0.188888,-0.068204,1777296810.573063135,-0.000039,0.000107,0.200897
1777296810.622989416,0.188888,-0.068204,1777296810.623053312,-0.000039,-0.000038,0.200848
1777296810.673008442,0.188048,-0.068082,1777296810.673039436,0.000017,-0.000021,0.199969
1777296810.881026745,0.188048,-0.068082,1777296810.883034229,0.000031,0.000087,0.199992
1777296810.723076105,0.188048,-0.068082,1777296810.713063240,0.000053,-0.000092,0.199911
1777296810.772955179,0.188268,-0.067757,1777296810.773041487,-0.000015,0.000104,0.200139
1777296810.823024750,0.188268,-0.067757,1777296810.823051929,-0.000022,0.000077,0.200137
1777296811.031024933,0.188268,-0.067757,1777296811.023080349,0.000022,-0.000127,0.200026
1777296810.872981071,0.188268,-0.067757,1777296810.873072624,0.000003,-0.000008,0.200084
1777296811.081049204,0.188268,-0.067757,1777296811.083012104,0.000014,-0.000011,0.200073
1777296810.923003197,0.188798,-0.067693,1777296810.933067560,0.000027,-0.000024,0.200533
1777296810.972981691,0.188798,-0.067693,1777296810.963040352,0.000065,0.000013,0.200509
1777296811.022984505,0.189142,-0.068886,1777296811.023080349,0.000022,-0.000127,0.201231
1777296811.231026173,0.189142,-0.068886,1777296811.243100166,0.000019,0.000014,0.201282
1777296811.073005915,0.189142,-0.068975,1777296811.083012104,0.000014,-0.000011,0.201309
1777296811.123007059,0.189142,-0.068975,1777296811.113076448,0.000004,-0.000078,0.201296
1777296811.173131943,0.188649,-0.068001,1777296811.183031321,-0.000033,-0.000023,0.200555
1777296811.381021976,0.188649,-0.068001,1777296811.363126040,-0.000012,-0.000018,0.200536
1777296811.223074913,0.188649,-0.068001,1777296811.213106871,-0.000030,0.000025,0.200568
1777296811.431036472,0.188649,-0.068001,1777296811.423222065,-0.000081,0.000015,0.200612
1777296811.273360729,0.188640,-0.068084,1777296811.273330927,0.000038,0.000047,0.200531
1777296811.323150873,0.188641,-0.068081,1777296811.333029270,-0.000031,0.000000,0.200580
1777296811.372892857,0.188640,-0.068084,1777296811.363126040,-0.000012,-0.000018,0.200556
1777296811.581049204,0.188640,-0.068084,1777296811.583042145,0.000000,0.000010,0.200554
1777296811.423072577,0.189534,-0.068051,1777296811.423222065,-0.000081,0.000015,0.201462
1777296811.631048918,0.189534,-0.068051,1777296811.643060207,0.000047,0.000129,0.201381
1777296811.473115444,0.189534,-0.068051,1777296811.493026018,-0.000039,-0.000118,0.201378
1777296811.523056984,0.188815,-0.068320,1777296811.523057222,-0.000069,0.000058,0.200880
1777296811.573108435,0.188815,-0.068320,1777296811.583042145,0.000000,0.000010,0.200799
1777296811.781031370,0.188815,-0.068320,1777296811.783030748,-0.000009,0.000184,0.200867
1777296811.623102665,0.188815,-0.068320,1777296811.613073587,0.000014,0.000026,0.200791
1777296811.673018456,0.188809,-0.068292,1777296811.673038960,0.000055,-0.000011,0.200724
1777296811.723102808,0.188809,-0.068292,1777296811.723036766,0.000041,0.000002,0.200742
1777296811.931029558,0.188809,-0.068292,1777296811.933037996,0.000043,-0.000016,0.200734
1777296811.773048639,0.188722,-0.068336,1777296811.783030748,-0.000009,0.000184,0.200784
1777296811.981027126,0.188722,-0.068336,1777296811.983028412,0.000082,-0.000048,0.200619
1777296811.823134422,0.188722,-0.068336,1777296811.833050728,-0.000014,-0.000006,0.200724
1777296811.873141527,0.188722,-0.068336,1777296811.873025417,-0.000024,0.000097,0.200769
1777296811.922904491,0.188472,-0.068280,1777296811.923326969,0.000028,-0.000038,0.200419
1777296812.131028414,0.188472,-0.068280,1777296812.123133659,-0.000083,0.000099,0.200571
1777296811.973068953,0.188472,-0.068280,1777296811.973316669,0.000057,-0.000026,0.200396
1777296812.181024313,0.188472,-0.068280,1777296812.183099747,0.000065,-0.000068,0.200374
1777296812.023141384,0.188504,-0.068125,1777296812.033025503,0.000052,-0.000089,0.200357
1777296812.073132038,0.188504,-0.068125,1777296812.073027849,-0.000013,0.000024,0.200456
1777296812.123081446,0.188504,-0.068125,1777296812.123133659,-0.000083,0.000099,0.200548
1777296812.331042290,0.188504,-0.068125,1777296812.323025703,-0.000066,0.000008,0.200501
1777296812.172905922,0.188411,-0.067846,1777296812.173148394,0.000050,0.000122,0.200249
1777296812.223063707,0.188411,-0.067846,1777296812.213035583,0.000090,-0.000017,0.200164
1777296812.272964001,0.188880,-0.067818,1777296812.263119221,0.000034,-0.000023,0.200647
1777296812.481023312,0.188880,-0.067818,1777296812.483121157,0.000021,-0.000188,0.200603
1777296812.323108435,0.188880,-0.067818,1777296812.323025703,-0.000066,0.000008,0.200751
1777296812.531031132,0.188880,-0.067818,1777296812.523150921,0.000093,0.000048,0.200615
1777296812.373100996,0.188880,-0.067818,1777296812.373080730,-0.000004,-0.000011,0.200686
1777296812.423112392,0.189189,-0.068733,1777296812.413192987,0.000027,-0.000090,0.201232
1777296812.473108530,0.189056,-0.069141,1777296812.463168144,0.000008,-0.000165,0.201238
1777296812.681030035,0.189056,-0.069141,1777296812.683078289,0.000021,0.000085,0.201312
1777296812.523147345,0.189056,-0.069141,1777296812.523150921,0.000093,0.000048,0.201231
1777296812.573355436,0.188635,-0.068390,1777296812.573102474,0.000092,0.000050,0.200581
1777296812.623081923,0.188635,-0.068390,1777296812.623144150,0.000058,-0.000064,0.200574
1777296812.831027269,0.188635,-0.068390,1777296812.833110571,0.000114,0.000027,0.200552
1777296812.673126221,0.188511,-0.068381,1777296812.663387060,-0.000001,0.000026,0.200540
1777296812.881039381,0.188511,-0.068381,1777296812.863121986,0.000089,0.000018,0.200453
1777296812.723099947,0.188511,-0.068381,1777296812.723111629,0.000071,0.000047,0.200479
1777296812.773127317,0.188729,-0.068268,1777296812.773231506,0.000050,-0.000095,0.200617
1777296812.823116779,0.188729,-0.068268,1777296812.833110571,0.000114,0.000027,0.200599
1777296813.031025648,0.188729,-0.068268,1777296813.023323059,-0.000010,-0.000148,0.200656
1777296812.873100281,0.188729,-0.068268,1777296812.863121986,0.000089,0.000018,0.200620
1777296813.081040859,0.188729,-0.068268,1777296813.083102226,0.000066,-0.000041,0.200621
1777296812.923150063,0.188910,-0.068460,1777296812.933176041,0.000060,0.000084,0.200905
1777296812.973110676,0.188910,-0.068460,1777296812.963545322,-0.000034,0.000183,0.201026
1777296813.023073435,0.188665,-0.068544,1777296813.023323059,-0.000010,-0.000148,0.200690
1777296813.231041431,0.188665,-0.068544,1777296813.243034363,0.000031,0.000043,0.200716
1777296813.073094130,0.188666,-0.068544,1777296813.083102226,0.000066,-0.000041,0.200655
1777296813.123126030,0.188665,-0.068544,1777296813.113316059,0.000010,-0.000048,0.200705
1777296813.172903776,0.188497,-0.068349,1777296813.173103809,0.000008,0.000027,0.200508
1777296813.381034851,0.188497,-0.068349,1777296813.393347502,0.000125,-0.000034,0.200377
1777296813.222900629,0.188497,-0.068349,1777296813.213325262,0.000054,-0.000112,0.200417
1777296813.431007862,0.188497,-0.068349,1777296813.423125505,0.000254,0.000021,0.200274
1777296813.272888660,0.188321,-0.068069,1777296813.273025274,0.000052,0.000033,0.200208
1777296813.323120832,0.188321,-0.068069,1777296813.333023548,-0.000031,0.000047,0.200290
1777296813.373351574,0.188321,-0.068069,1777296813.363027811,0.000034,0.000014,0.200219
1777296813.581063509,0.188321,-0.068069,1777296813.583026648,0.002363,-0.001889,0.197384
1777296813.423109770,0.188808,-0.068920,1777296813.423125505,0.000254,0.000021,0.200762
1777296813.472897530,0.188808,-0.068920,1777296813.483496666,0.000257,0.000143,0.200802
1777296813.522921324,0.189561,-0.067831,1777296813.523108721,0.002431,-0.001896,0.198406
1777296813.572903156,0.189561,-0.067831,1777296813.583026648,0.002363,-0.001889,0.198473
1777296813.781042576,0.189561,-0.067831,1777296813.783041477,0.008271,-0.003647,0.192316
1777296813.623145819,0.189561,-0.067831,1777296813.613027573,0.003952,-0.001933,0.196959
1777296813.673075199,0.191320,-0.068118,1777296813.673025608,0.006371,-0.003867,0.195792
1777296813.722903252,0.191320,-0.068118,1777296813.723330021,0.007610,-0.003683,0.194683
1777296813.931029320,0.191320,-0.068118,1777296813.933027029,0.008666,-0.005654,0.193040
1777296813.772984266,0.193440,-0.067906,1777296813.763107061,0.008415,-0.003790,0.195819
1777296813.981039524,0.193440,-0.067906,1777296813.983027935,0.011842,-0.006504,0.191698
1777296813.822898626,0.193440,-0.067906,1777296813.813024282,0.006225,-0.003755,0.197901
1777296813.872899532,0.193440,-0.067906,1777296813.873028755,0.004760,-0.005356,0.198777
1777296813.922899008,0.198553,-0.068377,1777296813.923024893,0.009194,-0.004335,0.199895
1777296814.131475210,0.198553,-0.068377,1777296814.123029470,0.016459,-0.004471,0.192982
1777296813.972897530,0.198020,-0.069256,1777296813.963025331,0.010855,-0.006111,0.197530
1777296814.023095608,0.203689,-0.067868,1777296814.033073664,0.015871,-0.004490,0.198223
1777296814.072898388,0.203689,-0.067868,1777296814.083015680,0.016437,-0.004424,0.197707
1777296814.281043530,0.203689,-0.067868,1777296814.273028374,0.025581,-0.004987,0.188882
1777296814.122899055,0.203689,-0.067868,1777296814.123029470,0.016459,-0.004471,0.197672
1777296814.331028461,0.203689,-0.067868,1777296814.323025942,0.027701,-0.005634,0.186667
1777296814.172911167,0.210935,-0.068175,1777296814.173024654,0.019517,-0.004682,0.201674
1777296814.222894430,0.210935,-0.068175,1777296814.213031530,0.021450,-0.004784,0.199808
1777296814.272907734,0.210935,-0.068175,1777296814.273028374,0.025581,-0.004987,0.195829
1777296814.481043816,0.210935,-0.068175,1777296814.483027935,0.037185,-0.007360,0.184086
1777296814.322896719,0.218129,-0.068412,1777296814.323025942,0.027701,-0.005634,0.200509
1777296814.531045198,0.218129,-0.068412,1777296814.523027182,0.042044,-0.005706,0.186917
1777296814.372902632,0.218129,-0.068412,1777296814.373027325,0.025591,-0.006548,0.202232
1777296814.422898293,0.225770,-0.067929,1777296814.413028002,0.034868,-0.005406,0.200880
1777296814.472922564,0.225770,-0.067929,1777296814.463028193,0.035751,-0.007467,0.199407
1777296814.681050539,0.225770,-0.067929,1777296814.683037281,0.052356,-0.006241,0.184060
1777296814.523151875,0.225770,-0.067929,1777296814.523027182,0.042044,-0.005706,0.193977
1777296814.573150158,0.233727,-0.067811,1777296814.573027611,0.045487,-0.006097,0.198098
1777296814.623059511,0.233727,-0.067811,1777296814.623342991,0.048770,-0.006628,0.194813
1777296814.831058979,0.233727,-0.067811,1777296814.833026886,0.066132,-0.007464,0.178128
1777296814.672903538,0.243901,-0.067849,1777296814.683037281,0.052356,-0.006241,0.201209
1777296814.881040812,0.243901,-0.067849,1777296814.893026352,0.072577,-0.007533,0.181631
1777296814.722897291,0.243846,-0.068020,1777296814.713171959,0.055061,-0.006917,0.198427
1777296814.772892952,0.243846,-0.068020,1777296814.773027420,0.060676,-0.006550,0.193209
1777296814.822895050,0.255105,-0.067782,1777296814.833026886,0.066132,-0.007464,0.198366
1777296815.031035185,0.255105,-0.067782,1777296815.023027420,0.082764,-0.008133,0.182372
1777296814.872897863,0.255105,-0.067782,1777296814.863027096,0.069536,-0.007358,0.195158
1777296814.922895432,0.266174,-0.067566,1777296814.923026085,0.073995,-0.007767,0.201267
1777296814.972897053,0.266174,-0.067566,1777296814.983025074,0.079374,-0.007644,0.196176
1777296815.023140669,0.266174,-0.067566,1777296815.023027420,0.082764,-0.008133,0.192799
1777296815.231098652,0.266174,-0.067566,1777296815.233116150,0.103259,-0.009352,0.173003
1777296815.073077679,0.277991,-0.067847,1777296815.083009720,0.087741,-0.008279,0.199358
1777296815.123061657,0.277991,-0.067847,1777296815.113323450,0.091587,-0.008645,0.195580
1777296815.173064709,0.290316,-0.067961,1777296815.173114061,0.097870,-0.008702,0.201362
1777296815.381052971,0.290316,-0.067961,1777296815.373243332,0.119955,-0.010343,0.179841
1777296815.222894430,0.290316,-0.067961,1777296815.223119974,0.101247,-0.009466,0.197910
1777296815.431051016,0.290316,-0.067961,1777296815.433111906,0.124804,-0.010336,0.175257
1777296815.273066282,0.290316,-0.067961,1777296815.283027887,0.109367,-0.009289,0.190223
1777296815.323099136,0.304234,-0.067523,1777296815.293025494,0.110908,-0.009673,0.201796
