timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1776790078.862804174,-0.023827,0.090256,1776790078.862804174,0.000000,0.000000,0.093348
1776790079.082660198,-0.023065,0.090303,1776790079.092645168,0.000026,-0.000031,0.093238
1776790079.132600784,-0.022945,0.090102,1776790079.132776976,0.000006,-0.000018,0.092996
1776790079.182597876,-0.022839,0.089924,1776790079.182596922,-0.000011,-0.000005,0.092782
1776790079.232720852,-0.023317,0.090363,1776790079.232598305,0.000003,0.000011,0.093312
1776790079.283004999,-0.023933,0.090785,1776790079.282709599,-0.000023,0.000029,0.093853
1776790079.332697868,-0.024494,0.091166,1776790079.323002338,0.000003,0.000022,0.094379
1776790079.382690668,-0.024878,0.091129,1776790079.372993708,0.000014,-0.000044,0.094510
1776790079.432591677,-0.024699,0.090861,1776790079.442800283,-0.000028,0.000072,0.094081
1776790079.482931852,-0.022302,0.091008,1776790079.492776155,0.000033,-0.000027,0.093734
1776790079.532808304,-0.021000,0.091187,1776790079.522808313,0.000005,0.000001,0.093575
1776790079.582696676,-0.019994,0.091355,1776790079.582768917,0.000000,0.000013,0.093505
1776790079.632713318,-0.019780,0.090845,1776790079.622626305,0.000010,0.000031,0.092946
1776790079.682656288,-0.020186,0.090575,1776790079.682636738,0.000002,-0.000024,0.092821
1776790079.732758284,-0.020565,0.090325,1776790079.742612123,0.000015,0.000036,0.092605
1776790079.782701731,-0.022869,0.090443,1776790079.772641897,0.000005,0.000005,0.093285
1776790079.832741261,-0.024471,0.090700,1776790079.832889080,-0.000002,0.000049,0.093895
1776790079.882674694,-0.025700,0.090530,1776790079.892693520,0.000033,0.000005,0.094111
1776790079.932682514,-0.024516,0.090463,1776790079.932631493,0.000020,0.000009,0.093723
1776790079.982670069,-0.023272,0.090411,1776790079.992651939,0.000021,0.000008,0.093355
1776790080.032705069,-0.023013,0.090020,1776790080.022633553,0.000036,0.000027,0.092898
1776790080.082668543,-0.022878,0.089791,1776790080.082890987,0.000046,-0.000037,0.092707
1776790080.132580280,-0.023451,0.090482,1776790080.142703772,0.000027,0.000041,0.093438
1776790080.182572365,-0.022119,0.090808,1776790080.172810316,0.000015,0.000078,0.093391
1776790080.232583523,-0.019368,0.091177,1776790080.242788792,0.000047,0.000040,0.093182
1776790080.282574892,-0.018728,0.091232,1776790080.272758245,0.000036,0.000023,0.093119
1776790080.332618952,-0.018124,0.091286,1776790080.332679749,0.000026,0.000031,0.093042
1776790080.382597923,-0.017632,0.091349,1776790080.372803211,0.000049,0.000037,0.093008
1776790080.432790279,-0.017100,0.091250,1776790080.442782164,0.000036,-0.000033,0.092878
1776790080.482568502,-0.018451,0.091250,1776790080.482751846,0.000041,0.000001,0.093104
1776790080.532587767,-0.017812,0.091783,1776790080.532632351,0.001282,0.000053,0.093696
1776790080.582571268,-0.017203,0.092280,1776790080.582791090,0.002497,0.003379,0.091058
1776790080.632612467,-0.016532,0.092749,1776790080.622614861,0.003896,0.001901,0.093116
1776790080.682597399,-0.012675,0.092641,1776790080.672601700,0.005407,0.001207,0.093205
1776790080.732608557,-0.009594,0.092701,1776790080.732630491,0.007951,0.001295,0.093075
1776790080.782550097,-0.009566,0.092335,1776790080.782633781,0.009317,0.001125,0.093144
