timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777292802.014478922,-0.019418,0.022230,1777292802.014478922,0.000000,0.000000,0.029516
1777292802.364484787,-0.021157,0.019038,1777292802.354497194,-0.000041,0.000113,0.028356
1777292802.584606886,-0.021179,0.019039,1777292802.584491968,-0.000041,0.000124,0.028365
1777292802.634615660,-0.018954,0.018706,1777292802.584491968,-0.000041,0.000124,0.026514
1777292802.684452534,-0.020619,0.019214,1777292802.754519224,-0.000032,0.000060,0.028119
1777292802.734480381,-0.021298,0.019409,1777292802.754519224,-0.000032,0.000060,0.028751
1777292802.784483910,-0.021907,0.019583,1777292802.794476748,-0.000022,0.000027,0.029349
1777292802.834611416,-0.021923,0.019583,1777292802.824490309,-0.000013,0.000056,0.029348
1777292802.884515047,-0.023779,0.020068,1777292802.824490309,-0.000013,0.000056,0.031069
1777292802.934453964,-0.023774,0.019619,1777292803.004486322,-0.000041,0.000094,0.030732
1777292802.984468460,-0.023807,0.019250,1777292803.004486322,-0.000041,0.000094,0.030525
1777292803.034484386,-0.023837,0.018913,1777292803.044475555,-0.000036,0.000081,0.030350
1777292803.084620953,-0.023875,0.018914,1777292803.094492674,-0.000050,0.000115,0.030348
1777292803.134530306,-0.025271,0.020262,1777292803.094492674,-0.000050,0.000115,0.032281
1777292803.184457302,-0.025944,0.020906,1777292803.254508018,-0.000047,0.000094,0.033223
1777292803.234445095,-0.026571,0.021500,1777292803.254508018,-0.000047,0.000094,0.034084
1777292803.284470320,-0.027157,0.022048,1777292803.274495125,-0.000001,0.000058,0.034943
1777292803.334523678,-0.027247,0.022050,1777292803.334499836,-0.000001,-0.000013,0.035059
1777292803.384486675,-0.026532,0.021457,1777292803.354493380,-0.000011,0.000034,0.034093
1777292803.434447765,-0.026194,0.021149,1777292803.504484415,-0.000041,0.000100,0.033572
1777292803.484451532,-0.025874,0.020862,1777292803.504484415,-0.000041,0.000100,0.033142
1777292803.534474134,-0.025570,0.020596,1777292803.534476280,-0.000027,0.000108,0.032745
1777292803.584481955,-0.025613,0.020597,1777292803.584482193,-0.000047,0.000110,0.032762
