timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777296810.593036175,-0.032618,0.005329,1777296810.593036175,0.000000,0.000000,0.033050
1777296810.642954826,-0.032618,0.005329,1777296810.633048534,0.000006,-0.000177,0.033085
1777296810.692972898,-0.032618,0.005329,1777296810.683099508,0.000134,-0.000135,0.033205
1777296810.742980719,-0.032618,0.005329,1777296810.763039589,0.000087,-0.000152,0.033161
1777296810.793065310,-0.032618,0.005329,1777296810.793049335,-0.000083,-0.000118,0.032988
1777296810.843031406,-0.032618,0.005329,1777296810.833057880,0.000039,-0.000159,0.033114
1777296810.893019199,-0.032618,0.005329,1777296810.883034229,0.000059,-0.000028,0.033113
1777296810.943037271,-0.032618,0.005329,1777296810.933067560,0.000055,-0.000139,0.033127
1777296810.993038416,-0.032618,0.005329,1777296810.993060827,0.000107,-0.000093,0.033171
1777296811.043068886,-0.032618,0.005329,1777296811.053030729,0.000030,-0.000031,0.033084
1777296811.093030930,-0.032618,0.005329,1777296811.083012104,0.000042,-0.000125,0.033112
1777296811.142971039,-0.032618,0.005329,1777296811.143145800,-0.000083,-0.000209,0.033003
1777296811.192953587,-0.032618,0.005329,1777296811.183031321,-0.000006,-0.000137,0.033067
1777296811.493028641,-0.032618,0.005329,1777296811.493026018,-0.000011,-0.000232,0.033078
1777296811.843031883,-0.032618,0.005329,1777296811.843044043,0.000004,-0.000075,0.033067
1777296811.893026114,-0.032618,0.005329,1777296811.893106222,0.000048,-0.000153,0.033123
1777296811.943022013,-0.032661,0.005197,1777296811.933037996,0.000070,-0.000130,0.033162
1777296811.993032217,-0.032830,0.005087,1777296812.003026962,0.000077,-0.000155,0.033322
1777296812.043051243,-0.031858,0.005209,1777296812.043098927,0.000060,-0.000146,0.032364
1777296812.093118906,-0.030109,0.005079,1777296812.093331099,-0.000006,-0.000071,0.030541
1777296812.142997980,-0.031349,0.004889,1777296812.143364906,0.000056,-0.000119,0.031801
1777296812.193067551,-0.032557,0.004713,1777296812.203027964,0.000061,-0.000038,0.032962
1777296812.243023872,-0.033534,0.004549,1777296812.243040323,0.000113,-0.000088,0.033965
1777296812.293046236,-0.035256,0.004354,1777296812.283025265,0.000024,-0.000160,0.035567
1777296812.343024731,-0.036809,0.004305,1777296812.343026161,-0.000011,-0.000070,0.037058
1777296812.393027306,-0.037633,0.004382,1777296812.383095503,0.000022,0.000001,0.037908
1777296812.443048716,-0.038347,0.004450,1777296812.433165312,0.000056,-0.000216,0.038686
1777296812.493050098,-0.038972,0.004510,1777296812.493125200,0.000062,-0.000206,0.039318
1777296812.543175220,-0.037909,0.004607,1777296812.543323755,0.000077,0.000194,0.038241
1777296812.593117714,-0.036422,0.004606,1777296812.593317270,0.000057,-0.000219,0.036797
1777296812.643403530,-0.036434,0.004493,1777296812.653112411,0.000024,-0.000100,0.036746
1777296812.693193674,-0.036908,0.004407,1777296812.693083763,0.000053,-0.000151,0.037241
1777296812.742935896,-0.037346,0.004334,1777296812.723111629,0.000099,-0.000068,0.037703
1777296812.793115616,-0.038137,0.004380,1777296812.793095350,0.000084,-0.000145,0.038488
1777296812.843158245,-0.038855,0.004422,1777296812.833110571,0.000142,-0.000087,0.039257
1777296812.893099785,-0.037968,0.004395,1777296812.903108835,0.000053,-0.000038,0.038279
1777296812.943151474,-0.036284,0.004308,1777296812.933176041,0.000087,-0.000030,0.036629
1777296812.993145704,-0.034401,0.004216,1777296812.993106604,-0.000022,-0.000079,0.034645
1777296813.043061256,-0.032423,0.004103,1777296813.053318262,0.000074,-0.000106,0.032768
1777296813.093145609,-0.030608,0.004000,1777296813.083102226,0.000094,-0.000155,0.030982
1777296813.143091440,-0.029253,0.003951,1777296813.143199205,-0.000002,-0.000089,0.029528
1777296813.193177462,-0.028419,0.003997,1777296813.173103809,0.000036,-0.000087,0.028746
1777296813.243184328,-0.027998,0.004101,1777296813.243034363,0.000059,-0.000072,0.028365
1777296813.292947531,-0.027866,0.004247,1777296813.303028584,0.000045,0.000043,0.028226
1777296813.343112230,-0.027874,0.004376,1777296813.333023548,-0.000003,-0.000068,0.028223
1777296813.393184423,-0.028013,0.004475,1777296813.393347502,0.000152,-0.000149,0.028542
1777296813.443175077,-0.028207,0.004636,1777296813.453131676,0.000077,-0.001068,0.028853
1777296813.493124723,-0.028272,0.004774,1777296813.483496666,0.000285,0.000028,0.028949
1777296813.542948961,-0.028355,0.004969,1777296813.553028107,0.002330,-0.001721,0.031407
1777296813.593106747,-0.028600,0.005161,1777296813.583026648,0.002392,-0.002002,0.031809
1777296813.643007040,-0.029551,0.005209,1777296813.643026352,0.005039,-0.002335,0.035403
1777296813.693151236,-0.030441,0.005253,1777296813.693135023,0.006944,-0.003837,0.038474
