timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1776790078.862804174,0.198059,0.233196,1776790078.862804174,0.000000,0.000000,0.305953
1776790078.913375854,0.198059,0.233196,1776790078.922826052,0.000004,0.000023,0.305933
1776790078.963372707,0.198059,0.233196,1776790078.962981701,0.000016,-0.000016,0.305956
1776790079.013524294,0.198059,0.233196,1776790079.012775660,0.000026,0.000011,0.305928
1776790079.063808203,0.198059,0.233196,1776790079.062669992,-0.000003,0.000000,0.305955
1776790079.113501072,0.198059,0.233196,1776790079.122915745,0.000031,-0.000053,0.305974
1776790079.162803888,0.198059,0.233196,1776790079.172603369,0.000022,-0.000019,0.305954
1776790079.212705135,0.198059,0.233196,1776790079.212594032,0.000012,0.000022,0.305929
1776790079.263735056,0.198059,0.233196,1776790079.262991428,-0.000004,0.000019,0.305941
1776790079.313611269,0.198059,0.233196,1776790079.312999964,-0.000010,0.000022,0.305944
1776790079.363499880,0.198059,0.233196,1776790079.372993708,0.000014,-0.000044,0.305978
1776790079.413488150,0.198059,0.233196,1776790079.402758121,0.000017,0.000010,0.305935
1776790079.463431358,0.198059,0.233196,1776790079.462623835,0.000006,0.000012,0.305941
1776790079.513533354,0.198059,0.233196,1776790079.522808313,0.000005,0.000001,0.305950
1776790079.563504934,0.198059,0.233196,1776790079.552690744,0.000015,0.000016,0.305931
1776790079.613544703,0.198059,0.233196,1776790079.622626305,0.000010,0.000031,0.305924
1776790079.662818909,0.198059,0.233196,1776790079.652625561,-0.000014,0.000007,0.305957
1776790079.712826729,0.198059,0.233196,1776790079.712620735,0.000001,0.000029,0.305930
1776790079.762814283,0.199267,0.233221,1776790079.772641897,0.000005,0.000005,0.306749
1776790079.813479900,0.206975,0.233562,1776790079.802583694,0.000022,0.000017,0.312046
1776790079.863443613,0.205825,0.233574,1776790079.862615108,0.000032,-0.000009,0.311307
1776790079.913383484,0.200934,0.233601,1776790079.932631493,0.000020,0.000009,0.308110
1776790079.963375568,0.201176,0.233600,1776790079.962831974,0.000050,-0.000041,0.308286
1776790080.013386488,0.200828,0.233601,1776790080.022633553,0.000036,0.000027,0.308017
1776790080.062718868,0.205942,0.233872,1776790080.052704334,0.000028,-0.000029,0.311625
1776790080.112763166,0.205942,0.233872,1776790080.112727642,0.000025,0.000029,0.311584
1776790080.162741899,0.205942,0.233872,1776790080.172810316,0.000015,0.000078,0.311554
1776790080.214226961,0.229348,0.234282,1776790080.212740898,0.000048,-0.000030,0.327842
1776790080.264005184,0.229348,0.234282,1776790080.272758245,0.000036,0.000023,0.327812
