timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1776790078.862804174,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790078.912699699,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790078.962750435,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.012868166,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.063179255,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.112968922,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.162240744,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.212813616,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.263361454,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.313596249,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.363859653,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.413134813,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.462975740,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.512309790,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.562295914,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.612275600,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.662233114,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.712345123,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.762200832,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.812772274,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.862769365,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.912920713,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790079.963204861,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.012897730,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.062200546,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.112101555,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.163131714,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.213007927,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.262896299,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.312884808,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.362828016,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.412929773,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.462901592,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.512941360,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.562215328,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.612223148,-0.013475,0.090093,1776790080.592743158,0.002685,0.003928,0.087668
1776790080.662210703,-0.012267,0.090119,1776790080.592743158,0.002685,0.003928,0.087478
1776790080.712876558,-0.010847,0.090147,1776790080.592743158,0.002685,0.003928,0.087275
1776790080.762840271,-0.009428,0.090133,1776790080.592743158,0.002685,0.003928,0.087051
1776790080.812780142,-0.008090,0.090118,1776790080.592743158,0.002685,0.003928,0.086861
1776790080.862772226,-0.006373,0.090106,1776790080.592743158,0.002685,0.003928,0.086653
1776790080.912783146,-0.005059,0.090097,1776790080.592743158,0.002685,0.003928,0.086516
1776790080.962115526,-0.003922,0.090087,1776790080.592743158,0.002685,0.003928,0.086412
1776790081.012159824,-0.003922,0.090087,1776790080.592743158,0.002685,0.003928,0.086412
1776790081.062138557,-0.003922,0.090087,1776790080.592743158,0.002685,0.003928,0.086412
1776790081.113623619,-0.001447,0.090136,1776790080.592743158,0.002685,0.003928,0.086307
1776790081.163401365,0.001032,0.090108,1776790080.592743158,0.002685,0.003928,0.086196
1776790081.212759256,0.003026,0.090076,1776790080.592743158,0.002685,0.003928,0.086149
1776790081.262742758,0.006339,0.090168,1776790080.592743158,0.002685,0.003928,0.086317
1776790081.312784195,0.009350,0.090250,1776790081.202631950,0.026432,0.006078,0.085888
1776790081.363456011,0.012785,0.090325,1776790081.202631950,0.026432,0.006078,0.085345
1776790081.413467169,0.016983,0.090243,1776790081.202631950,0.026432,0.006078,0.084693
1776790081.462749958,0.019579,0.090181,1776790081.202631950,0.026432,0.006078,0.084381
1776790081.512781143,0.023630,0.090255,1776790081.202631950,0.026432,0.006078,0.084223
1776790081.562781811,0.027912,0.090334,1776790081.202631950,0.026432,0.006078,0.084269
1776790081.612779379,0.031087,0.090392,1776790081.202631950,0.026432,0.006078,0.084442
1776790081.662780762,0.035294,0.090469,1776790081.202631950,0.026432,0.006078,0.084855
1776790081.712792635,0.039574,0.090536,1776790081.202631950,0.026432,0.006078,0.085474
1776790081.762784481,0.045310,0.090551,1776790081.202631950,0.026432,0.006078,0.086556
1776790081.812804937,0.050525,0.090560,1776790081.552609444,0.052080,0.003096,0.087478
1776790081.863922834,0.056925,0.090568,1776790081.742669821,0.072369,0.004812,0.087136
1776790081.913536072,0.061986,0.090553,1776790081.773002863,0.075993,0.005365,0.086332
1776790081.963822842,0.068474,0.090526,1776790081.773002863,0.075993,0.005365,0.085492
1776790082.013070822,0.073389,0.090501,1776790081.773002863,0.075993,0.005365,0.085176
1776790082.063192844,0.079957,0.090462,1776790081.933002234,0.093761,0.007183,0.084415
1776790082.113141537,0.084996,0.090424,1776790081.933002234,0.093761,0.007183,0.083701
1776790082.162923813,0.091584,0.090260,1776790081.992813349,0.100417,0.008089,0.082644
1776790082.213138580,0.096694,0.090130,1776790081.992813349,0.100417,0.008089,0.082125
