timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777292801.814501286,-0.016656,0.025726,1777292801.814501286,0.000000,-0.000000,0.030647
1777292801.864436150,-0.016656,0.025726,1777292801.844520330,-0.000012,0.000032,0.030613
1777292801.914456844,-0.016656,0.025726,1777292801.844520330,-0.000012,0.000032,0.030613
1777292801.964487791,-0.016656,0.025726,1777292801.994508743,0.000013,-0.000008,0.030660
1777292802.014554739,-0.016656,0.025726,1777292802.014478922,0.000040,-0.000051,0.030711
1777292802.064456224,-0.016656,0.025726,1777292802.054508448,0.000056,-0.000031,0.030703
1777292802.114418983,-0.016656,0.025726,1777292802.084493876,0.000007,0.000080,0.030584
1777292802.164458036,-0.016656,0.025726,1777292802.084493876,0.000007,0.000080,0.030584
1777292802.214531660,-0.016656,0.025726,1777292802.244513988,0.000030,0.000048,0.030622
1777292802.264547110,-0.016656,0.025726,1777292802.254685163,0.000028,-0.000004,0.030665
1777292802.314422607,-0.016656,0.025726,1777292802.314497232,0.000031,0.000078,0.030599
1777292802.364447594,-0.016656,0.025726,1777292802.354497194,-0.000001,0.000062,0.030594
1777292802.414459467,-0.016656,0.025726,1777292802.354497194,-0.000001,0.000062,0.030594
1777292802.464584112,-0.016656,0.025726,1777292802.504560232,0.000019,0.000042,0.030622
1777292802.514593124,-0.016656,0.025726,1777292802.504710197,0.000011,0.000078,0.030587
1777292802.564429998,-0.016656,0.025726,1777292802.554502249,0.000015,0.000004,0.030651
1777292802.614457846,-0.016656,0.025726,1777292802.584491968,-0.000001,0.000073,0.030585
1777292802.664461374,-0.016656,0.025726,1777292802.584491968,-0.000001,0.000073,0.030585
1777292802.714586020,-0.016656,0.025726,1777292802.754519224,0.000008,0.000009,0.030643
1777292802.764489651,-0.016656,0.025726,1777292802.764497757,0.000028,0.000014,0.030650
1777292802.814428568,-0.016656,0.025726,1777292802.824490309,0.000027,0.000005,0.030657
1777292802.864443064,-0.016656,0.025726,1777292802.824490309,0.000027,0.000005,0.030657
1777292802.914459229,-0.016656,0.025726,1777292802.824490309,0.000027,0.000005,0.030657
1777292802.964595795,-0.016656,0.025726,1777292803.004486322,-0.000001,0.000043,0.030610
1777292803.014504910,-0.016656,0.025726,1777292803.014484167,-0.000011,0.000019,0.030625
1777292803.064431906,-0.016656,0.025726,1777292803.054476261,0.000013,-0.000007,0.030660
1777292803.114419699,-0.016656,0.025726,1777292803.094492674,-0.000010,0.000064,0.030588
1777292803.164444923,-0.016656,0.025726,1777292803.094492674,-0.000010,0.000064,0.030588
1777292803.214498043,-0.016656,0.025726,1777292803.254508018,-0.000007,0.000044,0.030606
1777292803.264461040,-0.016656,0.025726,1777292803.264492035,0.000041,-0.000003,0.030671
1777292803.314422607,-0.016656,0.025726,1777292803.304504156,0.000062,0.000020,0.030664
1777292803.364425898,-0.016656,0.025726,1777292803.354493380,0.000029,-0.000017,0.030677
1777292803.414448738,-0.016656,0.025726,1777292803.354493380,0.000029,-0.000017,0.030677
1777292803.464456797,-0.016656,0.025726,1777292803.504484415,-0.000001,0.000049,0.030605
1777292803.514459372,-0.016656,0.025726,1777292803.504652977,0.000021,-0.000011,0.030668
1777292803.564414978,-0.016656,0.025726,1777292803.564479589,-0.000013,0.000053,0.030595
1777292803.614456654,-0.016656,0.025726,1777292803.594491720,-0.000005,0.000079,0.030578
