timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777296810.173035860,0.014135,0.086463,1777296810.173035860,0.000000,0.000000,0.087611
1777296810.223068953,0.014135,0.086463,1777296810.233033419,0.000002,0.000045,0.087566
1777296810.272465467,0.014135,0.086463,1777296810.263043642,0.000024,-0.000158,0.087763
1777296810.322576284,0.014135,0.086463,1777296810.323058605,0.000012,0.000023,0.087587
1777296810.372522831,0.014135,0.086463,1777296810.373058081,-0.000152,-0.000036,0.087671
1777296810.422469854,0.014135,0.086463,1777296810.423094511,0.000051,-0.000017,0.087620
1777296810.472482204,0.014135,0.086463,1777296810.463040829,-0.000038,0.000041,0.087577
1777296810.522481203,0.014135,0.086463,1777296810.523020744,-0.000095,-0.000016,0.087642
1777296810.572494268,0.014135,0.086463,1777296810.573063135,-0.000039,0.000107,0.087512
1777296810.622473478,0.014135,0.086463,1777296810.623053312,-0.000039,-0.000038,0.087655
1777296810.672487974,0.014135,0.086463,1777296810.673039436,0.000017,-0.000021,0.087629
1777296810.722458124,0.014135,0.086463,1777296810.713063240,0.000053,-0.000092,0.087693
1777296810.773137331,0.014135,0.086463,1777296810.773041487,-0.000015,0.000104,0.087511
1777296810.823114157,0.014135,0.086463,1777296810.823051929,-0.000022,0.000077,0.087539
1777296810.872479677,0.014135,0.086463,1777296810.873072624,0.000003,-0.000008,0.087619
1777296810.922475815,0.014135,0.086463,1777296810.933067560,0.000027,-0.000024,0.087631
1777296810.972485781,0.014135,0.086463,1777296810.963040352,0.000065,0.000013,0.087587
1777296811.023133755,0.014135,0.086463,1777296811.023080349,0.000022,-0.000127,0.087733
1777296811.073201180,0.014135,0.086463,1777296811.083012104,0.000014,-0.000011,0.087620
1777296811.122400522,0.014135,0.086463,1777296811.113076448,0.000004,-0.000078,0.087687
1777296811.172470093,0.014135,0.086463,1777296811.183031321,-0.000033,-0.000023,0.087639
1777296811.222426176,0.014135,0.086463,1777296811.213106871,-0.000030,0.000025,0.087591
1777296811.273128510,0.014135,0.086463,1777296811.273330927,0.000038,0.000047,0.087559
1777296811.323107004,0.014135,0.086463,1777296811.333029270,-0.000031,0.000000,0.087616
1777296811.372481108,0.014135,0.086463,1777296811.363126040,-0.000012,-0.000018,0.087631
1777296811.422502518,0.014135,0.086463,1777296811.423222065,-0.000081,0.000015,0.087610
1777296811.472503901,0.014135,0.086463,1777296811.453068256,-0.000108,0.000077,0.087553
1777296811.522577524,0.014135,0.086463,1777296811.523057222,-0.000069,0.000058,0.087565
1777296811.572520256,0.014135,0.086463,1777296811.583042145,0.000000,0.000010,0.087602
1777296811.622806072,0.014135,0.086463,1777296811.613073587,0.000014,0.000026,0.087583
1777296811.672596216,0.014135,0.086463,1777296811.673038960,0.000055,-0.000011,0.087613
1777296811.722337961,0.014135,0.086463,1777296811.723036766,0.000041,0.000002,0.087602
1777296811.772569418,0.014135,0.086463,1777296811.763031721,0.000034,0.000019,0.087587
1777296811.822612286,0.014135,0.086463,1777296811.813024759,-0.000007,-0.000012,0.087624
1777296811.873182297,0.014135,0.086463,1777296811.873025417,-0.000024,0.000097,0.087520
1777296811.923233747,0.014135,0.086463,1777296811.923326969,0.000028,-0.000038,0.087644
1777296811.973227978,0.014135,0.086463,1777296811.973316669,0.000057,-0.000026,0.087628
1777296812.022463560,0.014135,0.086463,1777296812.013041735,0.000058,0.000046,0.087557
1777296812.072547913,0.014135,0.086463,1777296812.073027849,-0.000013,0.000024,0.087590
1777296812.123173952,0.014135,0.086463,1777296812.123133659,-0.000083,0.000099,0.087527
1777296812.173259735,0.014135,0.086463,1777296812.173148394,0.000050,0.000122,0.087482
1777296812.223266840,0.014135,0.086463,1777296812.213035583,0.000090,-0.000017,0.087613
1777296812.273029804,0.014135,0.086463,1777296812.263119221,0.000034,-0.000023,0.087628
1777296812.323194265,0.014135,0.086463,1777296812.323025703,-0.000066,0.000008,0.087614
1777296812.372586727,0.014135,0.086463,1777296812.373080730,-0.000004,-0.000011,0.087623
1777296812.422577381,0.014135,0.086463,1777296812.413192987,0.000027,-0.000090,0.087695
1777296812.472526789,0.014135,0.086463,1777296812.463168144,0.000008,-0.000165,0.087773
1777296812.522351265,0.014135,0.086463,1777296812.523150921,0.000093,0.000048,0.087549
1777296812.572508812,0.014135,0.086463,1777296812.573102474,0.000092,0.000050,0.087547
1777296812.622409582,0.014135,0.086463,1777296812.623144150,0.000058,-0.000064,0.087665
1777296812.672553539,0.014135,0.086463,1777296812.663387060,-0.000001,0.000026,0.087586
1777296812.722546101,0.014135,0.086463,1777296812.723111629,0.000071,0.000047,0.087553
1777296812.772609234,0.014135,0.086463,1777296812.773231506,0.000050,-0.000095,0.087697
1777296812.822605133,0.014135,0.086463,1777296812.833110571,0.000114,0.000027,0.087566
1777296812.872644186,0.014135,0.086463,1777296812.863121986,0.000089,0.000018,0.087579
1777296812.923480749,0.014135,0.086463,1777296812.933176041,0.000060,0.000084,0.087518
1777296812.973207235,0.014135,0.086463,1777296812.963545322,-0.000034,0.000183,0.087436
1777296813.022571325,0.014135,0.086463,1777296813.023323059,-0.000010,-0.000148,0.087759
1777296813.072545052,0.014135,0.086463,1777296813.083102226,0.000066,-0.000041,0.087641
1777296813.122572660,0.014135,0.086463,1777296813.113316059,0.000010,-0.000048,0.087657
1777296813.172561884,0.014135,0.086463,1777296813.173103809,0.000008,0.000027,0.087583
1777296813.222545624,0.014135,0.086463,1777296813.213325262,0.000054,-0.000112,0.087713
