timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1776790079.622626305,0.998050,0.085077,1776790079.622626305,0.000000,0.000000,1.001670
1776790079.672567129,0.997671,0.084843,1776790079.682636738,-0.000007,-0.000055,1.001284
1776790079.722564459,0.997671,0.084843,1776790079.712620735,-0.000009,-0.000002,1.001281
1776790079.772687435,0.999018,0.085869,1776790079.772641897,-0.000004,-0.000026,1.002708
1776790079.822971344,0.999018,0.085869,1776790079.832889080,-0.000012,0.000018,1.002712
1776790079.872664213,0.999018,0.085869,1776790079.862615108,0.000023,-0.000040,1.002682
1776790079.922656775,0.996696,0.085352,1776790079.932631493,0.000010,-0.000022,1.000336
1776790079.972558022,0.996696,0.085352,1776790079.962831974,0.000040,-0.000072,1.000310
1776790080.022898436,1.000192,0.084439,1776790080.022633553,0.000026,-0.000004,1.003724
1776790080.072774410,1.000192,0.084439,1776790080.082890987,0.000036,-0.000068,1.003719
1776790080.122663260,1.000192,0.084439,1776790080.112727642,0.000015,-0.000002,1.003735
1776790080.172679663,0.996061,0.084463,1776790080.172810316,0.000005,0.000047,0.999626
1776790080.222622633,0.996061,0.084463,1776790080.212740898,0.000039,-0.000061,0.999602
1776790080.272724628,0.996061,0.084463,1776790080.272758245,0.000027,-0.000007,0.999609
1776790080.492306471,0.996061,0.084463,1776790080.482795954,0.000026,0.000003,0.999609
1776790080.322668314,0.998651,0.083863,1776790080.312674284,0.000021,0.000117,1.002136
1776790080.372707844,0.998651,0.083863,1776790080.372749090,-0.000003,0.000072,1.002164
1776790080.422640800,0.998307,0.084403,1776790080.422653913,0.000035,0.000067,1.001828
1776790080.472648859,0.998307,0.084403,1776790080.482751846,0.000032,-0.000030,1.001839
1776790080.522636175,0.998307,0.084403,1776790080.532632351,0.001273,0.000023,1.000598
1776790080.572671413,0.996175,0.084173,1776790080.562619448,0.001944,0.001778,0.997640
1776790080.622635126,0.996321,0.083882,1776790080.622614861,0.003885,0.001874,0.995818
1776790080.672546864,1.002327,0.086107,1776790080.672601700,0.005397,0.001181,1.000541
1776790080.722538710,1.002327,0.086107,1776790080.722659349,0.007617,0.001635,0.998290
1776790080.772549868,1.002327,0.086107,1776790080.762611628,0.008828,0.001033,0.997134
1776790080.822541237,1.008819,0.083077,1776790080.822603226,0.010548,0.000281,1.001699
1776790080.872585535,1.008819,0.083077,1776790080.872603655,0.011288,-0.000282,1.001008
1776790080.922564030,1.008819,0.083077,1776790080.922649860,0.011726,0.003760,1.000244
1776790080.972756624,1.007549,0.086508,1776790080.982605934,0.013980,0.000399,0.997293
1776790081.022534847,1.007549,0.086508,1776790081.012618780,0.015233,0.000291,0.996055
1776790081.072554350,1.012100,0.084507,1776790081.063194513,0.017506,-0.000059,0.998183
1776790081.122537613,1.012100,0.084507,1776790081.123174906,0.021306,0.001737,0.994246
1776790081.172578812,1.012100,0.084507,1776790081.162693262,0.023646,0.002632,0.991839
1776790081.222563505,1.021133,0.086041,1776790081.212646484,0.027360,0.004867,0.997083
1776790081.272574663,1.021133,0.086041,1776790081.262624502,0.030712,0.002834,0.993910
1776790081.322516441,1.029410,0.085028,1776790081.302615881,0.034519,-0.001035,0.998607
1776790081.372547626,1.029439,0.085166,1776790081.372606516,0.039686,-0.000849,0.993484
