timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777292801.814501286,-0.135418,0.018456,1777292801.814501286,0.000000,0.000000,0.136670
1777292801.864510298,-0.135418,0.018456,1777292801.844520330,-0.000012,0.000032,0.136654
1777292801.914347172,-0.135418,0.018456,1777292801.844520330,-0.000012,0.000032,0.136654
1777292801.964375019,-0.135418,0.018456,1777292801.994508743,0.000013,-0.000008,0.136683
1777292802.014378548,-0.135418,0.018456,1777292802.014478922,0.000040,-0.000051,0.136716
1777292802.064506054,-0.140331,0.020491,1777292802.054508448,0.000056,-0.000031,0.141878
1777292802.114409685,-0.138603,0.015712,1777292802.084493876,0.000007,0.000080,0.139489
1777292802.164348602,-0.138603,0.015712,1777292802.084493876,0.000007,0.000080,0.139489
1777292802.214363098,-0.138603,0.015712,1777292802.244513988,0.000030,0.000048,0.139515
1777292802.264379025,-0.138603,0.015712,1777292802.254685163,0.000028,-0.000004,0.139519
1777292802.314515829,-0.139551,0.020689,1777292802.314497232,0.000031,0.000078,0.141096
1777292802.364424944,-0.139551,0.020689,1777292802.354497194,-0.000001,0.000062,0.141067
1777292802.414351940,-0.139551,0.020689,1777292802.354497194,-0.000001,0.000062,0.141067
1777292802.464339733,-0.139551,0.020689,1777292802.504560232,0.000019,0.000042,0.141089
1777292802.514364958,-0.139551,0.020689,1777292802.504710197,0.000011,0.000078,0.141076
1777292802.564418077,-0.136945,0.019115,1777292802.554502249,0.000015,0.000004,0.138286
1777292802.614381313,-0.136945,0.019115,1777292802.584491968,-0.000001,0.000073,0.138261
1777292802.664342642,-0.136945,0.019115,1777292802.584491968,-0.000001,0.000073,0.138261
1777292802.714346170,-0.136945,0.019115,1777292802.754519224,0.000008,0.000009,0.138279
1777292802.764369011,-0.136945,0.019115,1777292802.764497757,0.000028,0.000014,0.138298
1777292802.814376593,-0.139198,0.020064,1777292802.824490309,0.000027,0.000005,0.140662
1777292802.864379406,-0.139198,0.020064,1777292802.824490309,0.000027,0.000005,0.140662
1777292802.914335012,-0.139198,0.020064,1777292802.824490309,0.000027,0.000005,0.140662
1777292802.964376688,-0.139198,0.020064,1777292803.004486322,-0.000001,0.000043,0.140629
1777292803.014353037,-0.139198,0.020064,1777292803.014484167,-0.000011,0.000019,0.140623
1777292803.064480066,-0.140250,0.019484,1777292803.054476261,0.000013,-0.000007,0.141612
1777292803.114413500,-0.140250,0.019484,1777292803.094492674,-0.000010,0.000064,0.141579
1777292803.164375305,-0.140250,0.019484,1777292803.094492674,-0.000010,0.000064,0.141579
1777292803.214378595,-0.140250,0.019484,1777292803.254508018,-0.000007,0.000044,0.141584
1777292803.264352560,-0.140250,0.019484,1777292803.264492035,0.000041,-0.000003,0.141638
1777292803.314433336,-0.138360,0.018624,1777292803.304504156,0.000062,0.000020,0.139667
1777292803.364428520,-0.138360,0.018624,1777292803.354493380,0.000029,-0.000017,0.139639
1777292803.414353371,-0.138360,0.018624,1777292803.354493380,0.000029,-0.000017,0.139639
1777292803.464347363,-0.138360,0.018624,1777292803.504484415,-0.000001,0.000049,0.139601
1777292803.514368534,-0.138360,0.018624,1777292803.504652977,0.000021,-0.000011,0.139630
1777292803.564446449,-0.134918,0.021315,1777292803.564479589,-0.000013,0.000053,0.136570
1777292803.614402771,-0.134918,0.021315,1777292803.594491720,-0.000005,0.000079,0.136573
1777292803.664304018,-0.134918,0.021315,1777292803.594491720,-0.000005,0.000079,0.136573
1777292803.714365959,-0.134918,0.021315,1777292803.754464149,0.000018,0.000037,0.136603
1777292803.764304876,-0.134918,0.021315,1777292803.754573345,0.000040,0.000041,0.136624
1777292803.814466476,-0.138225,0.021006,1777292803.814494133,0.000002,0.000092,0.139800
1777292803.864322186,-0.138225,0.021006,1777292803.844486237,0.000013,0.000045,0.139819
1777292803.914360523,-0.138225,0.021006,1777292803.844486237,0.000013,0.000045,0.139819
1777292803.964249849,-0.140716,0.020405,1777292804.014482498,0.000027,-0.000035,0.142220
1777292804.014354944,-0.140716,0.020405,1777292804.014482498,0.000027,-0.000035,0.142220
1777292804.064396381,-0.138852,0.019923,1777292804.064486980,-0.000001,0.000049,0.140266
1777292804.114380121,-0.138852,0.019923,1777292804.124496937,-0.000019,0.000065,0.140246
1777292804.164345503,-0.139270,0.021541,1777292804.164502621,-0.000000,0.000040,0.140919
1777292804.214354277,-0.139270,0.021541,1777292804.214473963,-0.000014,-0.000014,0.140914
1777292804.264341354,-0.139270,0.021541,1777292804.264475822,0.000015,0.000033,0.140935
1777292804.314358234,-0.137639,0.014838,1777292804.304495335,0.000003,0.000046,0.138435
1777292804.364489794,-0.137639,0.014838,1777292804.364464998,0.000029,0.000028,0.138462
1777292804.414343119,-0.135972,0.017836,1777292804.414480925,0.000013,0.000022,0.137147
1777292804.464368820,-0.135972,0.017836,1777292804.464475870,-0.000006,0.000042,0.137125
1777292804.514371872,-0.135972,0.017836,1777292804.504486322,0.000011,0.000017,0.137146
1777292804.564448357,-0.139907,0.019345,1777292804.564471245,0.000026,0.000026,0.141260
1777292804.614439726,-0.139907,0.019345,1777292804.614684820,0.000013,0.000028,0.141247
1777292804.664340496,-0.139406,0.022728,1777292804.664499521,-0.000004,0.000034,0.141237
1777292804.714379787,-0.139406,0.022728,1777292804.704473495,0.000000,0.000042,0.141240
1777292804.764333248,-0.139406,0.022728,1777292804.774459839,0.000003,-0.000039,0.141256
1777292804.814362288,-0.140030,0.016504,1777292804.774459839,0.000003,-0.000039,0.141007
1777292804.864389181,-0.140030,0.016504,1777292804.864493132,-0.000010,0.000057,0.140983
1777292804.914371729,-0.136804,0.021837,1777292804.924477577,-0.000027,0.000103,0.138492
1777292804.964371443,-0.136804,0.021837,1777292804.954477549,-0.000016,0.000047,0.138513
1777292805.014377356,-0.136804,0.021837,1777292805.014482737,-0.000011,0.000052,0.138516
1777292805.064373016,-0.138878,0.021645,1777292805.074509859,0.000001,0.000064,0.140545
1777292805.114469290,-0.138878,0.021645,1777292805.114520550,-0.000033,0.000035,0.140516
1777292805.164365768,-0.136171,0.017556,1777292805.174469233,-0.000013,0.000065,0.137277
1777292805.214392900,-0.136171,0.017556,1777292805.204502821,-0.000021,0.000046,0.137271
1777292805.264290571,-0.136171,0.017556,1777292805.264494181,-0.000004,0.000029,0.137290
1777292805.314392090,-0.136800,0.020682,1777292805.314502954,-0.000009,0.000034,0.138340
1777292805.364411592,-0.136800,0.020682,1777292805.354471922,0.000010,0.000041,0.138358
1777292805.414377451,-0.140428,0.020839,1777292805.414465904,0.000047,0.000042,0.142006
1777292805.464280367,-0.140428,0.020839,1777292805.464492083,0.000033,0.000002,0.141999
1777292805.514499187,-0.140428,0.020839,1777292805.514498472,0.000033,0.000023,0.141995
