timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777292801.854982853,-0.014113,0.021576,1777292801.844520330,-0.000012,0.000032,0.025748
1777292801.904991388,-0.014113,0.021576,1777292801.844520330,-0.000012,0.000032,0.025748
1777292801.954828501,-0.014113,0.021576,1777292801.994508743,0.000013,-0.000008,0.025795
1777292802.004856348,-0.014113,0.021576,1777292802.014478922,0.000040,-0.000051,0.025846
1777292802.054859877,-0.014113,0.021576,1777292802.054508448,0.000056,-0.000031,0.025838
1777292802.104987383,-0.019127,0.023346,1777292802.084493876,0.000007,0.000080,0.030124
1777292802.154891014,-0.017197,0.018645,1777292802.084493876,0.000007,0.000080,0.025311
1777292802.204829931,-0.017197,0.018645,1777292802.244513988,0.000030,0.000048,0.025350
1777292802.254844427,-0.017197,0.018645,1777292802.254685163,0.000028,-0.000004,0.025387
1777292802.304860353,-0.017197,0.018645,1777292802.304523706,0.000053,-0.000036,0.025427
1777292802.354996920,-0.018379,0.023572,1777292802.354497194,-0.000001,0.000062,0.029841
1777292802.404906273,-0.018379,0.023572,1777292802.354497194,-0.000001,0.000062,0.029841
1777292802.454833269,-0.018379,0.023572,1777292802.504560232,0.000019,0.000042,0.029869
1777292802.504821062,-0.018379,0.023572,1777292802.504710197,0.000011,0.000078,0.029835
1777292802.554846287,-0.018379,0.023572,1777292802.554502249,0.000015,0.000004,0.029896
1777292802.604899645,-0.015706,0.022113,1777292802.584491968,-0.000001,0.000073,0.027064
1777292802.654862642,-0.015706,0.022113,1777292802.584491968,-0.000001,0.000073,0.027064
1777292802.704823732,-0.015706,0.022113,1777292802.754519224,0.000008,0.000009,0.027121
1777292802.754827499,-0.015706,0.022113,1777292802.754656076,-0.000009,0.000048,0.027079
1777292802.804850101,-0.015706,0.022113,1777292802.794476748,0.000018,-0.000024,0.027154
1777292802.854857922,-0.018002,0.022953,1777292802.824490309,0.000027,0.000005,0.029183
1777292802.904860973,-0.018002,0.022953,1777292802.824490309,0.000027,0.000005,0.029183
1777292802.954816341,-0.018002,0.022953,1777292803.004486322,-0.000001,0.000043,0.029136
1777292803.004858017,-0.018002,0.022953,1777292803.004562140,-0.000027,-0.000011,0.029163
1777292803.054834604,-0.018002,0.022953,1777292803.054476261,0.000013,-0.000007,0.029184
1777292803.104961395,-0.019030,0.022330,1777292803.094492674,-0.000010,0.000064,0.029284
1777292803.154894829,-0.019030,0.022330,1777292803.094492674,-0.000010,0.000064,0.029284
1777292803.204856873,-0.019030,0.022330,1777292803.254508018,-0.000007,0.000044,0.029302
1777292803.254859686,-0.019030,0.022330,1777292803.254641771,0.000041,-0.000009,0.029373
1777292803.304833889,-0.019030,0.022330,1777292803.304504156,0.000062,0.000020,0.029365
1777292803.354914665,-0.017106,0.021549,1777292803.354493380,0.000029,-0.000017,0.027545
1777292803.404910088,-0.017106,0.021549,1777292803.354493380,0.000029,-0.000017,0.027545
1777292803.454834700,-0.017106,0.021549,1777292803.504484415,-0.000001,0.000049,0.027475
1777292803.504828930,-0.017106,0.021549,1777292803.504652977,0.000021,-0.000011,0.027536
1777292803.554850101,-0.017106,0.021549,1777292803.554498672,-0.000006,0.000081,0.027447
1777292803.604928017,-0.013796,0.024400,1777292803.594491720,-0.000005,0.000079,0.027959
1777292803.654884338,-0.013796,0.024400,1777292803.594491720,-0.000005,0.000079,0.027959
1777292803.704785347,-0.013796,0.024400,1777292803.754464149,0.000018,0.000037,0.028007
1777292803.754847288,-0.013796,0.024400,1777292803.754573345,0.000040,0.000041,0.028014
1777292803.804786444,-0.013796,0.024400,1777292803.814494133,0.000002,0.000092,0.027951
1777292803.854947805,-0.017080,0.023899,1777292803.844486237,0.000013,0.000045,0.029347
1777292803.904803514,-0.017080,0.023899,1777292803.844486237,0.000013,0.000045,0.029347
1777292803.954841852,-0.017080,0.023899,1777292804.014482498,0.000027,-0.000035,0.029420
1777292804.004731178,-0.019537,0.023171,1777292804.014482498,0.000027,-0.000035,0.030353
1777292804.054836273,-0.019537,0.023171,1777292804.064486980,-0.000001,0.000049,0.030271
1777292804.104877472,-0.017651,0.022780,1777292804.094498634,-0.000039,0.000054,0.028752
1777292804.154861212,-0.017651,0.022780,1777292804.154484034,-0.000008,-0.000007,0.028818
1777292804.204827070,-0.018143,0.024377,1777292804.204476357,-0.000028,-0.000005,0.030375
1777292804.254835367,-0.018143,0.024377,1777292804.264475822,0.000015,0.000033,0.030369
1777292804.304822445,-0.018143,0.024377,1777292804.304495335,0.000003,0.000046,0.030352
1777292804.354839563,-0.016251,0.017743,1777292804.354479790,0.000007,0.000007,0.024060
1777292804.404971123,-0.016251,0.017743,1777292804.404481649,-0.000002,0.000012,0.024050
1777292804.454824448,-0.014712,0.020808,1777292804.464475870,-0.000006,0.000042,0.025446
1777292804.504850388,-0.014712,0.020808,1777292804.504486322,0.000011,0.000017,0.025476
1777292804.554853201,-0.014712,0.020808,1777292804.554476023,0.000027,0.000025,0.025479
1777292804.604929447,-0.018723,0.022100,1777292804.604479074,-0.000011,0.000014,0.028947
1777292804.654921055,-0.018723,0.022100,1777292804.664499521,-0.000004,0.000034,0.028937
1777292804.704821825,-0.018374,0.025502,1777292804.704473495,0.000000,0.000042,0.031398
1777292804.754861116,-0.018374,0.025502,1777292804.744486094,0.000026,-0.000058,0.031494
1777292804.804814577,-0.018374,0.025502,1777292804.774459839,0.000003,-0.000039,0.031465
1777292804.854843616,-0.018723,0.019256,1777292804.864493132,-0.000010,0.000057,0.026810
1777292804.904870510,-0.018723,0.019256,1777292804.894519091,0.000001,-0.000029,0.026879
1777292804.954853058,-0.015745,0.024732,1777292804.954477549,-0.000016,0.000047,0.029270
1777292805.004853010,-0.015745,0.024732,1777292805.014482737,-0.000011,0.000052,0.029268
1777292805.054858685,-0.015745,0.024732,1777292805.044679642,-0.000025,0.000083,0.029234
1777292805.104854345,-0.017805,0.024428,1777292805.114520550,-0.000033,0.000035,0.030180
1777292805.154950619,-0.017805,0.024428,1777292805.144502878,0.000004,0.000039,0.030199
1777292805.204847336,-0.014920,0.020462,1777292805.204502821,-0.000021,0.000046,0.025274
1777292805.254874229,-0.014920,0.020462,1777292805.264494181,-0.000004,0.000029,0.025298
1777292805.304771900,-0.014920,0.020462,1777292805.314502954,-0.000009,0.000034,0.025291
1777292805.354873419,-0.015695,0.023555,1777292805.354471922,0.000010,0.000041,0.028276
1777292805.404893160,-0.015695,0.023555,1777292805.404474974,0.000047,0.000017,0.028317
1777292805.454858780,-0.019327,0.023514,1777292805.464492083,0.000033,0.000002,0.030458
1777292805.504761934,-0.019327,0.023514,1777292805.514498472,0.000033,0.000023,0.030441
1777292805.554980278,-0.019327,0.023514,1777292805.554497957,-0.000030,0.000072,0.030363
1777292805.604748249,-0.013788,0.022224,1777292805.604970455,0.000006,-0.000026,0.026179
1777292805.654848099,-0.013788,0.022224,1777292805.664501429,-0.000005,0.000070,0.026092
1777292805.704839230,-0.019802,0.021897,1777292805.714515924,-0.000009,0.000025,0.029498
1777292805.754861116,-0.019802,0.021897,1777292805.754503489,0.000005,0.000049,0.029490
1777292805.804835796,-0.019802,0.021897,1777292805.804497957,-0.000020,0.000049,0.029473
1777292805.855048180,-0.018860,0.024194,1777292805.854477644,0.000012,0.000027,0.030663
1777292805.904844046,-0.018860,0.024194,1777292805.894507408,-0.000013,0.000080,0.030605
1777292805.954843044,-0.017621,0.022226,1777292805.954501629,-0.000015,0.000018,0.028340
1777292806.004868269,-0.017621,0.022226,1777292806.024481058,0.000011,-0.000055,0.028413
1777292806.054910660,-0.017621,0.022226,1777292806.054491043,-0.000003,0.000044,0.028327
1777292806.104943275,-0.015850,0.018957,1777292806.114506960,0.000047,-0.000020,0.024755
1777292806.154884815,-0.015850,0.018957,1777292806.144485474,0.000025,0.000016,0.024714
1777292806.204842567,-0.016072,0.024349,1777292806.204472303,0.000080,0.000061,0.029168
1777292806.254896879,-0.016072,0.024349,1777292806.264480829,0.000309,0.000033,0.029319
1777292806.304828882,-0.018622,0.022714,1777292806.304505348,0.000257,-0.000001,0.029537
1777292806.354971170,-0.018622,0.022714,1777292806.354479074,0.000941,0.000024,0.029960
1777292806.404846191,-0.018622,0.022714,1777292806.394483805,0.001111,-0.000285,0.030305
1777292806.454889059,-0.013397,0.021938,1777292806.454504967,0.002016,-0.000302,0.027058
1777292806.504839659,-0.013397,0.021938,1777292806.504515886,0.003193,-0.001095,0.028385
1777292806.554877043,-0.003964,0.021388,1777292806.554504871,0.005142,-0.000980,0.024150
1777292806.604922056,-0.003964,0.021388,1777292806.604514837,0.006993,-0.000101,0.024121
