timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1776790079.526833773,0.623357,0.104652,1776790079.622626305,0.000000,0.000000,0.632080
1776790079.576830864,0.623357,0.104652,1776790079.622626305,0.000000,0.000000,0.632080
1776790079.626954079,0.624695,0.105690,1776790079.622626305,0.000000,0.000000,0.633573
1776790079.677237988,0.624695,0.105690,1776790079.682636738,-0.000007,-0.000055,0.633589
1776790079.726930857,0.624695,0.105690,1776790079.712620735,-0.000009,-0.000002,0.633581
1776790079.776923418,0.622376,0.105160,1776790079.772641897,-0.000004,-0.000026,0.631206
1776790079.826824665,0.622376,0.105160,1776790079.832889080,-0.000012,0.000018,0.631206
1776790079.877165079,0.625843,0.104142,1776790079.862615108,0.000023,-0.000040,0.634433
1776790079.927041054,0.625843,0.104142,1776790079.932631493,0.000010,-0.000022,0.634442
1776790079.976929903,0.625843,0.104142,1776790079.962831974,0.000040,-0.000072,0.634420
1776790080.026946306,0.621712,0.104156,1776790080.022633553,0.000026,-0.000004,0.630350
1776790080.076889277,0.621712,0.104156,1776790080.082890987,0.000036,-0.000068,0.630351
1776790080.126991272,0.621712,0.104156,1776790080.112727642,0.000015,-0.000002,0.630361
1776790080.346573114,0.621712,0.104156,1776790080.342605114,0.000013,-0.000007,0.630364
1776790080.176934958,0.624311,0.103595,1776790080.172810316,0.000005,0.000047,0.632834
1776790080.226974487,0.624311,0.103595,1776790080.212740898,0.000039,-0.000061,0.632819
1776790080.276907444,0.623966,0.104134,1776790080.272758245,0.000027,-0.000007,0.632571
1776790080.326915503,0.623966,0.104134,1776790080.332679749,0.000016,0.000000,0.632580
1776790080.376902819,0.623966,0.104134,1776790080.372803211,0.000039,0.000006,0.632557
1776790080.426938057,0.621831,0.103951,1776790080.422653913,0.000035,0.000067,0.630414
1776790080.476901531,0.621980,0.103663,1776790080.482751846,0.000032,-0.000030,0.630533
1776790080.526813507,0.627956,0.105967,1776790080.532632351,0.001273,0.000023,0.635575
1776790080.576805353,0.627956,0.105967,1776790080.582791090,0.002485,0.003350,0.633833
1776790080.626816511,0.627956,0.105967,1776790080.622614861,0.003885,0.001874,0.632692
1776790080.676807880,0.634454,0.102949,1776790080.672601700,0.005397,0.001181,0.637236
1776790080.726852179,0.634454,0.102949,1776790080.722659349,0.007617,0.001635,0.634971
1776790080.776830673,0.634454,0.102949,1776790080.782633781,0.009307,0.001103,0.633389
1776790080.827023268,0.633263,0.106409,1776790080.822603226,0.010548,0.000281,0.631694
1776790080.876801491,0.633263,0.106409,1776790080.872603655,0.011288,-0.000282,0.631059
1776790080.926820755,0.637847,0.104485,1776790080.922649860,0.011726,0.003760,0.634171
1776790080.976804256,0.637847,0.104485,1776790080.982605934,0.013980,0.000399,0.632490
1776790081.026845455,0.637847,0.104485,1776790081.032608271,0.015590,0.000789,0.630838
1776790081.076830149,0.646919,0.105771,1776790081.082679749,0.019268,-0.000180,0.636530
1776790081.126841307,0.646919,0.105771,1776790081.123174906,0.021306,0.001737,0.634204
1776790081.176783085,0.655222,0.105004,1776790081.182610989,0.024444,0.005419,0.638591
1776790081.226814270,0.655254,0.105141,1776790081.232615948,0.028720,0.003973,0.634650
1776790081.276814938,0.655222,0.105004,1776790081.282618523,0.031929,0.002195,0.631715
1776790081.326812744,0.661779,0.104151,1776790081.342614412,0.036966,-0.001686,0.633713
1776790081.376813889,0.661779,0.104151,1776790081.372606516,0.039686,-0.000849,0.630892
1776790081.426826000,0.673505,0.104068,1776790081.432627678,0.042891,-0.000719,0.639261
1776790081.476817608,0.673505,0.104068,1776790081.462636232,0.045383,0.000155,0.636659
1776790081.526838303,0.673505,0.104068,1776790081.522925615,0.050312,-0.000506,0.631905
1776790081.577297449,0.686355,0.104569,1776790081.582687855,0.056233,0.000789,0.638610
1776790081.796572924,0.686355,0.104569,1776790081.802640676,0.079851,0.005096,0.614607
1776790081.626910448,0.686355,0.104569,1776790081.612671375,0.058947,-0.001155,0.636254
1776790081.677197218,0.686355,0.104569,1776790081.682626247,0.064771,0.003491,0.629749
1776790081.727076054,0.705542,0.102755,1776790081.712587118,0.068497,0.003669,0.644704
1776790081.777198076,0.705542,0.102755,1776790081.773002863,0.075979,0.005407,0.637045
1776790081.827174902,0.715799,0.108069,1776790081.832896233,0.083451,0.002859,0.641041
1776790081.876956940,0.715799,0.108069,1776790081.862894058,0.086754,0.004323,0.637543
1776790081.927172184,0.715799,0.108069,1776790081.933002234,0.093745,0.007242,0.630173
1776790081.977200747,0.732660,0.107922,1776790081.962851763,0.097044,0.005384,0.643834
1776790082.027206182,0.732660,0.107922,1776790082.022691727,0.104625,0.004788,0.636446
1776790082.077213526,0.750482,0.105452,1776790082.082831383,0.111727,0.006281,0.646408
1776790082.127090216,0.750444,0.105722,1776790082.112900019,0.115536,0.006587,0.642602
1776790082.346567154,0.750444,0.105722,1776790082.342977285,0.143997,0.007070,0.614419
1776790082.177212000,0.750482,0.105452,1776790082.172998905,0.122563,0.006318,0.635697
1776790082.226941586,0.768494,0.104707,1776790082.222793102,0.127825,0.008286,0.647884
1776790082.276745558,0.768494,0.104707,1776790082.272605419,0.133326,0.007021,0.642636
1776790082.326740265,0.788420,0.101257,1776790082.333027363,0.141027,0.007417,0.654159
1776790082.376741648,0.788420,0.101257,1776790082.372765779,0.148377,0.008916,0.646670
1776790082.426744223,0.788420,0.101257,1776790082.422598839,0.154733,0.008068,0.640503
1776790082.476921082,0.805225,0.104446,1776790082.472599745,0.163155,0.008002,0.649272
1776790082.527014494,0.805225,0.104446,1776790082.532600641,0.173123,0.008342,0.639366
1776790082.576954842,0.805225,0.104446,1776790082.582596779,0.180819,0.008963,0.631664
1776790082.626930475,0.830049,0.106106,1776790082.622790813,0.188178,0.009014,0.649173
1776790082.677196264,0.830072,0.105788,1776790082.672672272,0.194977,0.009169,0.642403
1776790082.726800919,0.846235,0.101950,1776790082.722684622,0.202653,0.009156,0.650237
1776790082.776928186,0.846235,0.101950,1776790082.782665730,0.212544,0.010042,0.640322
1776790082.826739788,0.846235,0.101950,1776790082.822615862,0.219952,0.008573,0.633206
1776790082.876939058,0.867663,0.104075,1776790082.872770309,0.227188,0.009639,0.647400
1776790082.926746368,0.867663,0.104075,1776790082.922764778,0.235362,0.010638,0.639167
1776790082.976945877,0.890393,0.100588,1776790082.982770681,0.244185,0.012470,0.652189
1776790083.027006626,0.890393,0.100588,1776790083.032734632,0.252321,0.011202,0.644303
1776790083.246573925,0.890393,0.100588,1776790083.242741108,0.287382,0.011277,0.609589
1776790083.076921940,0.890393,0.100588,1776790083.083080053,0.259366,0.010622,0.637408
1776790083.126893044,0.910636,0.103046,1776790083.122750998,0.267271,0.008884,0.650220
1776790083.176915884,0.910636,0.103046,1776790083.172746897,0.274175,0.010304,0.643183
1776790083.227046967,0.910636,0.103046,1776790083.222760201,0.281646,0.011831,0.635570
1776790083.277180433,0.927581,0.104060,1776790083.262629986,0.289044,0.011647,0.645190
1776790083.326994658,0.927581,0.104060,1776790083.322667122,0.299265,0.011969,0.635029
1776790083.377203465,0.952878,0.103614,1776790083.382619858,0.310186,0.016098,0.648623
1776790083.427012682,0.952878,0.103614,1776790083.412840605,0.317499,0.012835,0.641831
1776790083.477186203,0.952878,0.103614,1776790083.472743750,0.325837,0.016121,0.633115
1776790083.527201891,0.976116,0.101754,1776790083.512691975,0.331031,0.016291,0.650721
1776790083.577028036,0.976116,0.101754,1776790083.573018789,0.340611,0.016578,0.641188
1776790083.627105713,0.994207,0.103871,1776790083.632999420,0.351816,0.016987,0.648240
1776790083.677306414,0.994207,0.103871,1776790083.662764549,0.356476,0.017502,0.643553
1776790083.727204561,0.994207,0.103871,1776790083.722754478,0.366225,0.018003,0.633825
1776790083.777004004,1.014170,0.103654,1776790083.793063879,0.376369,0.018586,0.643449
1776790083.826942444,1.014170,0.103654,1776790083.822689295,0.381189,0.018592,0.638670
1776790083.877014160,1.014170,0.103654,1776790083.882770061,0.391313,0.018971,0.628587
1776790083.927215576,1.040206,0.099854,1776790083.912808418,0.397467,0.019067,0.647796
1776790083.977242708,1.040206,0.099854,1776790083.973007679,0.407582,0.019397,0.637720
1776790084.027038574,1.060993,0.098252,1776790084.032987595,0.417199,0.019547,0.648587
1776790084.076753378,1.060993,0.098252,1776790084.062750578,0.422963,0.019820,0.642832
1776790084.126772165,1.060993,0.098252,1776790084.133000851,0.433464,0.019975,0.632392
1776790084.177237988,1.076769,0.099752,1776790084.172996759,0.441359,0.020075,0.640386
1776790084.227209806,1.076769,0.099752,1776790084.222600698,0.448464,0.020640,0.633266
1776790084.277176142,1.114441,0.094817,1776790084.272599697,0.456702,0.020753,0.661896
1776790084.327187777,1.114441,0.094817,1776790084.332596302,0.470413,0.020801,0.648267
1776790084.377206087,1.114441,0.094817,1776790084.372992039,0.479197,0.021272,0.639488
1776790084.427208900,1.133577,0.103610,1776790084.422996759,0.489691,0.021317,0.649124
1776790084.477182865,1.132162,0.099300,1776790084.472986937,0.499969,0.021963,0.636905
1776790084.696578741,1.132162,0.099300,1776790084.702966452,0.548633,0.023053,0.588489
1776790084.526997089,1.164024,0.098932,1776790084.533017397,0.512467,0.022172,0.656063
1776790084.577172279,1.164024,0.098932,1776790084.582838535,0.522737,0.022307,0.645848
1776790084.627170801,1.164024,0.098932,1776790084.622985363,0.532024,0.022707,0.636580
1776790084.677259207,1.189234,0.099112,1776790084.672998190,0.542052,0.023089,0.651633
1776790084.727010965,1.189234,0.099112,1776790084.732807875,0.555790,0.022922,0.638010
1776790084.777197123,1.189234,0.099112,1776790084.783015966,0.565173,0.023659,0.628606
1776790084.827204704,1.217369,0.098988,1776790084.822695732,0.574956,0.023764,0.646803
1776790084.876940966,1.217369,0.098988,1776790084.872987032,0.584327,0.024019,0.637465
1776790084.927199602,1.247170,0.096966,1776790084.922982931,0.593983,0.024647,0.657178
1776790084.977196455,1.247170,0.096966,1776790084.972816944,0.605062,0.024474,0.646186
1776790085.027186632,1.247170,0.096966,1776790085.022812366,0.618836,0.023580,0.632604
1776790085.076995611,1.273264,0.098397,1776790085.072975397,0.627872,0.025233,0.649525
1776790085.127199411,1.273264,0.098397,1776790085.122998238,0.637552,0.025262,0.639905
1776790085.176934004,1.298624,0.098809,1776790085.182807922,0.650502,0.025659,0.652238
1776790085.227274179,1.298624,0.098809,1776790085.232805967,0.659571,0.026217,0.643163
1776790085.277264595,1.298624,0.098809,1776790085.262997150,0.666000,0.026326,0.636763
1776790085.327194214,1.329448,0.095701,1776790085.322993994,0.678733,0.026688,0.654364
1776790085.377194166,1.329448,0.095701,1776790085.382817268,0.693040,0.026877,0.640118
1776790085.426951170,1.355284,0.095495,1776790085.412759304,0.699616,0.027266,0.659209
1776790085.477180243,1.355284,0.095495,1776790085.472778797,0.711577,0.027805,0.647256
1776790085.527200460,1.355284,0.095495,1776790085.512996435,0.719013,0.027859,0.639855
1776790085.577205181,1.384585,0.093208,1776790085.573021412,0.732413,0.028193,0.655405
1776790085.627187729,1.384585,0.093208,1776790085.633012056,0.746176,0.028738,0.641656
1776790085.677178621,1.384585,0.093208,1776790085.662855625,0.752512,0.028869,0.635339
1776790085.727204561,1.413660,0.092350,1776790085.722995043,0.766062,0.029327,0.650658
1776790085.777336121,1.413660,0.092350,1776790085.782982349,0.779702,0.029676,0.637049
1776790085.827031851,1.441540,0.094158,1776790085.822995424,0.785915,0.029845,0.658772
1776790085.877175093,1.441540,0.094158,1776790085.882824421,0.799461,0.030224,0.645254
1776790085.927211285,1.441540,0.094158,1776790085.913009644,0.805842,0.030228,0.638904
1776790086.146564960,1.441540,0.094158,1776790086.142989397,0.856531,0.031371,0.588369
1776790085.977211714,1.462275,0.096099,1776790085.972983837,0.819293,0.030722,0.646298
1776790086.026996851,1.462275,0.096099,1776790086.022798061,0.830201,0.031076,0.635410
1776790086.076990604,1.462275,0.096099,1776790086.082977772,0.842758,0.031439,0.622883
1776790086.127166748,1.495769,0.093451,1776790086.133058548,0.853544,0.031511,0.645205
1776790086.177190542,1.495769,0.093451,1776790086.172997952,0.863731,0.031779,0.635040
1776790086.227003098,1.523888,0.093741,1776790086.222801208,0.873713,0.032280,0.653074
1776790086.277289152,1.523921,0.093754,1776790086.282821894,0.886992,0.032567,0.639862
1776790086.327020884,1.523888,0.093741,1776790086.332777262,0.896815,0.033066,0.630001
1776790086.377221823,1.547291,0.094888,1776790086.373017550,0.907000,0.033428,0.643234
1776790086.427039146,1.547291,0.094888,1776790086.423111439,0.915658,0.030789,0.634877
1776790086.477024078,1.577945,0.092502,1776790086.472813129,0.925147,0.030837,0.655703
1776790086.526745558,1.577945,0.092502,1776790086.533003569,0.939783,0.033232,0.640908
1776790086.577188969,1.577945,0.092502,1776790086.562993526,0.946295,0.033674,0.634383
1776790086.627206802,1.588924,0.095497,1776790086.622737885,0.958494,0.033967,0.633425
1776790086.677181959,1.588924,0.095497,1776790086.672796488,0.967697,0.032211,0.624442
1776790086.726930618,1.621017,0.094448,1776790086.732980013,0.979475,0.034707,0.644318
1776790086.777239084,1.621017,0.094448,1776790086.783009291,0.988604,0.034062,0.635290
1776790086.827210903,1.621017,0.094448,1776790086.823032141,0.997073,0.033819,0.626883
1776790086.876988649,1.637807,0.097611,1776790086.872830629,1.007986,0.032849,0.633141
1776790086.927199125,1.637807,0.097611,1776790086.923090696,1.015037,0.033433,0.626068
1776790086.977171659,1.637807,0.097611,1776790086.983012438,1.029864,0.035008,0.611158
1776790087.027203798,1.671835,0.095799,1776790087.022803783,1.039738,0.034673,0.635045
1776790087.076979399,1.671747,0.095772,1776790087.072995424,1.048757,0.036487,0.625804
1776790087.127173901,1.694288,0.097623,1776790087.122983932,1.060586,0.030881,0.637207
1776790087.176995039,1.694478,0.097602,1776790087.183006525,1.076073,0.033161,0.621753
1776790087.226962805,1.694288,0.097623,1776790087.212768316,1.083011,0.036566,0.614319
1776790087.276982784,1.734007,0.097353,1776790087.272993088,1.095602,0.029436,0.642008
1776790087.326991081,1.734007,0.097353,1776790087.333031893,1.110667,0.031913,0.626766
1776790087.377197027,1.734007,0.097353,1776790087.362982512,1.117245,0.033665,0.620042
1776790087.596582413,1.734007,0.097353,1776790087.582988501,1.171299,0.036659,0.565972
1776790087.426980257,1.741672,0.096175,1776790087.433039427,1.134156,0.034355,0.610654
1776790087.477013350,1.741672,0.096175,1776790087.462811708,1.141188,0.035047,0.603588
1776790087.527206182,1.792849,0.096369,1776790087.523014307,1.157056,0.035927,0.638659
1776790087.577012300,1.803400,0.096922,1776790087.582988501,1.171299,0.036659,0.634967
1776790087.627042532,1.803400,0.096922,1776790087.612811804,1.178923,0.036550,0.627389
1776790087.676989079,1.834584,0.096780,1776790087.682812452,1.193135,0.036703,0.644256
1776790087.727023363,1.834584,0.096780,1776790087.712962151,1.199751,0.037373,0.637607
1776790087.777178288,1.834584,0.096780,1776790087.773012877,1.213384,0.040044,0.623785
1776790087.827025414,1.854098,0.098431,1776790087.832811832,1.227061,0.039902,0.629763
1776790087.876842737,1.854098,0.098431,1776790087.863099098,1.233544,0.040099,0.623290
1776790087.927204370,1.836401,0.098961,1776790087.922996998,1.247432,0.040690,0.591844
1776790088.146587849,1.836401,0.098961,1776790088.142790556,1.297336,0.042818,0.541980
1776790087.977204561,1.836401,0.098961,1776790087.993108034,1.262085,0.041299,0.577203
1776790088.027202129,1.836401,0.098961,1776790088.022967100,1.268004,0.040851,0.571359
1776790088.077209711,1.850087,0.099263,1776790088.082977533,1.282584,0.041635,0.570421
1776790088.127015829,1.850087,0.099263,1776790088.122813463,1.293918,0.043518,0.558955
1776790088.177198410,1.863901,0.099550,1776790088.172982216,1.304987,0.043336,0.561734
1776790088.227210999,1.863901,0.099550,1776790088.223101139,1.315263,0.043690,0.551474
1776790088.277200699,1.877844,0.099821,1776790088.283118010,1.328212,0.042586,0.552604
1776790088.327208042,1.869839,0.099524,1776790088.332830667,1.338910,0.043554,0.533871
1776790088.377290964,1.869476,0.099479,1776790088.373024464,1.348692,0.042827,0.523856
1776790088.427033663,1.912527,0.100503,1776790088.422750235,1.359374,0.044068,0.556025
1776790088.477204323,1.924329,0.100723,1776790088.472803116,1.369819,0.043455,0.557459
1776790088.527198792,1.924329,0.100723,1776790088.533025026,1.383974,0.044777,0.543244
1776790088.577215910,1.962894,0.101378,1776790088.572986603,1.394800,0.044170,0.570966
1776790088.627170086,1.962913,0.101324,1776790088.623004436,1.405633,0.043930,0.560228
1776790088.677203894,1.970864,0.101828,1776790088.673013210,1.416609,0.044637,0.557198
1776790088.726948023,1.970864,0.101828,1776790088.733003378,1.430350,0.044444,0.543552
1776790088.777209997,1.970864,0.101828,1776790088.782807112,1.440837,0.044938,0.533072
1776790088.827149630,1.977691,0.101674,1776790088.822972775,1.451614,0.045377,0.529081
1776790089.046587467,1.977691,0.101674,1776790089.042821407,1.501835,0.045718,0.479135
1776790088.877014875,1.977691,0.101674,1776790088.872813225,1.458938,0.044818,0.521860
1776790088.927006721,1.977691,0.101674,1776790088.923082829,1.468779,0.045092,0.512048
1776790088.977210283,2.016843,0.102924,1776790088.982752562,1.486209,0.045542,0.533728
1776790089.026942015,2.016843,0.102924,1776790089.022772074,1.497638,0.045685,0.522351
1776790089.077023983,2.031952,0.102233,1776790089.073022604,1.509031,0.046713,0.525860
1776790089.126743317,2.037312,0.102269,1776790089.133001804,1.522437,0.046143,0.517925
1776790089.177047968,2.037312,0.102269,1776790089.162986040,1.530476,0.047416,0.509795
1776790089.227329493,2.072392,0.103164,1776790089.233005762,1.544909,0.047646,0.530396
1776790089.277192116,2.072392,0.103164,1776790089.263009548,1.551344,0.046783,0.524089
1776790089.327201128,2.072392,0.103164,1776790089.323029518,1.566108,0.048329,0.509245
1776790089.377213478,2.101104,0.104274,1776790089.382966280,1.580283,0.048355,0.523814
1776790089.426928759,2.101104,0.104274,1776790089.412979603,1.588466,0.049014,0.515608
1776790089.477170467,2.108110,0.104673,1776790089.472849846,1.602633,0.049303,0.508500
1776790089.526956797,2.108110,0.104673,1776790089.542790413,1.617144,0.049279,0.494081
1776790089.576956272,2.108110,0.104673,1776790089.572766781,1.625230,0.050217,0.485940
1776790089.627092838,2.127780,0.105366,1776790089.632780552,1.639121,0.050931,0.491681
1776790089.677201748,2.127780,0.105366,1776790089.662986517,1.646363,0.050766,0.484503
1776790089.726927042,2.161118,0.106946,1776790089.722977638,1.661335,0.051377,0.502863
1776790089.777200222,2.164071,0.106952,1776790089.782981873,1.676125,0.052104,0.491020
1776790089.826931238,2.164102,0.106953,1776790089.812829733,1.683081,0.052256,0.484121
1776790089.877199173,2.176068,0.107305,1776790089.882767677,1.697666,0.052747,0.481502
1776790089.926921129,2.176068,0.107305,1776790089.922976732,1.708695,0.053148,0.470500
1776790089.976942301,2.189121,0.108067,1776790089.973014832,1.719751,0.053670,0.472512
1776790090.026932716,2.188968,0.108064,1776790090.022736788,1.730671,0.053527,0.461530
1776790090.076930523,2.189121,0.108067,1776790090.082816839,1.745203,0.054504,0.447137
1776790090.127203226,2.214150,0.109127,1776790090.122964621,1.756206,0.054575,0.461182
1776790090.177171230,2.214150,0.109127,1776790090.172973871,1.766801,0.055566,0.450544
1776790090.227189302,2.214150,0.109127,1776790090.222805500,1.778440,0.054334,0.439142
1776790090.276989698,2.219608,0.109148,1776790090.282831669,1.793821,0.055684,0.429131
1776790090.496560574,2.219608,0.109148,1776790090.503001690,1.845270,0.057227,0.377922
1776790090.327181339,2.233721,0.109425,1776790090.333022356,1.803942,0.055759,0.433116
1776790090.376753569,2.236040,0.110041,1776790090.372978687,1.815075,0.055439,0.424491
1776790090.427219152,2.236040,0.110041,1776790090.422997475,1.825859,0.055925,0.413736
1776790090.477204323,2.236040,0.110041,1776790090.483008146,1.841159,0.057462,0.398366
1776790090.527216196,2.244086,0.111014,1776790090.532982349,1.851722,0.056649,0.396112
1776790090.577189922,2.244086,0.111014,1776790090.573038816,1.862630,0.058134,0.385104
1776790090.626911402,2.283968,0.111675,1776790090.623018026,1.874032,0.058686,0.413347
1776790090.677180529,2.283968,0.111675,1776790090.672987461,1.884835,0.058000,0.402726
1776790090.726936102,2.283968,0.111675,1776790090.733015776,1.898853,0.059145,0.388681
1776790090.777194738,2.308943,0.111754,1776790090.773017406,1.910681,0.059188,0.401716
1776790090.826920748,2.308794,0.111751,1776790090.822810411,1.920577,0.059117,0.391769
1776790091.046581507,2.308794,0.111751,1776790091.043051243,1.971868,0.061440,0.340661
1776790090.877205849,2.308943,0.111754,1776790090.872999668,1.932143,0.060446,0.380278
1776790090.927067280,2.318454,0.112583,1776790090.923009872,1.942678,0.060877,0.379317
1776790090.977103710,2.318357,0.112580,1776790090.983018398,1.957556,0.061011,0.364469
1776790091.027183294,2.332532,0.113266,1776790091.013012171,1.963983,0.061772,0.372129
1776790091.077175140,2.332532,0.113266,1776790091.072800398,1.979080,0.061833,0.357175
1776790091.127007723,2.332532,0.113266,1776790091.133012295,1.994203,0.061814,0.342219
1776790091.177198887,2.346729,0.113598,1776790091.163000822,2.001661,0.062683,0.348805
1776790091.227018833,2.346729,0.113598,1776790091.232986927,2.016659,0.062863,0.333947
1776790091.277202368,2.360969,0.113940,1776790091.263010502,2.023232,0.063296,0.341513
1776790091.327189445,2.375209,0.114271,1776790091.322999477,2.037997,0.063334,0.341038
1776790091.377183199,2.375209,0.114271,1776790091.392811060,2.052993,0.063819,0.326142
1776790091.426996469,2.384180,0.116094,1776790091.413002253,2.059604,0.064543,0.328644
1776790091.477291107,2.384180,0.116094,1776790091.472995281,2.074552,0.064401,0.313914
1776790091.526999950,2.384180,0.116094,1776790091.542976141,2.091564,0.062345,0.297512
1776790091.577208042,2.384470,0.115889,1776790091.573008060,2.103473,0.061091,0.286290
1776790091.627010345,2.398752,0.116229,1776790091.633098841,2.117458,0.061927,0.286487
1776790091.677186728,2.443928,0.118739,1776790091.663026094,2.125988,0.061911,0.322979
1776790091.727208853,2.444124,0.118742,1776790091.722985029,2.140566,0.062716,0.308685
