timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777296810.103865623,0.188545,-0.068153,1777296810.173035860,0.000000,0.000000,0.200484
1777296810.153878927,0.188545,-0.068153,1777296810.173035860,0.000000,0.000000,0.200484
1777296810.203806639,0.189480,-0.068379,1777296810.203037500,0.000048,-0.000091,0.201365
1777296810.411856890,0.189480,-0.068379,1777296810.403021097,-0.000044,0.000004,0.201484
1777296810.253820896,0.189480,-0.068379,1777296810.253040075,0.000037,-0.000059,0.201386
1777296810.461860895,0.189480,-0.068379,1777296810.463040829,-0.000038,0.000041,0.201490
1777296810.303791046,0.189480,-0.068379,1777296810.313034058,0.000041,0.000057,0.201421
1777296810.353842020,0.188439,-0.068528,1777296810.353037119,-0.000106,0.000018,0.200618
1777296810.403818846,0.188439,-0.068528,1777296810.403021097,-0.000044,0.000004,0.200556
1777296810.611865997,0.188439,-0.068528,1777296810.603035450,-0.000010,0.000000,0.200523
1777296810.453813076,0.188888,-0.068204,1777296810.453023911,-0.000035,0.000025,0.200866
1777296810.503808737,0.188888,-0.068204,1777296810.513033867,-0.000068,-0.000075,0.200863
1777296810.553818941,0.188888,-0.068204,1777296810.563047886,-0.000026,0.000081,0.200877
1777296810.603838205,0.188048,-0.068082,1777296810.603035450,-0.000010,0.000000,0.200002
1777296810.811856270,0.188048,-0.068082,1777296810.803104401,-0.000116,0.000112,0.200140
1777296810.653905630,0.188048,-0.068082,1777296810.653043985,-0.000034,0.000026,0.200034
1777296810.703784943,0.188268,-0.067757,1777296810.703041553,0.000072,0.000029,0.200032
1777296810.753854513,0.188268,-0.067757,1777296810.763039589,0.000060,-0.000038,0.200021
1777296810.961854696,0.188268,-0.067757,1777296810.963040352,0.000065,0.000013,0.200033
1777296810.803810835,0.188268,-0.067757,1777296810.803104401,-0.000116,0.000112,0.200237
1777296811.011878967,0.188268,-0.067757,1777296811.023080349,0.000022,-0.000127,0.200026
1777296810.853832960,0.188798,-0.067693,1777296810.853049517,-0.000004,-0.000026,0.200562
1777296810.903811693,0.188798,-0.067693,1777296810.903024197,0.000050,0.000045,0.200535
1777296810.953814030,0.189142,-0.068886,1777296810.963040352,0.000065,0.000013,0.201239
1777296811.161855936,0.189142,-0.068886,1777296811.143145800,-0.000111,-0.000095,0.201368
1777296811.003835440,0.189142,-0.068975,1777296810.993060827,0.000079,0.000021,0.201259
1777296811.053836823,0.189142,-0.068975,1777296811.053030729,0.000002,0.000084,0.201353
1777296811.103961945,0.188649,-0.068001,1777296811.113076448,0.000004,-0.000078,0.200500
1777296811.311851501,0.188649,-0.068001,1777296811.303112268,0.000065,-0.000030,0.200460
1777296811.153904676,0.188649,-0.068001,1777296811.143145800,-0.000111,-0.000095,0.200603
1777296811.361866236,0.188649,-0.068001,1777296811.363126040,-0.000012,-0.000018,0.200536
1777296811.204190493,0.188640,-0.068084,1777296811.213106871,-0.000030,0.000025,0.200588
1777296811.253980637,0.188641,-0.068081,1777296811.243100166,0.000019,0.000014,0.200537
1777296811.303722858,0.188640,-0.068084,1777296811.303112268,0.000065,-0.000030,0.200480
