timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1776790079.427037239,-0.024140,0.089744,1776790079.442800283,-0.000028,0.000072,0.092857
1776790079.646893024,-0.023377,0.089791,1776790079.652625561,-0.000014,0.000007,0.092774
1776790079.696833849,-0.023257,0.089590,1776790079.682636738,0.000002,-0.000024,0.092584
1776790079.746830940,-0.023151,0.089413,1776790079.742612123,0.000015,0.000036,0.092330
1776790079.796954155,-0.023629,0.089851,1776790079.802583694,0.000022,0.000017,0.092895
1776790079.847238064,-0.024245,0.090274,1776790079.832889080,-0.000002,0.000049,0.093425
1776790079.896931171,-0.024806,0.090654,1776790079.892693520,0.000033,0.000005,0.093991
1776790079.946923494,-0.025190,0.090618,1776790079.932631493,0.000020,0.000009,0.094050
1776790079.996824503,-0.025011,0.090349,1776790079.992651939,0.000021,0.000008,0.093745
1776790080.047164917,-0.022614,0.090496,1776790080.052704334,0.000028,-0.000029,0.093314
1776790080.097041130,-0.021312,0.090676,1776790080.082890987,0.000046,-0.000037,0.093194
1776790080.146929741,-0.020306,0.090844,1776790080.142703772,0.000027,0.000041,0.093051
1776790080.196946144,-0.020092,0.090334,1776790080.212740898,0.000048,-0.000030,0.092582
1776790080.246889353,-0.020498,0.090064,1776790080.242788792,0.000047,0.000040,0.092338
1776790080.296991587,-0.020878,0.089814,1776790080.292815685,0.000064,-0.000035,0.092258
1776790080.346934795,-0.023181,0.089931,1776790080.342605114,0.000022,0.000024,0.092853
1776790080.396974564,-0.024783,0.090189,1776790080.392688274,0.000021,0.000061,0.093479
1776790080.446907759,-0.026012,0.090018,1776790080.442782164,0.000036,-0.000033,0.093742
1776790080.496915340,-0.024828,0.089951,1776790080.502651691,0.000094,0.000082,0.093261
1776790080.546903133,-0.023584,0.089899,1776790080.542607546,0.001742,0.000055,0.093345
1776790080.596937895,-0.023326,0.089509,1776790080.592743158,0.002685,0.003928,0.089446
1776790080.646901846,-0.023190,0.089280,1776790080.642616510,0.004442,0.000637,0.092850
1776790080.696813345,-0.023763,0.089970,1776790080.692640066,0.006433,0.001433,0.093545
1776790080.746805429,-0.022432,0.090297,1776790080.752620459,0.008375,0.001264,0.094212
1776790080.796816349,-0.019681,0.090666,1776790080.792609453,0.009556,0.001046,0.094268
1776790080.846807718,-0.019041,0.090722,1776790080.842604399,0.010774,0.000503,0.095017
1776790080.896852016,-0.018436,0.090775,1776790080.892785549,0.011811,0.000146,0.095543
1776790080.946830750,-0.017945,0.090839,1776790080.952642918,0.013098,0.003275,0.092903
1776790080.997023582,-0.017412,0.090740,1776790080.992597103,0.014566,0.000265,0.095961
1776790081.046801567,-0.018763,0.090739,1776790081.042591095,0.016044,0.000576,0.096649
1776790081.096821070,-0.018124,0.091272,1776790081.092606783,0.018891,0.003614,0.095153
1776790081.146804333,-0.017516,0.091770,1776790081.152615070,0.022413,0.002815,0.097506
1776790081.196845531,-0.016845,0.092239,1776790081.202631950,0.026432,0.006078,0.096418
1776790081.246830225,-0.012988,0.092131,1776790081.242609262,0.029989,0.002622,0.099292
1776790081.296841383,-0.009907,0.092192,1776790081.292590857,0.032636,0.001812,0.099892
1776790081.346782923,-0.009878,0.091826,1776790081.342614412,0.036974,-0.001690,0.104597
1776790081.396814108,-0.005909,0.091395,1776790081.402947187,0.041828,-0.000070,0.103173
1776790081.446815014,-0.002125,0.090834,1776790081.432627678,0.042899,-0.000729,0.102035
1776790081.496812582,0.000820,0.090530,1776790081.492626429,0.048842,0.000257,0.102251
