timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777292802.024982691,-0.021179,0.019039,1777292802.024481773,0.000007,0.000092,0.028422
1777292802.074991703,-0.018954,0.018706,1777292802.074558020,0.000010,0.000061,0.026595
1777292802.124828577,-0.020619,0.019214,1777292802.084493876,-0.000033,0.000131,0.028071
1777292802.174856424,-0.021298,0.019409,1777292802.244513988,-0.000010,0.000099,0.028741
1777292802.224859953,-0.021907,0.019583,1777292802.244513988,-0.000010,0.000099,0.029310
1777292802.274987459,-0.021923,0.019583,1777292802.284505367,-0.000011,0.000116,0.029310
1777292802.324891090,-0.023779,0.020068,1777292802.334492207,-0.000036,0.000101,0.031023
1777292802.374829769,-0.023774,0.019619,1777292802.354497194,-0.000041,0.000113,0.030720
1777292802.424844503,-0.023807,0.019250,1777292802.354497194,-0.000041,0.000113,0.030513
1777292802.474860430,-0.023837,0.018913,1777292802.504560232,-0.000021,0.000093,0.030355
1777292802.524997234,-0.023875,0.018914,1777292802.524491072,-0.000031,0.000067,0.030392
1777292802.574906349,-0.025271,0.020262,1777292802.584491968,-0.000041,0.000124,0.032282
1777292802.624833107,-0.025944,0.020906,1777292802.584491968,-0.000041,0.000124,0.033209
1777292802.674821138,-0.026571,0.021500,1777292802.754519224,-0.000032,0.000060,0.034117
1777292802.724846363,-0.027157,0.022048,1777292802.754519224,-0.000032,0.000060,0.034917
1777292802.774899483,-0.027247,0.022050,1777292802.764497757,-0.000012,0.000065,0.035001
1777292802.824862480,-0.026532,0.021457,1777292802.824490309,-0.000013,0.000056,0.034077
1777292802.874824047,-0.026194,0.021149,1777292802.824490309,-0.000013,0.000056,0.033621
1777292802.924827337,-0.025874,0.020862,1777292803.004486322,-0.000041,0.000094,0.033146
1777292802.974849939,-0.025570,0.020596,1777292803.004486322,-0.000041,0.000094,0.032743
1777292803.024857998,-0.025613,0.020597,1777292803.024480581,-0.000036,0.000114,0.032768
1777292803.074860811,-0.026385,0.021609,1777292803.074491024,-0.000023,0.000022,0.034072
1777292803.124816418,-0.026787,0.022163,1777292803.094492674,-0.000050,0.000115,0.034655
1777292803.174858093,-0.027161,0.022679,1777292803.254508018,-0.000047,0.000094,0.035287
