timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777296810.573818922,-0.032618,0.005329,1777296810.593036175,0.000000,0.000000,0.033050
1777296810.623812914,-0.032618,0.005329,1777296810.623053312,-0.000011,-0.000153,0.033065
1777296810.673808813,-0.032661,0.005197,1777296810.673039436,0.000045,-0.000136,0.033138
1777296810.723819017,-0.032830,0.005087,1777296810.713063240,0.000081,-0.000207,0.033335
1777296810.773838043,-0.031858,0.005209,1777296810.773041487,0.000013,-0.000011,0.032295
1777296810.823905706,-0.030109,0.005079,1777296810.823051929,0.000006,-0.000038,0.030546
1777296810.873784781,-0.031349,0.004889,1777296810.873072624,0.000031,-0.000123,0.031777
1777296810.923854351,-0.032557,0.004713,1777296810.933067560,0.000055,-0.000139,0.032971
1777296810.973810673,-0.033534,0.004549,1777296810.963040352,0.000093,-0.000101,0.033947
1777296811.023833036,-0.035256,0.004354,1777296811.023080349,0.000050,-0.000241,0.035603
1777296811.073811531,-0.036809,0.004305,1777296811.083012104,0.000042,-0.000125,0.037117
1777296811.123814106,-0.037633,0.004382,1777296811.113076448,0.000032,-0.000192,0.037942
1777296811.173835516,-0.038347,0.004450,1777296811.183031321,-0.000006,-0.000137,0.038615
1777296811.223836899,-0.038972,0.004510,1777296811.213106871,-0.000003,-0.000089,0.039240
1777296811.273962021,-0.037909,0.004607,1777296811.273330927,0.000066,-0.000068,0.038261
1777296811.323904753,-0.036422,0.004606,1777296811.333029270,-0.000003,-0.000114,0.036724
1777296811.374190331,-0.036434,0.004493,1777296811.363126040,0.000016,-0.000133,0.036742
1777296811.423980474,-0.036908,0.004407,1777296811.423222065,-0.000053,-0.000100,0.037130
1777296811.473722696,-0.037346,0.004334,1777296811.493026018,-0.000011,-0.000232,0.037613
1777296811.523902416,-0.038137,0.004380,1777296811.523057222,-0.000041,-0.000056,0.038354
1777296811.573945284,-0.038855,0.004422,1777296811.583042145,0.000028,-0.000105,0.039146
