timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1776790078.789484739,-0.013203,0.090723,1776790078.862804174,0.000000,0.000000,0.091679
1776790078.839535713,-0.013203,0.090723,1776790078.862804174,0.000000,0.000000,0.091679
1776790078.889653444,-0.013203,0.090723,1776790078.892639160,0.000019,-0.000034,0.091715
1776790078.939964771,-0.013203,0.090723,1776790078.932762146,0.000007,0.000010,0.091670
1776790078.989754200,-0.013203,0.090723,1776790078.983394861,-0.000014,0.000079,0.091599
1776790079.039026022,-0.013203,0.090723,1776790079.042841434,0.000033,-0.000053,0.091736
1776790079.089598656,-0.013203,0.090723,1776790079.092645168,0.000026,-0.000031,0.091713
1776790079.140146971,-0.013203,0.090723,1776790079.132776976,0.000006,-0.000018,0.091697
1776790079.190381289,-0.013203,0.090723,1776790079.182596922,-0.000011,-0.000005,0.091683
1776790079.240645170,-0.013203,0.090723,1776790079.242981672,-0.000012,0.000029,0.091648
1776790079.289920092,-0.013203,0.090723,1776790079.292763948,-0.000018,0.000031,0.091645
1776790079.339760780,-0.013203,0.090723,1776790079.342762709,0.000013,-0.000010,0.091690
1776790079.389095068,-0.013203,0.090723,1776790079.402758121,0.000017,0.000010,0.091671
1776790079.439080954,-0.013203,0.090723,1776790079.442800283,-0.000028,0.000072,0.091604
1776790079.489060879,-0.013203,0.090723,1776790079.492776155,0.000033,-0.000027,0.091710
1776790079.539018154,-0.013203,0.090723,1776790079.552690744,0.000015,0.000016,0.091665
1776790079.589130163,-0.013203,0.090723,1776790079.582768917,0.000000,0.000013,0.091666
1776790079.638985872,-0.013203,0.090723,1776790079.652625561,-0.000014,0.000007,0.091670
1776790079.689557552,-0.013203,0.090723,1776790079.682636738,0.000002,-0.000024,0.091703
1776790079.739554644,-0.013203,0.090723,1776790079.742612123,0.000015,0.000036,0.091645
1776790079.789705992,-0.013203,0.090723,1776790079.802583694,0.000022,0.000017,0.091665
1776790079.839989901,-0.013203,0.090723,1776790079.832889080,-0.000002,0.000049,0.091630
1776790079.889683008,-0.013203,0.090723,1776790079.892693520,0.000033,0.000005,0.091678
1776790079.938985825,-0.013203,0.090723,1776790079.932631493,0.000020,0.000009,0.091673
1776790079.988886833,-0.013203,0.090723,1776790079.992651939,0.000021,0.000008,0.091674
1776790080.039916754,-0.013203,0.090723,1776790080.052704334,0.000028,-0.000029,0.091712
1776790080.089792967,-0.013203,0.090723,1776790080.082890987,0.000046,-0.000037,0.091722
1776790080.139681816,-0.013203,0.090723,1776790080.142703772,0.000027,0.000041,0.091642
1776790080.189669847,-0.013203,0.090723,1776790080.172810316,0.000015,0.000078,0.091604
1776790080.239613295,-0.013203,0.090723,1776790080.242788792,0.000047,0.000040,0.091646
1776790080.289715290,-0.013203,0.090723,1776790080.292815685,0.000064,-0.000035,0.091723
1776790080.339686632,-0.013203,0.090723,1776790080.342605114,0.000022,0.000024,0.091658
1776790080.389726400,-0.013203,0.090723,1776790080.392688274,0.000021,0.000061,0.091622
1776790080.439000607,-0.013203,0.090723,1776790080.442782164,0.000036,-0.000033,0.091716
1776790080.489008427,-0.013203,0.090723,1776790080.482795954,0.000036,0.000033,0.091651
1776790080.538995981,-0.011995,0.090748,1776790080.542607546,0.001742,0.000055,0.091727
1776790080.589661598,-0.010575,0.090776,1776790080.592743158,0.002685,0.003928,0.087855
1776790080.639625549,-0.009155,0.090761,1776790080.642616510,0.004442,0.000637,0.091144
1776790080.689565420,-0.007817,0.090747,1776790080.692640066,0.006433,0.001433,0.090443
1776790080.739557266,-0.006100,0.090734,1776790080.732630491,0.007951,0.001295,0.090536
1776790080.789568186,-0.004787,0.090725,1776790080.792609453,0.009556,0.001046,0.090818
1776790080.838901043,-0.003650,0.090714,1776790080.842604399,0.010774,0.000503,0.091357
1776790080.888945103,-0.003650,0.090714,1776790080.892785549,0.011811,0.000146,0.091878
1776790080.938923836,-0.003650,0.090714,1776790080.932612419,0.013723,0.001259,0.091126
1776790080.990408659,-0.001175,0.090763,1776790080.992597103,0.014566,0.000265,0.091857
1776790081.040186882,0.001305,0.090734,1776790081.042591095,0.016044,0.000576,0.091355
1776790081.089544773,0.003298,0.090701,1776790081.092606783,0.018891,0.003614,0.088471
1776790081.139528036,0.006611,0.090792,1776790081.132601261,0.022170,-0.000687,0.092793
1776790081.189569235,0.009622,0.090873,1776790081.182610989,0.024459,0.005427,0.086725
1776790081.240241051,0.013058,0.090948,1776790081.242609262,0.029989,0.002622,0.089934
1776790081.290252209,0.017256,0.090864,1776790081.292590857,0.032636,0.001812,0.090370
1776790081.339534998,0.019852,0.090801,1776790081.342614412,0.036974,-0.001690,0.094063
1776790081.389566183,0.023902,0.090874,1776790081.402947187,0.041828,-0.000070,0.092694
1776790081.439566851,0.028185,0.090952,1776790081.432627678,0.042899,-0.000729,0.092855
1776790081.489564657,0.031359,0.091009,1776790081.492626429,0.048842,0.000257,0.092420
1776790081.539565802,0.035566,0.091085,1776790081.552609444,0.052080,0.003096,0.089525
1776790081.589577913,0.039847,0.091150,1776790081.582687855,0.056244,0.000766,0.091859
1776790081.639569759,0.045583,0.091164,1776790081.652646303,0.062068,-0.000535,0.093169
1776790081.689589977,0.050797,0.091172,1776790081.682626247,0.064784,0.003460,0.088820
1776790081.740708113,0.057197,0.091178,1776790081.742669821,0.072369,0.004812,0.087689
1776790081.790321112,0.062259,0.091162,1776790081.802640676,0.079865,0.005051,0.087892
1776790081.840607882,0.068746,0.091133,1776790081.832896233,0.083463,0.002810,0.089541
1776790081.889856339,0.073661,0.091106,1776790081.892736197,0.089568,0.005334,0.087235
1776790081.939978123,0.080229,0.091065,1776790081.933002234,0.093761,0.007183,0.084967
1776790081.989926577,0.085269,0.091026,1776790081.992813349,0.100417,0.008089,0.084309
1776790082.039708853,0.091857,0.090860,1776790082.052788019,0.108336,0.004227,0.088187
1776790082.089924097,0.096966,0.090728,1776790082.082831383,0.111742,0.006206,0.085805
1776790082.139952660,0.103596,0.090559,1776790082.142795324,0.119145,0.008428,0.083591
1776790082.189958096,0.108524,0.090446,1776790082.202795982,0.125570,0.007814,0.084372
1776790082.239993334,0.115130,0.090297,1776790082.242772579,0.129788,0.007437,0.084147
1776790082.289870024,0.120110,0.090280,1776790082.282599449,0.135154,0.006953,0.084674
1776790082.339991808,0.128106,0.090257,1776790082.342977285,0.144014,0.006964,0.084799
1776790082.389721632,0.134261,0.090236,1776790082.392685652,0.150824,0.007571,0.084308
1776790082.439525366,0.143374,0.090191,1776790082.442596197,0.157244,0.008799,0.082565
1776790082.489520073,0.150003,0.090146,1776790082.482596636,0.165646,0.008612,0.083021
1776790082.539521456,0.150003,0.090146,1776790082.532600641,0.173141,0.008208,0.085143
1776790082.589524269,0.163806,0.090108,1776790082.592596769,0.182339,0.008919,0.083277
1776790082.639672995,0.174450,0.090107,1776790082.642733097,0.191111,0.007808,0.083969
1776790082.689766407,0.181429,0.090051,1776790082.682742357,0.198339,0.010003,0.081815
1776790082.739706993,0.190561,0.089971,1776790082.732649326,0.205051,0.009672,0.081596
1776790082.789084196,0.197418,0.089897,1776790082.792683601,0.215337,0.009981,0.081900
1776790082.839350224,0.203717,0.089827,1776790082.842788935,0.222647,0.010322,0.081727
1776790082.889552593,0.213132,0.089711,1776790082.892670155,0.229859,0.009323,0.082110
1776790082.939680338,0.219936,0.089639,1776790082.932611942,0.237071,0.009900,0.081559
1776790082.989491701,0.229250,0.089535,1776790082.992602348,0.247699,0.009836,0.081807
1776790083.039690733,0.239021,0.089412,1776790083.042652845,0.254400,0.010596,0.080303
1776790083.089498281,0.245922,0.089380,1776790083.092640877,0.261697,0.011261,0.079696
1776790083.139069557,0.255101,0.089328,1776790083.132621765,0.269693,0.009222,0.081424
1776790083.189130545,0.262176,0.089316,1776790083.182598352,0.276695,0.010821,0.079826
1776790083.239045382,0.271459,0.089296,1776790083.242741108,0.287402,0.011034,0.079869
1776790083.289672852,0.278684,0.089269,1776790083.292670965,0.294516,0.011555,0.079310
1776790083.339696169,0.287989,0.089249,1776790083.352804899,0.304676,0.013156,0.077901
1776790083.389826775,0.295076,0.089231,1776790083.382619858,0.310211,0.015834,0.074941
1776790083.439273357,0.304185,0.089210,1776790083.442763567,0.320508,0.015786,0.075216
1776790083.489087582,0.311360,0.089395,1776790083.472743750,0.325862,0.015842,0.074969
1776790083.539327145,0.320889,0.089640,1776790083.542771101,0.335643,0.015553,0.075541
1776790083.589136124,0.327972,0.089635,1776790083.602809668,0.345783,0.016350,0.075418
1776790083.639309883,0.337376,0.089618,1776790083.632999420,0.351842,0.016683,0.074356
1776790083.689355850,0.344629,0.089599,1776790083.693096876,0.362004,0.017306,0.074352
1776790083.739181757,0.354058,0.089551,1776790083.752812624,0.371305,0.017782,0.073812
1776790083.789229393,0.361254,0.089509,1776790083.793063879,0.376396,0.018259,0.072841
1776790083.839429855,0.370855,0.089495,1776790083.853008032,0.387304,0.018216,0.073152
1776790083.889328241,0.378048,0.089487,1776790083.882770061,0.391340,0.018629,0.072095
1776790083.939096928,0.387442,0.089469,1776790083.942769766,0.402814,0.018555,0.072560
1776790083.989035606,0.394675,0.089647,1776790084.002651930,0.412764,0.018946,0.072977
1776790084.039107323,0.404263,0.089887,1776790084.032987595,0.417227,0.019180,0.071886
1776790084.089308739,0.411427,0.090067,1776790084.102781534,0.427526,0.019699,0.072186
1776790084.139335632,0.415321,0.090093,1776790084.133000851,0.433492,0.019593,0.072804
1776790084.189162016,0.427189,0.090164,1776790084.192802906,0.444477,0.019781,0.072475
1776790084.238876820,0.432258,0.090165,1776790084.232597828,0.451747,0.020334,0.072500
1776790084.288895845,0.445498,0.090160,1776790084.282598972,0.460268,0.020346,0.071359
1776790084.338672161,0.457446,0.090147,1776790084.342598677,0.473263,0.020825,0.071104
1776790084.388643742,0.466729,0.090385,1776790084.392811060,0.482976,0.020938,0.071322
1776790084.439329863,0.478854,0.090707,1776790084.442982197,0.492765,0.021165,0.070920
1776790084.489341497,0.488182,0.090674,1776790084.482820749,0.502906,0.021288,0.070931
1776790084.539359808,0.493071,0.090658,1776790084.542976856,0.515865,0.021743,0.072586
1776790084.588676453,0.507532,0.090603,1776790084.593004465,0.525392,0.022093,0.070799
1776790084.638650179,0.521036,0.090978,1776790084.642993450,0.535024,0.022480,0.069912
1776790084.689120770,0.530576,0.091238,1776790084.682763100,0.545780,0.022498,0.070401
1776790084.739295721,0.542582,0.091289,1776790084.732807875,0.555821,0.022423,0.070127
1776790084.789294243,0.551777,0.091323,1776790084.792829514,0.568555,0.023290,0.070071
1776790084.839382887,0.563931,0.091386,1776790084.843058586,0.578330,0.023475,0.069421
1776790084.889134645,0.573235,0.091452,1776790084.882991076,0.588164,0.023734,0.069344
1776790084.939320564,0.585374,0.091537,1776790084.932798147,0.597760,0.024137,0.068529
1776790084.988672018,0.594271,0.091587,1776790084.992988586,0.612405,0.023086,0.070861
1776790085.038408279,0.606455,0.091906,1776790085.043015003,0.621719,0.023819,0.069777
1776790085.089353561,0.615927,0.092174,1776790085.092985868,0.630716,0.024518,0.069253
1776790085.139350176,0.628141,0.092341,1776790085.132988691,0.639751,0.025072,0.068264
1776790085.189340353,0.637457,0.092460,1776790085.193007708,0.653473,0.024869,0.069463
1776790085.237806320,0.649212,0.092603,1776790085.232805967,0.659606,0.025619,0.067785
1776790085.288010359,0.658735,0.092840,1776790085.293016434,0.672960,0.025953,0.068384
1776790085.337708950,0.670734,0.093138,1776790085.322993994,0.678768,0.026072,0.067546
1776790085.388049364,0.680278,0.093430,1776790085.382817268,0.693075,0.026247,0.068391
1776790085.438040018,0.692451,0.093824,1776790085.443000317,0.705464,0.026976,0.068104
1776790085.488661289,0.702069,0.094143,1776790085.472778797,0.711612,0.027158,0.067662
1776790085.538661480,0.714253,0.094519,1776790085.543006420,0.725423,0.027347,0.068095
1776790085.587797165,0.723451,0.094801,1776790085.573021412,0.732449,0.027526,0.067874
1776790085.638026237,0.735782,0.095204,1776790085.633012056,0.746213,0.028058,0.067951
1776790085.688046694,0.745187,0.095530,1776790085.693002701,0.758780,0.028309,0.068582
1776790085.738705158,0.757525,0.095978,1776790085.752981663,0.772474,0.028771,0.068850
1776790085.788687944,0.766951,0.096308,1776790085.782982349,0.779740,0.028964,0.068548
1776790085.838678598,0.772089,0.096491,1776790085.853006840,0.793357,0.029250,0.070524
1776790085.888051033,0.787028,0.097042,1776790085.882824421,0.799499,0.029493,0.068691
1776790085.938182116,0.800952,0.097525,1776790085.943011999,0.812778,0.029824,0.068726
1776790085.987877846,0.810400,0.097874,1776790085.972983837,0.819331,0.029972,0.068487
1776790086.038021326,0.822777,0.098250,1776790086.032751083,0.832685,0.030341,0.068628
1776790086.088057518,0.832337,0.098529,1776790086.082977772,0.842797,0.030666,0.068664
