timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777212999.560407400,-0.138050,0.014524,1777212999.560407400,0.046245,-0.000067,0.184871
1777212999.560407400,-0.138050,0.014524,1777212999.560407400,0.046245,-0.000067,0.184871
1777212999.610402584,-0.077763,0.014070,1777212999.620297432,0.143557,0.001230,0.221692
1777212999.610402584,-0.077763,0.014070,1777212999.620297432,0.143557,0.001230,0.221692
1777212999.660400867,0.017359,0.013415,1777212999.660314083,0.238014,0.000284,0.221045
1777212999.710414886,0.068886,0.013101,1777212999.720313311,0.333816,0.000739,0.265219
1777212999.710414886,0.068886,0.013101,1777212999.720313311,0.333816,0.000739,0.265219
1777212999.760409355,0.159852,0.012671,1777212999.760414124,0.381138,0.001711,0.221557
1777212999.760409355,0.159852,0.012671,1777212999.760414124,0.381138,0.001711,0.221557
1777212999.810397863,0.258042,0.012237,1777212999.820336342,0.475825,0.000880,0.218079
1777212999.860394716,0.314908,0.011948,1777212999.860322475,0.568643,0.001191,0.253963
1777212999.910399437,0.363825,0.011601,1777212999.900714397,0.619078,0.000611,0.255490
1777212999.910399437,0.363825,0.011601,1777212999.900714397,0.619078,0.000611,0.255490
1777212999.960410833,0.455971,0.011061,1777212999.961205482,0.714297,0.001583,0.258500
1777212999.960410833,0.455971,0.011061,1777212999.961205482,0.714297,0.001583,0.258500
1777212999.985416412,0.546777,0.010456,1777212999.980314732,0.762824,0.001812,0.216220
1777213000.010413885,0.597240,0.010229,1777213000.020401001,0.809172,0.001358,0.212117
1777213000.060412645,0.646187,0.009815,1777213000.060516357,0.857851,0.001890,0.211812
1777213000.085424662,0.694421,0.009638,1777213000.080517769,0.904780,0.001990,0.210497
1777213000.085424662,0.694421,0.009638,1777213000.080517769,0.904780,0.001990,0.210497
1777213000.135409832,0.694421,0.009638,1777213000.140573978,0.999099,0.001754,0.304779
1777213000.135409832,0.694421,0.009638,1777213000.140573978,0.999099,0.001754,0.304779
1777213000.185387373,0.883346,0.008698,1777213000.180451393,1.047627,0.002651,0.164392
