timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777204394.297546387,0.106038,-0.658633,1777204394.297546387,-0.000000,0.000000,0.667114
1777204394.322550774,0.104194,-0.658486,1777204394.317297935,-0.000000,0.000000,0.666679
1777204394.322550774,0.104194,-0.658486,1777204394.317297935,-0.000000,0.000000,0.666679
1777204394.372556210,0.092754,-0.657579,1777204394.377415657,-0.019097,-0.000599,0.666433
1777204394.372556210,0.092754,-0.657579,1777204394.377415657,-0.019097,-0.000599,0.666433
1777204394.422543049,0.081127,-0.656636,1777204394.417232037,-0.041669,0.000363,0.668376
1777204394.472554207,0.055619,-0.654619,1777204394.477295637,-0.063337,0.000209,0.665545
1777204394.522555351,0.041316,-0.653486,1777204394.517243862,-0.063337,0.000209,0.662019
1777204394.522555351,0.041316,-0.653486,1777204394.517243862,-0.063337,0.000209,0.662019
1777204394.547554016,0.028568,-0.652487,1777204394.557266712,-0.099334,0.000475,0.665370
1777204394.547554016,0.028568,-0.652487,1777204394.557266712,-0.099334,0.000475,0.665370
1777204394.597554445,0.013072,-0.651284,1777204394.597224474,-0.111771,-0.000142,0.663003
1777204394.647553682,0.006701,-0.650770,1777204394.637651205,-0.124884,0.000314,0.664248
1777204394.647553682,0.006701,-0.650770,1777204394.637651205,-0.124884,0.000314,0.664248
1777204394.697564602,-0.026923,-0.648091,1777204394.697875977,-0.150521,-0.000187,0.659588
1777204394.697564602,-0.026923,-0.648091,1777204394.697875977,-0.150521,-0.000187,0.659588
1777204394.747554302,-0.056382,-0.645802,1777204394.757367849,-0.176468,0.000418,0.657283
1777204394.797553062,-0.075928,-0.644240,1777204394.797416687,-0.203774,0.000738,0.657527
1777204394.822556257,-0.084279,-0.643578,1777204394.817526102,-0.203774,0.000738,0.655304
1777204394.822556257,-0.084279,-0.643578,1777204394.817526102,-0.203774,0.000738,0.655304
1777204394.872575521,-0.104849,-0.641953,1777204394.877293825,-0.231718,0.001074,0.655423
1777204394.872575521,-0.104849,-0.641953,1777204394.877293825,-0.231718,0.001074,0.655423
1777204394.922568083,-0.129471,-0.639967,1777204394.917248249,-0.258674,0.001614,0.654461
1777204394.972569704,-0.150697,-0.638189,1777204394.977298021,-0.287041,0.001573,0.654129
1777204394.972569704,-0.150697,-0.638189,1777204394.977298021,-0.287041,0.001573,0.654129
1777204395.022572756,-0.175681,-0.636039,1777204395.017308712,-0.300422,0.001844,0.649965
1777204395.022572756,-0.175681,-0.636039,1777204395.017308712,-0.300422,0.001844,0.649965
1777204395.072572231,-0.193906,-0.634408,1777204395.077228546,-0.328062,0.002379,0.650766
1777204395.122567892,-0.202983,-0.633594,1777204395.117533684,-0.342616,0.002641,0.651377
1777204395.172578096,-0.232002,-0.630865,1777204395.177232981,-0.385726,0.004227,0.653432
1777204395.172578096,-0.232002,-0.630865,1777204395.177232981,-0.385726,0.004227,0.653432
1777204395.197571754,-0.251495,-0.628984,1777204395.197601318,-0.385726,0.004227,0.647282
1777204395.197571754,-0.251495,-0.628984,1777204395.197601318,-0.385726,0.004227,0.647282
1777204395.247561932,-0.289868,-0.625284,1777204395.257308722,-0.416593,0.003280,0.641211
1777204395.272556543,-0.300125,-0.624321,1777204395.277498960,-0.431988,0.002785,0.640819
1777204395.297564983,-0.321612,-0.622231,1777204395.297546387,-0.431988,0.002785,0.634687
1777204395.347548008,-0.331221,-0.621265,1777204395.357257843,-0.479135,0.005111,0.643603
1777204395.347548008,-0.331221,-0.621265,1777204395.357257843,-0.479135,0.005111,0.643603
1777204395.397559404,-0.357104,-0.618696,1777204395.397830725,-0.495520,0.004904,0.638777
1777204395.397559404,-0.357104,-0.618696,1777204395.397830725,-0.495520,0.004904,0.638777
1777204395.473130703,-0.396779,-0.614463,1777204395.477267265,-0.545149,0.006962,0.638892
1777204395.497571230,-0.409847,-0.613068,1777204395.497492790,-0.545149,0.006962,0.634621
1777204395.547577620,-0.430832,-0.610706,1777204395.557658434,-0.580256,0.008810,0.637282
1777204395.547577620,-0.430832,-0.610706,1777204395.557658434,-0.580256,0.008810,0.637282
1777204395.572565317,-0.467043,-0.606452,1777204395.577306032,-0.595357,0.010257,0.629916
1777204395.597567797,-0.469102,-0.606230,1777204395.597277164,-0.613329,0.011508,0.634351
1777204395.622562408,-0.480274,-0.604821,1777204395.617433071,-0.613329,0.011508,0.630527
1777204395.672579527,-0.515799,-0.600191,1777204395.677243233,-0.666294,0.013754,0.632121
1777204395.722555399,-0.525435,-0.598981,1777204395.717372894,-0.683648,0.015162,0.634195
1777204395.722555399,-0.525435,-0.598981,1777204395.717372894,-0.683648,0.015162,0.634195
1777204395.747554302,-0.553559,-0.595207,1777204395.757350922,-0.702102,0.016552,0.629535
1777204395.772560358,-0.575381,-0.592190,1777204395.777230501,-0.719448,0.017933,0.626901
1777204395.797554731,-0.592803,-0.589805,1777204395.797287464,-0.719448,0.017933,0.620793
1777204395.847558498,-0.621385,-0.585804,1777204395.857245445,-0.775409,0.021821,0.626843
1777204395.897564411,-0.625104,-0.585377,1777204395.897709846,-0.794345,0.024705,0.633122
1777204395.897564411,-0.625104,-0.585377,1777204395.897709846,-0.794345,0.024705,0.633122
1777204395.922563791,-0.651002,-0.581437,1777204395.917278528,-0.813341,0.025191,0.627974
1777204395.947559595,-0.696024,-0.574489,1777204395.957227230,-0.832073,0.027955,0.617614
1777204395.972564936,-0.717210,-0.571200,1777204395.977276087,-0.852658,0.030013,0.616282
1777204396.022551060,-0.715645,-0.571532,1777204396.017532110,-0.870956,0.032048,0.623242
1777204396.072560549,-0.743419,-0.567072,1777204396.077253580,-0.911263,0.034913,0.624947
1777204396.072560549,-0.743419,-0.567072,1777204396.077253580,-0.911263,0.034913,0.624947
1777204396.122557640,-0.772651,-0.562034,1777204396.117277145,-0.929953,0.036775,0.619125
1777204396.122557640,-0.772651,-0.562034,1777204396.117277145,-0.929953,0.036775,0.619125
1777204396.172567844,-0.811224,-0.555331,1777204396.177464485,-0.992146,0.040653,0.622840
1777204396.197560310,-0.830272,-0.551879,1777204396.197180271,-0.992146,0.040653,0.614245
1777204396.247559309,-0.858033,-0.546761,1777204396.257183075,-1.033380,0.045824,0.617983
1777204396.247559309,-0.858033,-0.546761,1777204396.257183075,-1.033380,0.045824,0.617983
1777204396.297576189,-0.896752,-0.539577,1777204396.297162056,-1.054597,0.048683,0.609069
1777204396.297576189,-0.896752,-0.539577,1777204396.297162056,-1.054597,0.048683,0.609069
1777204396.347555399,-0.942953,-0.530623,1777204396.357244730,-1.116556,0.055950,0.611723
1777204396.347555399,-0.942953,-0.530623,1777204396.357244730,-1.116556,0.055950,0.611723
1777204396.397557020,-0.980521,-0.523206,1777204396.397299767,-1.137966,0.059024,0.603142
1777204396.422562122,-1.013910,-0.516460,1777204396.417200804,-1.158118,0.062390,0.596543
1777204396.472556353,-1.027639,-0.513614,1777204396.477199793,-1.198587,0.067296,0.605540
1777204396.472556353,-1.027639,-0.513614,1777204396.477199793,-1.198587,0.067296,0.605540
1777204396.522558928,-1.064794,-0.505847,1777204396.517256498,-1.218231,0.070802,0.596713
1777204396.522558928,-1.064794,-0.505847,1777204396.517256498,-1.218231,0.070802,0.596713
1777204396.572558403,-1.094569,-0.499431,1777204396.577277899,-1.258171,0.076816,0.599021
