timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1776790079.526833773,0.997859,0.085078,1776790079.622626305,0.000000,0.000000,1.001479
1776790079.576830864,0.997859,0.085078,1776790079.622626305,0.000000,0.000000,1.001479
1776790079.626954079,0.999206,0.086104,1776790079.622626305,0.000000,0.000000,1.002909
1776790079.677237988,0.999206,0.086104,1776790079.682636738,-0.000007,-0.000055,1.002921
1776790079.726930857,0.999206,0.086104,1776790079.712620735,-0.000009,-0.000002,1.002918
1776790079.776923418,0.996884,0.085587,1776790079.772641897,-0.000004,-0.000026,1.000558
1776790079.826824665,0.996884,0.085587,1776790079.832889080,-0.000012,0.000018,1.000562
1776790079.877165079,1.000380,0.084673,1776790079.862615108,0.000023,-0.000040,1.003938
1776790079.927041054,1.000380,0.084673,1776790079.932631493,0.000010,-0.000022,1.003948
1776790079.976929903,1.000380,0.084673,1776790079.962831974,0.000040,-0.000072,1.003923
1776790080.026946306,0.996249,0.084698,1776790080.022633553,0.000026,-0.000004,0.999817
1776790080.076889277,0.996249,0.084698,1776790080.082890987,0.000036,-0.000068,0.999812
1776790080.126991272,0.996249,0.084698,1776790080.112727642,0.000015,-0.000002,0.999827
1776790080.346573114,0.996249,0.084698,1776790080.342605114,0.000013,-0.000007,0.999830
1776790080.176934958,0.998839,0.084098,1776790080.172810316,0.000005,0.000047,1.002364
1776790080.226974487,0.998839,0.084098,1776790080.212740898,0.000039,-0.000061,1.002340
1776790080.276907444,0.998495,0.084638,1776790080.272758245,0.000027,-0.000007,1.002049
1776790080.326915503,0.998495,0.084638,1776790080.332679749,0.000016,0.000000,1.002059
1776790080.376902819,0.998495,0.084638,1776790080.372803211,0.000039,0.000006,1.002036
1776790080.426938057,0.996363,0.084408,1776790080.422653913,0.000035,0.000067,0.999892
1776790080.476901531,0.996509,0.084117,1776790080.482751846,0.000032,-0.000030,1.000024
1776790080.526813507,1.002515,0.086341,1776790080.532632351,0.001273,0.000023,1.004956
1776790080.576805353,1.002515,0.086341,1776790080.582791090,0.002485,0.003350,1.003468
