timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777206619.269939899,-0.156362,-0.008659,1777206619.269939899,0.000000,0.000000,0.156602
1777206619.285478115,-0.134579,-0.008547,1777206619.289901495,0.000000,0.000000,0.134850
1777206619.314162016,-0.094324,-0.008348,1777206619.310294867,0.043103,-0.001842,0.137581
1777206619.329022408,-0.073434,-0.008244,1777206619.330137968,0.043103,-0.001842,0.116713
1777206619.349547625,-0.044403,-0.008090,1777206619.350166798,0.085216,-0.000349,0.129851
1777206619.373538494,-0.010204,-0.007900,1777206619.370274782,0.128014,-0.000009,0.138444
1777206619.397117853,0.023563,-0.007723,1777206619.390243530,0.172117,-0.000157,0.148746
1777206619.429503441,0.070338,-0.007471,1777206619.430208921,0.214751,-0.001343,0.144543
1777206619.473013163,0.134150,-0.007111,1777206619.470144510,0.259800,-0.000301,0.125834
1777206619.478253365,0.141850,-0.007053,1777206619.470144510,0.259800,-0.000301,0.118142
1777206619.509540558,0.187913,-0.006778,1777206619.509917736,0.302338,0.000242,0.114640
1777206619.521727085,0.206012,-0.006656,1777206619.529870272,0.302338,0.000242,0.096572
1777206619.549549580,0.247492,-0.006389,1777206619.550102949,0.392196,0.000186,0.144854
1777206619.564748764,0.270297,-0.006207,1777206619.570129633,0.435177,0.001302,0.165052
1777206619.589511871,0.307641,-0.005907,1777206619.590321064,0.435177,0.001302,0.127740
1777206619.609376669,0.337782,-0.005641,1777206619.610126257,0.480890,0.001681,0.143296
1777206619.629582167,0.368597,-0.005348,1777206619.630232573,0.525405,0.002261,0.156993
1777206619.669596672,0.429801,-0.004783,1777206619.670305252,0.570668,0.002357,0.141048
1777206619.715100050,0.499385,-0.004179,1777206619.711307287,0.617907,0.002371,0.118703
1777206619.749527454,0.552746,-0.003795,1777206619.750872850,0.707043,0.002429,0.154422
1777206619.757413149,0.564925,-0.003710,1777206619.750872850,0.707043,0.002429,0.142250
1777206619.797205448,0.626894,-0.003295,1777206619.790168524,0.752379,0.001951,0.125595
1777206619.805218458,0.639439,-0.003259,1777206619.809931993,0.798807,0.001905,0.159452
1777206619.829560041,0.677556,-0.002979,1777206619.829857588,0.844316,0.001837,0.166829
1777206619.844882727,0.701156,-0.002795,1777206619.850167274,0.844316,0.001837,0.143235
1777206619.869588852,0.739459,-0.002550,1777206619.870180368,0.889002,0.002224,0.149619
1777206619.909750938,0.801943,-0.002193,1777206619.910161734,0.934796,0.003020,0.132956
1777206619.953457832,0.869117,-0.001934,1777206619.950081587,1.024014,0.002645,0.154965
1777206619.996698618,0.936056,-0.001705,1777206619.990142345,1.069099,0.002814,0.133119
1777206620.005398989,0.949601,-0.001619,1777206620.009964705,1.118282,0.003655,0.168763
1777206620.029559374,0.986976,-0.001520,1777206620.029953241,1.118282,0.003655,0.131408
1777206620.048767805,1.016412,-0.001402,1777206620.049951315,1.160824,0.003342,0.144490
1777206620.069514513,1.048278,-0.001356,1777206620.070106506,1.205343,0.003803,0.157150
1777206620.092654228,1.083810,-0.001224,1777206620.090045691,1.205343,0.003803,0.121637
1777206620.109686613,1.110084,-0.001238,1777206620.110100985,1.250798,0.002900,0.140775
1777206620.150213718,1.172435,-0.001262,1777206620.150002480,1.296553,0.004119,0.124234
1777206620.195400476,1.241366,-0.001304,1777206620.189999104,1.385870,0.004047,0.144603
1777206620.229549885,1.293592,-0.001275,1777206620.230375528,1.430976,0.004995,0.137527
1777206620.239455700,1.309016,-0.001262,1777206620.230375528,1.430976,0.004995,0.122120
1777206620.270993948,1.357971,-0.001121,1777206620.270053387,1.522862,0.006025,0.165046
1777206620.287056446,1.382565,-0.001010,1777206620.289943695,1.522862,0.006025,0.140474
1777206620.315005541,1.425479,-0.000930,1777206620.310148716,1.568284,0.006635,0.143005
1777206620.324608564,1.440188,-0.000878,1777206620.330179691,1.613857,0.005055,0.173770
1777206620.349548817,1.478602,-0.000826,1777206620.350116968,1.613857,0.005055,0.135383
1777206620.389481783,1.540179,-0.000619,1777206620.390339613,1.704940,0.005984,0.164894
1777206620.416768551,1.582292,-0.000533,1777206620.410084963,1.704940,0.005984,0.122821
1777206620.429496288,1.601996,-0.000432,1777206620.430142403,1.750371,0.007211,0.148572
1777206620.475016117,1.672415,-0.000112,1777206620.470118761,1.795771,0.006484,0.123532
1777206620.516610861,1.736514,0.000107,1777206620.510103464,1.842026,0.005693,0.105659
1777206620.557916641,1.800184,0.000177,1777206620.550021410,1.932091,0.007142,0.132091
1777206620.560973406,1.804812,0.000249,1777206620.569834709,1.978624,0.006166,0.173913
1777206620.589568138,1.848813,0.000288,1777206620.590113640,1.978624,0.006166,0.129944
1777206620.604930878,1.872406,0.000572,1777206620.610104799,2.023185,0.006621,0.150900
1777206620.629568338,1.910572,0.000594,1777206620.630187035,2.068890,0.006704,0.158436
1777206620.674296379,1.979840,0.000758,1777206620.670161486,2.115168,0.005728,0.135420
1777206620.717099428,2.045666,0.000939,1777206620.710071564,2.205817,0.006377,0.160243
1777206620.717206001,2.045783,0.000940,1777206620.710071564,2.205817,0.006377,0.160127
1777206620.770044565,2.126706,0.001383,1777206620.770171642,2.251089,0.006381,0.124483
1777206620.789685965,2.157110,0.001403,1777206620.789987803,2.295492,0.005313,0.138437
1777206620.808778524,2.186571,0.001427,1777206620.810019493,2.341144,0.006269,0.154648
1777206620.829640865,2.218745,0.001513,1777206620.830117226,2.341144,0.006269,0.122491
1777206620.852764845,2.254211,0.001589,1777206620.850101233,2.386546,0.006278,0.132418
1777206620.869544744,2.279862,0.001714,1777206620.869936943,2.431767,0.007420,0.152012
1777206620.909584284,2.340696,0.001833,1777206620.909874439,2.476430,0.006529,0.135816
1777206620.949578285,2.401855,0.001851,1777206620.950104713,2.476430,0.006529,0.074722
1777206620.996228695,2.472943,0.002236,1777206620.990106344,2.612058,0.007189,0.139202
1777206621.031585217,2.527620,0.002528,1777206621.029832363,2.657205,0.006851,0.129657
1777206621.069557428,2.586477,0.002635,1777206621.070067883,2.747725,0.006752,0.161301
