timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777212999.560407400,-0.450215,0.127178,1777212999.560407400,0.046245,-0.000067,0.512507
1777212999.583049297,-0.450006,0.127159,1777212999.580225229,0.095288,0.001152,0.559664
1777212999.606883526,-0.381998,0.121130,1777212999.600225210,0.143557,0.001230,0.539058
1777212999.622245073,-0.357442,0.118978,1777212999.620297432,0.143557,0.001230,0.514650
1777212999.648403883,-0.309026,0.114490,1777212999.640498877,0.191256,0.001559,0.512870
1777212999.662216425,-0.286841,0.112569,1777212999.660314083,0.238014,0.000284,0.536732
1777212999.704584122,-0.211717,0.105817,1777212999.700418711,0.285544,-0.000925,0.508588
1777212999.742245913,-0.148339,0.100288,1777212999.740483761,0.381138,0.001711,0.538575
1777212999.753495216,-0.125857,0.098115,1777212999.760414124,0.381138,0.001711,0.516079
1777212999.784563780,-0.075537,0.093677,1777212999.780204773,0.430471,0.001670,0.514304
1777212999.796217680,-0.055874,0.091606,1777212999.800262928,0.475825,0.000880,0.539383
1777212999.822240114,-0.014354,0.087974,1777212999.820336342,0.475825,0.000880,0.497856
1777212999.840152502,0.013201,0.085379,1777212999.840530634,0.522625,-0.000837,0.516668
1777212999.862214088,0.048637,0.082380,1777212999.860322475,0.568643,0.001191,0.526306
1777212999.888513088,0.088537,0.078733,1777212999.880408049,0.568643,0.001191,0.486328
1777212999.904407501,0.114190,0.076539,1777212999.900714397,0.619078,0.000611,0.510565
1777212999.942219973,0.175276,0.071281,1777212999.940910578,0.666330,0.000382,0.496146
1777212999.989385366,0.252824,0.064183,1777212999.980314732,0.762824,0.001812,0.513800
1777213000.022284269,0.305552,0.059596,1777213000.020401001,0.809172,0.001358,0.506975
1777213000.036355495,0.328592,0.057509,1777213000.040406942,0.857851,0.001890,0.532173
1777213000.062323570,0.370417,0.053936,1777213000.060516357,0.857851,0.001890,0.490205
1777213000.080240965,0.400103,0.051551,1777213000.080517769,0.904780,0.001990,0.507104
1777213000.130714655,0.481485,0.044376,1777213000.140573978,0.999099,0.001754,0.519366
1777213000.142179728,0.501233,0.042548,1777213000.140573978,0.999099,0.001754,0.499534
1777213000.182714701,0.566607,0.036981,1777213000.180451393,1.047627,0.002651,0.482243
1777213000.222260237,0.630050,0.031428,1777213000.220281839,1.140301,0.001713,0.511115
1777213000.264347553,0.697204,0.025906,1777213000.260313034,1.187668,0.003240,0.490987
1777213000.311561584,0.774678,0.019276,1777213000.320503712,1.283775,0.004271,0.509319
1777213000.342210293,0.823967,0.015081,1777213000.340482235,1.329780,0.003424,0.505947
1777213000.360368729,0.853114,0.012608,1777213000.360520601,1.378114,0.004172,0.525068
1777213000.382747173,0.889127,0.009557,1777213000.380543232,1.378114,0.004172,0.489017
1777213000.400388002,0.917967,0.007326,1777213000.400286674,1.426500,0.004038,0.508543
1777213000.422260761,0.953260,0.004400,1777213000.420254469,1.472526,0.003666,0.519267
1777213000.444233418,0.988568,0.001470,1777213000.440606117,1.472526,0.003666,0.483963
1777213000.462240934,1.018582,-0.000781,1777213000.460521936,1.519765,0.003763,0.501203
1777213000.504141808,1.086103,-0.006253,1777213000.500825644,1.568130,0.005199,0.482164
1777213000.542230368,1.147577,-0.011422,1777213000.540302515,1.663121,0.007024,0.515874
1777213000.552233934,1.162921,-0.012847,1777213000.560476065,1.663121,0.007024,0.500595
1777213000.582606554,1.211786,-0.017027,1777213000.580312014,1.708923,0.005769,0.497660
1777213000.605656624,1.249205,-0.020842,1777213000.600480080,1.756923,0.006399,0.508448
