timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777212999.560407400,-0.199790,0.023016,1777212999.560407400,0.046245,-0.000067,0.247115
1777212999.583094120,-0.199531,0.023011,1777212999.580225229,0.095288,0.001152,0.295628
1777212999.606870890,-0.134737,0.020909,1777212999.600225210,0.143557,0.001230,0.278989
1777212999.622256279,-0.110053,0.020440,1777212999.620297432,0.143557,0.001230,0.254336
1777212999.662265062,-0.040636,0.018613,1777212999.660314083,0.238014,0.000284,0.279252
1777212999.704614401,0.034812,0.017348,1777212999.700418711,0.285544,-0.000925,0.251397
1777212999.742290497,0.098486,0.015975,1777212999.740483761,0.381138,0.001711,0.283012
1777212999.753498793,0.121358,0.015475,1777212999.760414124,0.381138,0.001711,0.260144
1777212999.784573078,0.171875,0.014503,1777212999.780204773,0.430471,0.001670,0.258914
1777212999.796275854,0.192006,0.013916,1777212999.800262928,0.475825,0.000880,0.284118
1777212999.822269917,0.233631,0.013158,1777212999.820336342,0.475825,0.000880,0.242505
1777212999.840176344,0.261572,0.012642,1777212999.840530634,0.522625,-0.000837,0.261400
1777212999.862277269,0.297194,0.012101,1777212999.860322475,0.568643,0.001191,0.271668
1777212999.904438496,0.363300,0.011143,1777212999.900714397,0.619078,0.000611,0.255995
1777212999.942253113,0.424135,0.010124,1777212999.940910578,0.666330,0.000382,0.242391
1777212999.983097076,0.489362,0.008934,1777212999.980314732,0.762824,0.001812,0.273555
1777212999.989394903,0.501661,0.008691,1777212999.980314732,0.762824,0.001812,0.261253
1777213000.022282600,0.554563,0.007790,1777213000.020401001,0.809172,0.001358,0.254690
1777213000.036357641,0.577426,0.007316,1777213000.040406942,0.857851,0.001890,0.280477
1777213000.062286377,0.619335,0.006672,1777213000.060516357,0.857851,0.001890,0.238563
1777213000.080325127,0.649245,0.006388,1777213000.080517769,0.904780,0.001990,0.255572
1777213000.142220497,0.750368,0.004842,1777213000.140573978,0.999099,0.001754,0.248750
1777213000.182641983,0.815605,0.003946,1777213000.180451393,1.047627,0.002651,0.232026
1777213000.222254038,0.879232,0.002959,1777213000.220281839,1.140301,0.001713,0.261072
1777213000.264379978,0.946721,0.002162,1777213000.260313034,1.187668,0.003240,0.240950
1777213000.302254438,1.008491,0.001237,1777213000.300259829,1.283775,0.004271,0.275301
1777213000.311592102,1.024614,0.000841,1777213000.320503712,1.283775,0.004271,0.259184
1777213000.342247486,1.074086,0.000092,1777213000.340482235,1.329780,0.003424,0.255716
1777213000.360377312,1.103325,-0.000451,1777213000.360520601,1.378114,0.004172,0.274828
1777213000.382761002,1.139471,-0.000988,1777213000.380543232,1.378114,0.004172,0.238699
1777213000.400456667,1.168732,-0.001425,1777213000.400286674,1.426500,0.004038,0.257826
1777213000.422285795,1.204072,-0.001890,1777213000.420254469,1.472526,0.003666,0.268511
1777213000.444278479,1.239838,-0.002398,1777213000.440606117,1.472526,0.003666,0.232767
1777213000.462272882,1.269990,-0.002810,1777213000.460521936,1.519765,0.003763,0.249862
1777213000.504220963,1.338066,-0.003785,1777213000.500825644,1.568130,0.005199,0.230240
1777213000.542285204,1.399711,-0.004675,1777213000.540302515,1.663121,0.007024,0.263670
1777213000.552308798,1.415452,-0.005143,1777213000.560476065,1.663121,0.007024,0.247968
1777213000.582646370,1.464433,-0.005917,1777213000.580312014,1.708923,0.005769,0.244770
1777213000.605679035,1.502083,-0.006942,1777213000.600480080,1.756923,0.006399,0.255190
1777213000.622245789,1.528783,-0.007304,1777213000.620734215,1.756923,0.006399,0.228552
1777213000.662240505,1.593177,-0.008274,1777213000.660543203,1.850898,0.007151,0.258182
1777213000.704797506,1.660949,-0.009330,1777213000.700338125,1.898068,0.005777,0.237600
1777213000.736286163,1.710801,-0.010040,1777213000.740291595,1.994819,0.007237,0.284542
1777213000.784457684,1.788752,-0.011414,1777213000.780550957,2.042395,0.008469,0.254421
1777213000.824224710,1.853246,-0.012564,1777213000.820285559,2.089419,0.006472,0.236939
1777213000.862283468,1.915061,-0.013569,1777213000.860393524,2.184521,0.006560,0.270211
1777213000.868176222,1.924311,-0.013615,1777213000.860393524,2.184521,0.006560,0.260991
1777213000.902316332,1.979396,-0.014588,1777213000.900534868,2.231033,0.007267,0.252584
1777213000.912395477,1.995050,-0.014603,1777213000.920257568,2.277852,0.008370,0.283734
1777213000.942292213,2.043336,-0.015612,1777213000.940539122,2.277852,0.008370,0.235739
1777213000.960813046,2.073250,-0.016060,1777213000.960629940,2.325206,0.009615,0.253261
1777213000.984212875,2.110795,-0.016897,1777213000.980282307,2.375093,0.009984,0.265662
1777213001.004252195,2.143022,-0.017513,1777213001.000786781,2.375093,0.009984,0.233695
1777213001.022255659,2.171858,-0.018081,1777213001.021019220,2.420621,0.009887,0.250330
1777213001.062320232,2.236393,-0.019111,1777213001.060235500,2.466656,0.009161,0.231993
1777213001.105372429,2.306871,-0.020208,1777213001.100254774,2.565124,0.007982,0.259787
1777213001.142285824,2.366622,-0.021572,1777213001.140714645,2.611558,0.009283,0.246872
1777213001.148222446,2.376584,-0.021601,1777213001.140714645,2.611558,0.009283,0.236995
1777213001.196464300,2.455523,-0.023197,1777213001.200408459,2.707500,0.009071,0.254035
1777213001.222281694,2.497605,-0.024092,1777213001.220294476,2.753202,0.010185,0.257885
1777213001.244181156,2.533251,-0.024683,1777213001.240489483,2.801078,0.008518,0.269877
1777213001.262323856,2.563059,-0.025237,1777213001.260516167,2.801078,0.008518,0.240401
1777213001.302253485,2.627123,-0.026578,1777213001.300236702,2.895430,0.009182,0.270680
1777213001.344279051,2.694822,-0.027972,1777213001.340506315,2.944297,0.010694,0.252453
1777213001.382587433,2.756135,-0.029518,1777213001.380678892,2.990746,0.011106,0.238102
1777213001.398154497,2.781600,-0.029907,1777213001.400306940,3.037042,0.011455,0.258769
1777213001.422271967,2.820279,-0.030777,1777213001.420200348,3.085673,0.011477,0.268737
1777213001.440191984,2.849300,-0.031225,1777213001.440180540,3.085673,0.011477,0.240199
1777213001.484211683,2.919262,-0.032619,1777213001.480641127,3.179342,0.013282,0.264099
1777213001.502262115,2.947916,-0.033377,1777213001.500262976,3.179342,0.013282,0.236082
1777213001.542261839,3.011611,-0.034595,1777213001.540257692,3.274606,0.011664,0.267032
1777213001.583080292,3.076967,-0.035646,1777213001.580741882,3.320134,0.010835,0.247569
1777213001.616219997,3.129981,-0.036639,1777213001.620520115,3.367316,0.011040,0.242076
1777213001.662251711,3.203066,-0.038121,1777213001.660505056,3.459427,0.010348,0.260902
1777213001.704287291,3.269422,-0.039324,1777213001.700325966,3.505121,0.011438,0.241104
1777213001.742289305,3.329337,-0.040620,1777213001.740453005,3.596158,0.011540,0.271871
1777213001.751179218,3.343533,-0.040757,1777213001.760431290,3.596158,0.011540,0.257980
1777213001.783376694,3.393882,-0.041843,1777213001.780226231,3.641776,0.010785,0.253419
1777213001.792324066,3.407925,-0.042003,1777213001.800189734,3.686231,0.012323,0.283558
1777213001.822272301,3.454213,-0.042993,1777213001.820232153,3.686231,0.012323,0.238521
1777213001.836215019,3.475377,-0.043342,1777213001.840213776,3.729781,0.012548,0.260471
1777213001.862289906,3.515126,-0.044215,1777213001.860145092,3.774621,0.012637,0.265649
1777213001.880311966,3.542196,-0.044568,1777213001.880243778,3.774621,0.012637,0.239361
1777213001.902282476,3.575397,-0.045343,1777213001.900547743,3.818194,0.012866,0.249678
1777213001.928272963,3.614689,-0.046021,1777213001.920192242,3.862189,0.012880,0.254411
1777213001.986111403,3.701114,-0.047775,1777213001.980182886,3.950025,0.013728,0.256397
1777213002.022295952,3.754049,-0.048978,1777213002.020367622,3.991883,0.013593,0.245927
1777213002.028206825,3.762803,-0.048979,1777213002.020367622,3.991883,0.013593,0.237473
1777213002.062283039,3.812191,-0.050021,1777213002.060331583,4.074236,0.013013,0.269521
1777213002.076282024,3.832158,-0.050209,1777213002.080353498,4.074236,0.013013,0.250198
1777213002.102282763,3.869108,-0.051020,1777213002.100346088,4.115678,0.014905,0.255230
1777213002.124240637,3.900470,-0.051599,1777213002.120254517,4.156775,0.015842,0.265029
1777213002.142243862,3.926116,-0.052039,1777213002.140225649,4.156775,0.015842,0.240441
1777213002.182927608,3.982714,-0.053103,1777213002.180237770,4.237394,0.015092,0.263651
1777213002.222258806,4.036523,-0.054124,1777213002.220468283,4.275994,0.014515,0.249113
1777213002.264291525,4.093500,-0.055025,1777213002.260555744,4.314810,0.013890,0.231792
1777213002.302277327,4.144541,-0.056129,1777213002.300215244,4.392724,0.014416,0.258015
1777213002.312304020,4.158014,-0.056170,1777213002.320378542,4.392724,0.014416,0.245094
