timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777204394.297546387,0.031395,-0.101160,1777204394.297546387,-0.000000,0.000000,0.105920
1777204394.349884272,0.023031,-0.098889,1777204394.357238770,-0.019097,-0.000599,0.106937
1777204394.389502048,0.007882,-0.097183,1777204394.397253513,-0.030961,0.000070,0.104723
1777204394.429886818,-0.005092,-0.097926,1777204394.437309027,-0.041669,0.000363,0.104874
1777204394.474820375,-0.019317,-0.098040,1777204394.477295637,-0.063337,0.000209,0.107660
1777204394.517596483,-0.034807,-0.098560,1777204394.517243862,-0.063337,0.000209,0.102807
1777204394.555296421,-0.048729,-0.098534,1777204394.557266712,-0.099334,0.000475,0.111192
1777204394.565039873,-0.053218,-0.099206,1777204394.557266712,-0.099334,0.000475,0.109831
1777204394.589897871,-0.062618,-0.099189,1777204394.597224474,-0.111771,-0.000142,0.110573
1777204394.605489731,-0.068466,-0.099401,1777204394.597224474,-0.111771,-0.000142,0.108295
1777204394.638389826,-0.081193,-0.099384,1777204394.637651205,-0.124884,0.000314,0.108852
1777204394.653542995,-0.087465,-0.099573,1777204394.657738924,-0.136312,-0.000331,0.110611
1777204394.669917107,-0.094028,-0.099567,1777204394.677285194,-0.150521,-0.000187,0.114314
1777204394.697673559,-0.105305,-0.099557,1777204394.697875977,-0.150521,-0.000187,0.109174
1777204394.710471392,-0.110608,-0.099531,1777204394.717312098,-0.163418,0.000599,0.113202
1777204394.753550768,-0.128775,-0.099615,1777204394.757367849,-0.176468,0.000418,0.110821
1777204394.789870262,-0.144323,-0.099608,1777204394.797416687,-0.203774,0.000738,0.116635
1777204394.811889410,-0.153369,-0.099637,1777204394.817526102,-0.203774,0.000738,0.112320
1777204394.829914093,-0.161401,-0.099630,1777204394.837292433,-0.217966,0.001306,0.115706
1777204394.842040539,-0.166214,-0.099836,1777204394.837292433,-0.217966,0.001306,0.113614
1777204394.870325565,-0.178971,-0.099819,1777204394.877293825,-0.231718,0.001074,0.113849
1777204394.886757612,-0.186518,-0.100110,1777204394.877293825,-0.231718,0.001074,0.110820
1777204394.909892559,-0.196952,-0.100083,1777204394.917248249,-0.258674,0.001614,0.118961
1777204394.934312344,-0.207749,-0.100171,1777204394.937324524,-0.258674,0.001614,0.113814
1777204394.950118303,-0.214916,-0.100135,1777204394.957277298,-0.272680,0.001414,0.116829
1777204394.977588892,-0.227644,-0.100062,1777204394.977298021,-0.287041,0.001573,0.117719
1777204394.990450621,-0.233567,-0.100025,1777204394.997306347,-0.287041,0.001573,0.114812
1777204395.034575701,-0.254472,-0.099753,1777204395.037274837,-0.313767,0.001954,0.117730
1777204395.077805996,-0.274679,-0.099509,1777204395.077228546,-0.328062,0.002379,0.115026
1777204395.109920979,-0.289778,-0.099360,1777204395.117533684,-0.342616,0.002641,0.114875
1777204395.121460438,-0.295048,-0.099173,1777204395.117533684,-0.342616,0.002641,0.112378
1777204395.149992704,-0.308762,-0.099032,1777204395.157304287,-0.371353,0.003275,0.119935
1777204395.174374819,-0.319971,-0.098539,1777204395.177232981,-0.385726,0.004227,0.122002
1777204395.190182686,-0.327672,-0.098452,1777204395.197601318,-0.385726,0.004227,0.117954
1777204395.213592529,-0.339376,-0.098070,1777204395.217675447,-0.401125,0.003330,0.118722
1777204395.229921579,-0.347497,-0.097966,1777204395.237450600,-0.416593,0.003280,0.122576
1777204395.257589102,-0.361347,-0.097603,1777204395.257308722,-0.416593,0.003280,0.115019
1777204395.271152496,-0.368400,-0.097393,1777204395.277498960,-0.431988,0.002785,0.118655
1777204395.313527346,-0.389492,-0.096929,1777204395.317290306,-0.446948,0.003219,0.115459
1777204395.349959135,-0.407841,-0.096623,1777204395.357257843,-0.479135,0.005111,0.124228
1777204395.362381220,-0.414133,-0.096350,1777204395.357257843,-0.479135,0.005111,0.120496
1777204395.393744946,-0.430442,-0.096013,1777204395.397830725,-0.495520,0.004904,0.120081
1777204395.415732384,-0.442636,-0.095559,1777204395.417291164,-0.511950,0.005749,0.122751
1777204395.434095383,-0.452501,-0.095318,1777204395.437323332,-0.511950,0.005749,0.117254
1777204395.467887878,-0.470491,-0.094783,1777204395.477267265,-0.545149,0.006962,0.126198
1777204395.509870291,-0.493226,-0.094115,1777204395.517285109,-0.562383,0.007888,0.123237
1777204395.549884319,-0.515188,-0.093354,1777204395.557658434,-0.580256,0.008810,0.121125
1777204395.592604876,-0.539237,-0.092446,1777204395.597277164,-0.613329,0.011508,0.127657
1777204395.635320663,-0.563775,-0.091409,1777204395.637237549,-0.630854,0.011754,0.123053
1777204395.677468777,-0.588041,-0.090286,1777204395.677243233,-0.666294,0.013754,0.130183
1777204395.709882975,-0.607051,-0.089366,1777204395.717372894,-0.683648,0.015162,0.129589
1777204395.729369164,-0.618025,-0.088731,1777204395.737403154,-0.683648,0.015162,0.122882
1777204395.749899864,-0.630182,-0.088093,1777204395.757350922,-0.702102,0.016552,0.126977
1777204395.769347906,-0.641804,-0.087236,1777204395.777230501,-0.719448,0.017933,0.130725
1777204395.789907932,-0.654109,-0.086540,1777204395.797287464,-0.719448,0.017933,0.123222
1777204395.809544802,-0.666128,-0.085828,1777204395.817466736,-0.737950,0.019855,0.127779
1777204395.829885960,-0.678451,-0.085078,1777204395.837503433,-0.756971,0.021602,0.132461
1777204395.853474140,-0.692717,-0.084101,1777204395.857245445,-0.775409,0.021821,0.134378
1777204395.869870186,-0.702830,-0.083446,1777204395.877330780,-0.775409,0.021821,0.127863
1777204395.898710728,-0.720523,-0.082071,1777204395.897709846,-0.794345,0.024705,0.129811
1777204395.910526514,-0.727831,-0.081567,1777204395.917278528,-0.813341,0.025191,0.136782
1777204395.955598593,-0.756141,-0.079274,1777204395.957227230,-0.832073,0.027955,0.131391
1777204395.990026712,-0.778228,-0.077500,1777204395.997514486,-0.852658,0.030013,0.130763
1777204396.030070782,-0.803370,-0.075354,1777204396.037313461,-0.891189,0.034039,0.140282
1777204396.073734045,-0.831324,-0.072808,1777204396.077253580,-0.911263,0.034913,0.134143
1777204396.120665789,-0.862523,-0.069749,1777204396.117277145,-0.929953,0.036775,0.126072
1777204396.149921417,-0.882020,-0.067945,1777204396.157471895,-0.970814,0.041187,0.140692
1777204396.174836874,-0.898677,-0.066215,1777204396.177464485,-0.992146,0.040653,0.141976
1777204396.189905882,-0.908838,-0.065218,1777204396.197180271,-0.992146,0.040653,0.134718
1777204396.209541082,-0.921977,-0.063838,1777204396.217222929,-1.012468,0.043346,0.140276
1777204396.229850531,-0.935855,-0.062423,1777204396.237187624,-1.033380,0.045824,0.145700
1777204396.258422375,-0.955217,-0.060210,1777204396.257183075,-1.033380,0.045824,0.131729
1777204396.273549795,-0.965672,-0.059094,1777204396.277174234,-1.054597,0.048683,0.139727
1777204396.309843779,-0.990539,-0.056156,1777204396.317180395,-1.054597,0.048683,0.122860
1777204396.355773211,-1.022993,-0.052366,1777204396.357244730,-1.116556,0.055950,0.143131
1777204396.397465944,-1.052375,-0.048884,1777204396.397299767,-1.137966,0.059024,0.137732
1777204396.430055380,-1.075405,-0.046120,1777204396.437188387,-1.177887,0.065171,0.151288
1777204396.441463947,-1.083442,-0.045118,1777204396.437188387,-1.177887,0.065171,0.145201
1777204396.469891787,-1.103547,-0.042611,1777204396.477199793,-1.198587,0.067296,0.145300
1777204396.485550404,-1.114478,-0.041180,1777204396.477199793,-1.198587,0.067296,0.137264
1777204396.509894133,-1.131428,-0.038954,1777204396.517256498,-1.218231,0.070802,0.139932
1777204396.538858652,-1.151621,-0.036220,1777204396.537328720,-1.241678,0.073746,0.142137
1777204396.558605194,-1.165354,-0.034310,1777204396.557281971,-1.258171,0.076816,0.144789
1777204396.589890242,-1.187263,-0.031186,1777204396.597192287,-1.277639,0.079126,0.142606
1777204396.629860401,-1.214599,-0.027211,1777204396.637477875,-1.296375,0.082235,0.136623
1777204396.669826746,-1.241605,-0.023034,1777204396.677229166,-1.333056,0.088391,0.144149
1777204396.689090252,-1.254428,-0.020931,1777204396.697283745,-1.333056,0.088391,0.134661
1777204396.710240602,-1.268275,-0.018715,1777204396.717295647,-1.351246,0.091108,0.137642
1777204396.729502201,-1.281012,-0.016608,1777204396.737288713,-1.369810,0.094976,0.142605
1777204396.749886990,-1.294190,-0.014432,1777204396.757352352,-1.369810,0.094976,0.132998
1777204396.773613453,-1.309670,-0.011691,1777204396.777322054,-1.387179,0.098266,0.134530
1777204396.790401936,-1.320182,-0.009898,1777204396.797316790,-1.387179,0.098266,0.127232
1777204396.830240011,-1.345097,-0.005515,1777204396.837205172,-1.421922,0.103742,0.133563
1777204396.874568939,-1.372592,-0.000637,1777204396.877423525,-1.441647,0.106776,0.127696
1777204396.923796415,-1.402943,0.005083,1777204396.917256594,-1.458351,0.109340,0.118065
1777204396.949962139,-1.418768,0.008007,1777204396.957213879,-1.493376,0.115669,0.130987
1777204396.975694656,-1.434262,0.011015,1777204396.977210283,-1.509518,0.118901,0.131541
1777204396.985826254,-1.440494,0.012335,1777204396.977210283,-1.509518,0.118901,0.126967
1777204397.029869556,-1.466549,0.017411,1777204397.037354946,-1.525611,0.122533,0.120578
1777204397.072776556,-1.491755,0.022481,1777204397.077530384,-1.525611,0.122533,0.105625
1777204397.119301796,-1.518916,0.028067,1777204397.117252827,-1.574946,0.132586,0.118589
1777204397.150091410,-1.536395,0.031598,1777204397.157226801,-1.606477,0.139661,0.128799
1777204397.186092854,-1.556425,0.035752,1777204397.177364111,-1.622275,0.142544,0.125462
1777204397.249402046,-1.591339,0.043160,1777204397.257294655,-1.652625,0.149829,0.123022
1777204397.316344500,-1.627713,0.050938,1777204397.317180395,-1.682552,0.156876,0.119290
1777204397.355123520,-1.648558,0.055712,1777204397.357258320,-1.711082,0.163695,0.124778
1777204397.397471666,-1.670502,0.060629,1777204397.397230625,-1.724965,0.166724,0.119258
1777204397.429974079,-1.686827,0.064326,1777204397.437224388,-1.739381,0.170353,0.118337
1777204397.441533089,-1.692765,0.065717,1777204397.437224388,-1.739381,0.170353,0.114550
1777204397.469890356,-1.706776,0.068927,1777204397.477285862,-1.752785,0.173837,0.114556
1777204397.485590935,-1.714544,0.070745,1777204397.477285862,-1.752785,0.173837,0.109956
1777204397.513367653,-1.727799,0.073823,1777204397.517244577,-1.781972,0.179242,0.118523
1777204397.531774998,-1.737121,0.076075,1777204397.537235260,-1.781972,0.179242,0.112495
1777204397.549885988,-1.745807,0.078121,1777204397.557181835,-1.796135,0.182851,0.116195
1777204397.573496342,-1.757314,0.080917,1777204397.577210426,-1.809464,0.186615,0.117864
1777204397.597110033,-1.768502,0.083575,1777204397.597184420,-1.823171,0.189884,0.119542
1777204397.617514849,-1.778221,0.085952,1777204397.617202520,-1.823171,0.189884,0.113236
1777204397.635150909,-1.786506,0.087930,1777204397.637214422,-1.823171,0.189884,0.108346
1777204397.679810286,-1.807594,0.093126,1777204397.677206039,-1.863376,0.199681,0.120273
1777204397.716786146,-1.824796,0.097404,1777204397.717186213,-1.876135,0.203699,0.118043
1777204397.757534266,-1.843971,0.102054,1777204397.757169247,-1.890366,0.207061,0.114800
1777204397.806378841,-1.866635,0.107612,1777204397.797187090,-1.917752,0.213816,0.117865
1777204397.829917431,-1.877427,0.110168,1777204397.837252855,-1.917752,0.213816,0.111216
1777204397.853722095,-1.888978,0.112955,1777204397.857204914,-1.947820,0.220479,0.122572
1777204397.874098063,-1.898478,0.115193,1777204397.877207279,-1.947820,0.220479,0.116275
1777204397.897541046,-1.909627,0.117820,1777204397.897183657,-1.961648,0.224398,0.118596
1777204397.909896374,-1.915550,0.119194,1777204397.917181969,-1.976985,0.227084,0.124154
1777204397.949923515,-1.935242,0.123781,1777204397.957224846,-1.992667,0.230932,0.121570
1777204398.016045332,-1.968185,0.131482,1777204398.017750740,-2.023265,0.237930,0.119853
1777204398.031083822,-1.976456,0.133460,1777204398.037227869,-2.039881,0.241070,0.124911
1777204398.073457241,-1.998515,0.138422,1777204398.077197075,-2.039881,0.241070,0.110669
1777204398.117516279,-2.021891,0.143624,1777204398.117213964,-2.088948,0.252358,0.127748
1777204398.150025368,-2.039394,0.147402,1777204398.157200575,-2.105486,0.255403,0.126619
1777204398.174543381,-2.052934,0.150429,1777204398.177193880,-2.121910,0.259193,0.128792
1777204398.174641848,-2.053080,0.150570,1777204398.177193880,-2.121910,0.259193,0.128594
1777204398.206409931,-2.071025,0.154554,1777204398.197195768,-2.121910,0.259193,0.116355
1777204398.249520540,-2.095130,0.159680,1777204398.257370949,-2.155402,0.265633,0.121896
1777204398.273557663,-2.109011,0.162539,1777204398.277315617,-2.171849,0.269052,0.123668
1777204398.293502569,-2.120413,0.164986,1777204398.297204256,-2.188784,0.271832,0.126849
1777204398.310122252,-2.129773,0.166883,1777204398.317251682,-2.188784,0.271832,0.120402
1777204398.350089073,-2.152379,0.171671,1777204398.357167721,-2.223490,0.278352,0.128209
1777204398.389857531,-2.175520,0.176400,1777204398.397230625,-2.241730,0.281954,0.124601
1777204398.430722713,-2.199474,0.181197,1777204398.437148333,-2.258847,0.284572,0.119212
1777204398.441804171,-2.206280,0.182567,1777204398.437148333,-2.258847,0.284572,0.114753
1777204398.469907522,-2.223039,0.185753,1777204398.477162600,-2.295590,0.291795,0.128486
1777204398.511565208,-2.248000,0.190522,1777204398.517184019,-2.314069,0.295326,0.123892
