timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777206619.269939899,-0.189859,-0.079860,1777206619.269939899,0.000000,0.000000,0.205971
1777206619.319953442,-0.119558,-0.078266,1777206619.310294867,0.043103,-0.001842,0.179720
1777206619.370012522,-0.071260,-0.077153,1777206619.370274782,0.128014,-0.000009,0.213686
1777206619.370012522,-0.071260,-0.077153,1777206619.370274782,0.128014,-0.000009,0.213686
1777206619.419949532,0.003381,-0.075412,1777206619.409860134,0.172117,-0.000157,0.184757
1777206619.419949532,0.003381,-0.075412,1777206619.409860134,0.172117,-0.000157,0.184757
1777206619.444966555,0.081443,-0.073529,1777206619.450132132,0.259800,-0.000301,0.192804
1777206619.469960690,0.126989,-0.072499,1777206619.470144510,0.259800,-0.000301,0.151166
1777206619.519941807,0.174128,-0.071469,1777206619.529870272,0.302338,0.000242,0.146902
1777206619.569966078,0.213565,-0.070530,1777206619.570129633,0.435177,0.001302,0.232963
1777206619.569966078,0.213565,-0.070530,1777206619.570129633,0.435177,0.001302,0.232963
1777206619.594947815,0.301672,-0.068426,1777206619.590321064,0.435177,0.001302,0.150618
1777206619.619984150,0.347098,-0.067328,1777206619.610126257,0.480890,0.001681,0.150541
1777206619.669945002,0.389523,-0.066095,1777206619.670305252,0.570668,0.002357,0.193647
1777206619.719950199,0.433424,-0.065069,1777206619.711307287,0.617907,0.002371,0.196423
1777206619.745035172,0.478697,-0.064047,1777206619.750872850,0.707043,0.002429,0.237825
1777206619.745035172,0.478697,-0.064047,1777206619.750872850,0.707043,0.002429,0.237825
1777206619.794954062,0.559007,-0.062153,1777206619.790168524,0.752379,0.001951,0.203720
1777206619.794954062,0.559007,-0.062153,1777206619.790168524,0.752379,0.001951,0.203720
1777206619.844953537,0.658024,-0.060395,1777206619.850167274,0.844316,0.001837,0.196412
1777206619.844953537,0.658024,-0.060395,1777206619.850167274,0.844316,0.001837,0.196412
1777206619.894938469,0.750135,-0.058445,1777206619.889880657,0.934796,0.003020,0.194623
1777206619.944932699,0.797136,-0.057290,1777206619.950081587,1.024014,0.002645,0.234661
1777206619.944932699,0.797136,-0.057290,1777206619.950081587,1.024014,0.002645,0.234661
1777206619.994935989,0.887706,-0.055324,1777206619.990142345,1.069099,0.002814,0.190482
1777206619.994935989,0.887706,-0.055324,1777206619.990142345,1.069099,0.002814,0.190482
1777206620.044932842,0.983316,-0.053190,1777206620.049951315,1.160824,0.003342,0.186293
1777206620.094948530,1.025112,-0.052401,1777206620.090045691,1.205343,0.003803,0.188790
1777206620.144962311,1.061956,-0.051462,1777206620.150002480,1.296553,0.004119,0.241091
1777206620.144962311,1.061956,-0.051462,1777206620.150002480,1.296553,0.004119,0.241091
1777206620.169939280,1.151154,-0.049827,1777206620.170161963,1.341394,0.003625,0.197607
1777206620.169939280,1.151154,-0.049827,1777206620.170161963,1.341394,0.003625,0.197607
1777206620.219941854,1.245466,-0.047796,1777206620.210405588,1.430976,0.004995,0.192875
1777206620.244946241,1.291370,-0.046839,1777206620.250232935,1.478831,0.005567,0.194648
1777206620.294938803,1.327871,-0.046176,1777206620.289943695,1.522862,0.006025,0.201858
1777206620.319963694,1.383950,-0.045181,1777206620.310148716,1.568284,0.006635,0.191479
1777206620.369941711,1.425179,-0.044339,1777206620.370298862,1.660305,0.006859,0.240636
1777206620.369941711,1.425179,-0.044339,1777206620.370298862,1.660305,0.006859,0.240636
1777206620.419959307,1.525755,-0.042121,1777206620.410084963,1.704940,0.005984,0.185530
1777206620.419959307,1.525755,-0.042121,1777206620.410084963,1.704940,0.005984,0.185530
1777206620.469952583,1.605690,-0.040533,1777206620.470118761,1.795771,0.006484,0.195809
1777206620.469952583,1.605690,-0.040533,1777206620.470118761,1.795771,0.006484,0.195809
1777206620.519929171,1.700548,-0.038710,1777206620.510103464,1.842026,0.005693,0.148282
1777206620.544942617,1.742701,-0.037892,1777206620.550021410,1.932091,0.007142,0.194670
1777206620.594941616,1.783025,-0.037103,1777206620.590113640,1.978624,0.006166,0.200327
1777206620.594941616,1.783025,-0.037103,1777206620.590113640,1.978624,0.006166,0.200327
1777206620.669934511,1.885521,-0.034959,1777206620.670161486,2.115168,0.005728,0.233223
1777206620.669934511,1.885521,-0.034959,1777206620.670161486,2.115168,0.005728,0.233223
1777206620.719937086,1.972024,-0.033358,1777206620.710071564,2.205817,0.006377,0.237146
1777206620.719937086,1.972024,-0.033358,1777206620.710071564,2.205817,0.006377,0.237146
1777206620.769948483,2.073348,-0.031605,1777206620.770171642,2.251089,0.006381,0.181754
1777206620.769948483,2.073348,-0.031605,1777206620.770171642,2.251089,0.006381,0.181754
1777206620.794934750,2.145039,-0.030363,1777206620.789987803,2.295492,0.005313,0.154625
1777206620.844937325,2.208455,-0.029009,1777206620.850101233,2.386546,0.006278,0.181553
1777206620.894942999,2.253545,-0.028194,1777206620.889901161,2.476430,0.006529,0.225574
1777206620.894942999,2.253545,-0.028194,1777206620.889901161,2.476430,0.006529,0.225574
1777206620.944941998,2.341336,-0.026772,1777206620.950104713,2.476430,0.006529,0.139138
1777206620.944941998,2.341336,-0.026772,1777206620.950104713,2.476430,0.006529,0.139138
1777206620.994952440,2.432116,-0.025267,1777206620.990106344,2.612058,0.007189,0.182845
1777206621.019958258,2.479500,-0.024477,1777206621.010139704,2.612058,0.007189,0.136287
1777206621.094977856,2.528287,-0.023550,1777206621.090335131,2.793380,0.007510,0.266906
1777206621.094977856,2.528287,-0.023550,1777206621.090335131,2.793380,0.007510,0.266906
1777206621.119974375,2.611918,-0.022167,1777206621.129791260,2.840020,0.007367,0.230006
1777206621.119974375,2.611918,-0.022167,1777206621.129791260,2.840020,0.007367,0.230006
1777206621.169957876,2.697261,-0.020820,1777206621.169842482,2.884406,0.006874,0.189184
1777206621.194949865,2.752135,-0.019831,1777206621.189845562,2.928839,0.007172,0.178754
1777206621.219940662,2.796973,-0.019096,1777206621.229867697,2.975000,0.008930,0.180220
1777206621.294937849,2.829397,-0.018801,1777206621.289799452,3.063920,0.009417,0.236214
1777206621.319949150,2.878561,-0.017863,1777206621.329793453,3.155705,0.008472,0.278393
1777206621.319949150,2.878561,-0.017863,1777206621.329793453,3.155705,0.008472,0.278393
1777206621.344940662,2.975837,-0.016063,1777206621.349848032,3.155705,0.008472,0.181533
1777206621.344940662,2.975837,-0.016063,1777206621.349848032,3.155705,0.008472,0.181533
1777206621.394938469,3.057974,-0.014537,1777206621.389871836,3.245686,0.008989,0.189180
1777206621.419962645,3.103504,-0.013793,1777206621.429834604,3.291098,0.008988,0.188972
1777206621.469934225,3.157756,-0.013169,1777206621.470393181,3.335471,0.008742,0.179061
1777206621.494943142,3.200911,-0.012352,1777206621.489850044,3.381331,0.009765,0.181771
1777206621.544952154,3.236916,-0.011760,1777206621.549837112,3.471794,0.009342,0.235825
1777206621.544952154,3.236916,-0.011760,1777206621.549837112,3.471794,0.009342,0.235825
1777206621.594935894,3.338889,-0.009898,1777206621.589826107,3.563884,0.008674,0.225761
1777206621.594935894,3.338889,-0.009898,1777206621.589826107,3.563884,0.008674,0.225761
1777206621.644955873,3.424588,-0.008468,1777206621.649856806,3.610089,0.007782,0.186212
1777206621.644955873,3.424588,-0.008468,1777206621.649856806,3.610089,0.007782,0.186212
1777206621.694941282,3.502036,-0.007426,1777206621.689931631,3.698809,0.007341,0.197326
1777206621.744972706,3.558918,-0.006381,1777206621.749952316,3.790022,0.007657,0.231530
1777206621.744972706,3.558918,-0.006381,1777206621.749952316,3.790022,0.007657,0.231530
1777206621.794963121,3.650741,-0.005423,1777206621.790757418,3.835665,0.007506,0.185376
1777206621.794963121,3.650741,-0.005423,1777206621.790757418,3.835665,0.007506,0.185376
1777206621.844937563,3.744152,-0.004284,1777206621.849909067,3.926701,0.008002,0.182963
1777206621.869951487,3.783993,-0.003817,1777206621.869916677,3.972693,0.007805,0.189057
1777206621.869951487,3.783993,-0.003817,1777206621.869916677,3.972693,0.007805,0.189057
1777206621.919935465,3.870273,-0.002662,1777206621.910183191,3.972693,0.007805,0.102953
1777206621.944940805,3.920061,-0.001995,1777206621.950167656,4.107715,0.007861,0.187912
1777206621.969941139,3.969999,-0.001375,1777206621.970218420,4.107715,0.007861,0.138025
1777206622.019942760,4.011808,-0.000764,1777206622.009866714,4.197316,0.007431,0.185688
1777206622.069936752,4.058603,-0.000056,1777206622.070575953,4.290694,0.007575,0.232217
1777206622.069936752,4.058603,-0.000056,1777206622.070575953,4.290694,0.007575,0.232217
1777206622.119942188,4.139774,0.001029,1777206622.110363960,4.335322,0.007722,0.195663
1777206622.119942188,4.139774,0.001029,1777206622.110363960,4.335322,0.007722,0.195663
1777206622.169944763,4.231715,0.002514,1777206622.170461655,4.423605,0.009788,0.192028
1777206622.219931602,4.282933,0.003275,1777206622.209856033,4.469740,0.010867,0.186961
1777206622.219931602,4.282933,0.003275,1777206622.209856033,4.469740,0.010867,0.186961
1777206622.244940996,4.362928,0.004506,1777206622.249853849,4.561798,0.009955,0.198945
1777206622.269935131,4.411947,0.005204,1777206622.270183325,4.604109,0.009744,0.192216
1777206622.294941187,4.456496,0.005873,1777206622.289940119,4.604109,0.009744,0.147664
1777206622.344936848,4.522818,0.006849,1777206622.349828720,4.697480,0.010932,0.174710
1777206622.344936848,4.522818,0.006849,1777206622.349828720,4.697480,0.010932,0.174710
1777206622.394906521,4.607003,0.008124,1777206622.389833927,4.785740,0.011192,0.178763
1777206622.419946671,4.651317,0.008785,1777206622.409798384,4.830127,0.009214,0.178810
1777206622.444951057,4.682975,0.009195,1777206622.449829817,4.875266,0.009924,0.192293
1777206622.494938612,4.738889,0.009802,1777206622.490091801,4.920376,0.011041,0.181491
1777206622.544943094,4.791011,0.010263,1777206622.549871683,5.011148,0.010281,0.220137
1777206622.544943094,4.791011,0.010263,1777206622.549871683,5.011148,0.010281,0.220137
1777206622.594934940,4.875773,0.011483,1777206622.589804649,5.103183,0.010830,0.227411
1777206622.594934940,4.875773,0.011483,1777206622.589804649,5.103183,0.010830,0.227411
1777206622.644941092,4.959094,0.012846,1777206622.650394440,5.147798,0.010202,0.188722
1777206622.644941092,4.959094,0.012846,1777206622.650394440,5.147798,0.010202,0.188722
1777206622.694939137,5.049808,0.014002,1777206622.689861774,5.237091,0.012197,0.187292
1777206622.744968176,5.110592,0.014750,1777206622.750105381,5.327980,0.011156,0.217418
1777206622.744968176,5.110592,0.014750,1777206622.750105381,5.327980,0.011156,0.217418
1777206622.794928312,5.186696,0.015978,1777206622.789890289,5.373842,0.012678,0.187175
1777206622.794928312,5.186696,0.015978,1777206622.789890289,5.373842,0.012678,0.187175
1777206622.844940662,5.286571,0.017105,1777206622.850250483,5.466267,0.012049,0.179767
1777206622.894933462,5.335028,0.017780,1777206622.889813662,5.557714,0.012770,0.222743
1777206622.919930458,5.368875,0.018119,1777206622.929875374,5.603693,0.013077,0.234872
1777206622.919930458,5.368875,0.018119,1777206622.929875374,5.603693,0.013077,0.234872
1777206622.969936848,5.459669,0.019186,1777206622.970030069,5.648756,0.012623,0.189201
1777206622.969936848,5.459669,0.019186,1777206622.970030069,5.648756,0.012623,0.189201
1777206623.019944191,5.561601,0.020893,1777206623.009876251,5.694740,0.013077,0.133368
1777206623.044943094,5.605509,0.021585,1777206623.049889803,5.784960,0.015075,0.179569
1777206623.094944954,5.648613,0.022166,1777206623.090166330,5.828897,0.014901,0.180431
1777206623.094944954,5.648613,0.022166,1777206623.090166330,5.828897,0.014901,0.180431
1777206623.144947767,5.736934,0.023134,1777206623.149830580,5.962360,0.014639,0.225587
1777206623.144947767,5.736934,0.023134,1777206623.149830580,5.962360,0.014639,0.225587
1777206623.194939852,5.828993,0.024535,1777206623.190375566,6.005726,0.015297,0.176974
1777206623.244942427,5.872121,0.025179,1777206623.249844313,6.095664,0.015123,0.223769
1777206623.244942427,5.872121,0.025179,1777206623.249844313,6.095664,0.015123,0.223769
1777206623.294945478,5.959862,0.026324,1777206623.289867163,6.139962,0.015326,0.180436
1777206623.294945478,5.959862,0.026324,1777206623.289867163,6.139962,0.015326,0.180436
1777206623.344953537,6.054724,0.027609,1777206623.349913120,6.230547,0.016206,0.176193
1777206623.369928122,6.097736,0.028190,1777206623.369878769,6.275738,0.016285,0.178400
1777206623.369928122,6.097736,0.028190,1777206623.369878769,6.275738,0.016285,0.178400
1777206623.419942856,6.184317,0.029407,1777206623.429892302,6.360372,0.016079,0.176558
1777206623.444935322,6.232007,0.030138,1777206623.450317860,6.404850,0.016812,0.173356
1777206623.494931221,6.275310,0.030866,1777206623.490154505,6.446035,0.015984,0.171373
1777206623.519940615,6.314008,0.031399,1777206623.510096073,6.446035,0.015984,0.132924
1777206623.519940615,6.314008,0.031399,1777206623.510096073,6.446035,0.015984,0.132924
1777206623.569938660,6.406983,0.032449,1777206623.569910765,6.568732,0.016633,0.162520
1777206623.594930887,6.446726,0.032972,1777206623.589877844,6.609202,0.016135,0.163346
1777206623.619939804,6.494776,0.033604,1777206623.609846115,6.609202,0.016135,0.115752
1777206623.694938421,6.531299,0.034285,1777206623.689811468,6.727455,0.016879,0.196927
1777206623.694938421,6.531299,0.034285,1777206623.689811468,6.727455,0.016879,0.196927
1777206623.719928980,6.612035,0.035579,1777206623.710374117,6.764647,0.017213,0.153714
1777206623.744941473,6.650185,0.036176,1777206623.750226498,6.802101,0.018578,0.152932
1777206623.769940138,6.687730,0.036680,1777206623.769928694,6.839648,0.016518,0.153251
1777206623.819925785,6.733617,0.037332,1777206623.810631275,6.875789,0.018615,0.143398
1777206623.819925785,6.733617,0.037332,1777206623.810631275,6.875789,0.018615,0.143398
1777206623.869937181,6.806294,0.038053,1777206623.870699406,6.947263,0.019216,0.142222
1777206623.894943476,6.844583,0.038381,1777206623.890119076,6.982883,0.018803,0.139679
1777206623.919937134,6.881510,0.038784,1777206623.910098791,6.982883,0.018803,0.103323
1777206623.969949722,6.920490,0.039201,1777206623.970469236,7.084838,0.018643,0.165629
1777206624.019947052,6.955381,0.039573,1777206624.010112047,7.084838,0.018643,0.131138
1777206624.019947052,6.955381,0.039573,1777206624.010112047,7.084838,0.018643,0.131138
1777206624.069948673,7.021559,0.040426,1777206624.070127249,7.183296,0.018836,0.163171
1777206624.069948673,7.021559,0.040426,1777206624.070127249,7.183296,0.018836,0.163171
1777206624.119939327,7.021559,0.040426,1777206624.110128164,7.214710,0.018480,0.194393
1777206624.119939327,7.021559,0.040426,1777206624.110128164,7.214710,0.018480,0.194393
1777206624.169927359,7.161722,0.042421,1777206624.170086622,7.279625,0.018558,0.120293
1777206624.219942808,7.192501,0.042885,1777206624.210095882,7.312973,0.018820,0.122852
1777206624.219942808,7.192501,0.042885,1777206624.210095882,7.312973,0.018820,0.122852
1777206624.269949675,7.255509,0.043746,1777206624.269823074,7.410141,0.018287,0.156714
