timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777292801.724171162,-0.032512,-0.020169,1777292801.814501286,0.000000,-0.000000,0.038259
1777292801.774244547,-0.032512,-0.020169,1777292801.814501286,0.000000,-0.000000,0.038259
1777292801.824260235,-0.032512,-0.020169,1777292801.824542046,0.000018,0.000001,0.038275
1777292801.874135494,-0.032512,-0.020169,1777292801.844520330,-0.000012,0.000032,0.038267
1777292801.924160480,-0.032512,-0.020169,1777292801.994508743,0.000013,-0.000008,0.038266
1777292801.974172354,-0.032512,-0.020169,1777292801.994508743,0.000013,-0.000008,0.038266
1777292802.024297237,-0.032512,-0.020169,1777292802.024481773,0.000047,0.000041,0.038321
1777292802.074306011,-0.032512,-0.020169,1777292802.074558020,0.000050,0.000010,0.038308
1777292802.124143124,-0.032512,-0.020169,1777292802.084493876,0.000007,0.000080,0.038308
1777292802.174170971,-0.032512,-0.020169,1777292802.244513988,0.000030,0.000048,0.038310
1777292802.224174261,-0.032512,-0.020169,1777292802.244513988,0.000030,0.000048,0.038310
1777292802.274299145,-0.032512,-0.020169,1777292802.284505367,0.000029,0.000065,0.038319
1777292802.324202776,-0.032512,-0.020169,1777292802.314497232,0.000031,0.000078,0.038327
1777292802.374141693,-0.032512,-0.020169,1777292802.354497194,-0.000001,0.000062,0.038292
1777292802.424156189,-0.032512,-0.020169,1777292802.354497194,-0.000001,0.000062,0.038292
1777292802.474172115,-0.032512,-0.020169,1777292802.504560232,0.000019,0.000042,0.038298
1777292802.524308681,-0.032512,-0.020169,1777292802.524491072,0.000009,0.000016,0.038276
1777292802.574218035,-0.032512,-0.020169,1777292802.584491968,-0.000001,0.000073,0.038297
1777292802.624144793,-0.032512,-0.020169,1777292802.584491968,-0.000001,0.000073,0.038297
1777292802.674132824,-0.032512,-0.020169,1777292802.754519224,0.000008,0.000009,0.038271
1777292802.724158049,-0.032512,-0.020169,1777292802.754519224,0.000008,0.000009,0.038271
1777292802.774211407,-0.032512,-0.020169,1777292802.764497757,0.000028,0.000014,0.038290
1777292802.824174404,-0.032512,-0.020169,1777292802.824490309,0.000027,0.000005,0.038285
1777292802.874135494,-0.032512,-0.020169,1777292802.824490309,0.000027,0.000005,0.038285
1777292802.924139261,-0.032512,-0.020169,1777292803.004486322,-0.000001,0.000043,0.038281
1777292802.974161863,-0.032512,-0.020169,1777292803.004486322,-0.000001,0.000043,0.038281
1777292803.024169683,-0.032512,-0.020169,1777292803.024480581,0.000004,0.000063,0.038296
1777292803.074172497,-0.032512,-0.020169,1777292803.074491024,0.000017,-0.000029,0.038259
1777292803.124128103,-0.032512,-0.020169,1777292803.094492674,-0.000010,0.000064,0.038285
1777292803.174169779,-0.032512,-0.020169,1777292803.094492674,-0.000010,0.000064,0.038285
1777292803.224146366,-0.032512,-0.020169,1777292803.254508018,-0.000007,0.000044,0.038276
1777292803.274272919,-0.032512,-0.020169,1777292803.274495125,0.000039,0.000007,0.038297
1777292803.324206591,-0.032512,-0.020169,1777292803.324531317,0.000015,0.000016,0.038281
1777292803.374168634,-0.032512,-0.020169,1777292803.354493380,0.000029,-0.000017,0.038275
1777292803.424171448,-0.032512,-0.020169,1777292803.354493380,0.000029,-0.000017,0.038275
1777292803.474145651,-0.032512,-0.020169,1777292803.504484415,-0.000001,0.000049,0.038285
1777292803.524226189,-0.032512,-0.020169,1777292803.524502754,0.000029,0.000044,0.038307
1777292803.574221849,-0.032512,-0.020169,1777292803.564479589,-0.000013,0.000053,0.038276
1777292803.624146461,-0.032512,-0.020169,1777292803.594491720,-0.000005,0.000079,0.038297
1777292803.674140692,-0.032512,-0.020169,1777292803.594491720,-0.000005,0.000079,0.038297
1777292803.724161625,-0.032512,-0.020169,1777292803.754464149,0.000018,0.000037,0.038295
1777292803.774242401,-0.032512,-0.020169,1777292803.784464121,0.000020,0.000055,0.038305
1777292803.824198723,-0.032512,-0.020169,1777292803.814494133,0.000002,0.000092,0.038310
1777292803.874099970,-0.032512,-0.020169,1777292803.844486237,0.000013,0.000045,0.038294
1777292803.924161911,-0.032512,-0.020169,1777292803.844486237,0.000013,0.000045,0.038294
1777292803.974100828,-0.032512,-0.020169,1777292804.014482498,0.000027,-0.000035,0.038264
1777292804.024259567,-0.032512,-0.020169,1777292804.014554262,0.000017,0.000043,0.038296
1777292804.074115276,-0.032512,-0.020169,1777292804.064486980,-0.000001,0.000049,0.038285
1777292804.124153614,-0.032512,-0.020169,1777292804.124496937,-0.000019,0.000065,0.038277
1777292804.174042940,-0.032512,-0.020169,1777292804.164502621,-0.000000,0.000040,0.038280
1777292804.224148035,-0.032512,-0.020169,1777292804.214473963,-0.000014,-0.000014,0.038240
1777292804.274189234,-0.032512,-0.020169,1777292804.274475574,-0.000011,0.000025,0.038263
1777292804.324172974,-0.032512,-0.020169,1777292804.324485540,-0.000015,0.000025,0.038259
1777292804.374138832,-0.032512,-0.020169,1777292804.364464998,0.000029,0.000028,0.038299
1777292804.424147129,-0.032512,-0.020169,1777292804.414480925,0.000013,0.000022,0.038282
1777292804.474134207,-0.032512,-0.020169,1777292804.474470615,0.000024,0.000035,0.038298
1777292804.524151325,-0.032512,-0.020169,1777292804.524462223,0.000048,0.000011,0.038306
1777292804.574282646,-0.032512,-0.020169,1777292804.564471245,0.000026,0.000026,0.038295
1777292804.624139071,-0.032512,-0.020169,1777292804.614684820,0.000013,0.000028,0.038285
1777292804.674164772,-0.032512,-0.020169,1777292804.674480677,-0.000017,0.000014,0.038253
1777292804.724167585,-0.032512,-0.020169,1777292804.724476814,-0.000002,0.000034,0.038275
1777292804.774241209,-0.032512,-0.020169,1777292804.774459839,0.000003,-0.000039,0.038241
1777292804.824232817,-0.032512,-0.020169,1777292804.864493132,-0.000010,0.000057,0.038281
