timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777296810.110987186,-0.056720,0.044811,1777296810.173035860,0.000000,0.000000,0.072285
1777296810.160934448,-0.056720,0.044811,1777296810.173035860,0.000000,0.000000,0.072285
1777296810.210946798,-0.056720,0.044811,1777296810.213032961,0.000000,-0.000095,0.072344
1777296810.260945559,-0.056720,0.044811,1777296810.263043642,0.000024,-0.000158,0.072402
1777296810.310959101,-0.056720,0.044811,1777296810.313034058,0.000041,0.000057,0.072282
1777296810.360938072,-0.056720,0.044811,1777296810.353037119,-0.000106,0.000018,0.072191
1777296810.410952330,-0.056720,0.044811,1777296810.403021097,-0.000044,0.000004,0.072248
1777296810.460922718,-0.056720,0.044811,1777296810.463040829,-0.000038,0.000041,0.072230
1777296810.511601925,-0.056720,0.044811,1777296810.513033867,-0.000068,-0.000075,0.072279
1777296810.561578751,-0.056720,0.044811,1777296810.563047886,-0.000026,0.000081,0.072214
1777296810.610944271,-0.056720,0.044811,1777296810.603035450,-0.000010,0.000000,0.072277
1777296810.660940170,-0.056720,0.044811,1777296810.653043985,-0.000034,0.000026,0.072242
1777296810.710950375,-0.056720,0.044811,1777296810.713063240,0.000053,-0.000092,0.072384
1777296810.761598110,-0.056720,0.044811,1777296810.763039589,0.000060,-0.000038,0.072355
1777296810.811665773,-0.056720,0.044811,1777296810.803104401,-0.000116,0.000112,0.072124
1777296810.860865116,-0.056720,0.044811,1777296810.853049517,-0.000004,-0.000026,0.072298
1777296810.910934448,-0.056720,0.044811,1777296810.903024197,0.000050,0.000045,0.072296
1777296810.960890532,-0.056720,0.044811,1777296810.963040352,0.000065,0.000013,0.072328
1777296811.011592865,-0.056720,0.044811,1777296811.023080349,0.000022,-0.000127,0.072381
1777296811.061571598,-0.056720,0.044811,1777296811.053030729,0.000002,0.000084,0.072235
1777296811.110945463,-0.056720,0.044811,1777296811.113076448,0.000004,-0.000078,0.072337
1777296811.160966873,-0.056720,0.044811,1777296811.143145800,-0.000111,-0.000095,0.072257
1777296811.210968256,-0.056720,0.044811,1777296811.213106871,-0.000030,0.000025,0.072246
1777296811.261041880,-0.056720,0.044811,1777296811.273330927,0.000038,0.000047,0.072286
1777296811.310984612,-0.056720,0.044811,1777296811.303112268,0.000065,-0.000030,0.072355
1777296811.361270428,-0.056720,0.044811,1777296811.363126040,-0.000012,-0.000018,0.072287
1777296811.411060810,-0.056720,0.044811,1777296811.403111458,-0.000096,-0.000041,0.072235
1777296811.460802555,-0.056720,0.044811,1777296811.453068256,-0.000108,0.000077,0.072153
1777296811.511033773,-0.056720,0.044811,1777296811.523057222,-0.000069,0.000058,0.072195
1777296811.561076641,-0.056720,0.044811,1777296811.553057909,-0.000024,0.000069,0.072224
1777296811.611646652,-0.056720,0.044811,1777296811.613073587,0.000014,0.000026,0.072280
1777296811.661698341,-0.056720,0.044811,1777296811.673038960,0.000055,-0.000011,0.072335
1777296811.711692572,-0.056720,0.044811,1777296811.703492880,0.000041,-0.000013,0.072325
1777296811.760927916,-0.056720,0.044811,1777296811.763031721,0.000034,0.000019,0.072300
1777296811.811012268,-0.056720,0.044811,1777296811.813024759,-0.000007,-0.000012,0.072287
1777296811.861638308,-0.056720,0.044811,1777296811.863019466,0.000010,-0.000080,0.072343
1777296811.911724329,-0.056720,0.044811,1777296811.903094769,0.000038,-0.000014,0.072324
1777296811.961731434,-0.056720,0.044811,1777296811.953095675,0.000026,0.000026,0.072290
1777296812.011494398,-0.056720,0.044811,1777296812.013041735,0.000058,0.000046,0.072303
1777296812.061658859,-0.056720,0.044811,1777296812.063043356,-0.000003,-0.000050,0.072314
1777296812.111051321,-0.056720,0.044811,1777296812.113128424,-0.000126,-0.000072,0.072231
1777296812.161041975,-0.056720,0.044811,1777296812.153028011,0.000014,0.000036,0.072274
1777296812.210991383,-0.056720,0.044811,1777296812.213035583,0.000090,-0.000017,0.072366
1777296812.260815859,-0.056720,0.044811,1777296812.263119221,0.000034,-0.000023,0.072326
1777296812.310973406,-0.056720,0.044811,1777296812.313021898,-0.000063,0.000074,0.072190
1777296812.360873938,-0.056720,0.044811,1777296812.353021383,-0.000003,0.000036,0.072260
1777296812.411017895,-0.056720,0.044811,1777296812.413192987,0.000027,-0.000090,0.072362
1777296812.461010695,-0.056720,0.044811,1777296812.463168144,0.000008,-0.000165,0.072394
1777296812.511073828,-0.056720,0.044811,1777296812.513113737,0.000059,-0.000036,0.072354
1777296812.561069489,-0.056720,0.044811,1777296812.553144217,0.000033,0.000158,0.072213
1777296812.611108541,-0.056720,0.044811,1777296812.603178024,-0.000005,-0.000012,0.072289
1777296812.661945343,-0.056720,0.044811,1777296812.663387060,-0.000001,0.000026,0.072269
1777296812.711671829,-0.056720,0.044811,1777296812.713345289,0.000051,-0.000018,0.072336
1777296812.761035681,-0.056720,0.044811,1777296812.763176203,0.000068,-0.000118,0.072412
1777296812.811009645,-0.056720,0.044811,1777296812.803136826,0.000052,0.000006,0.072323
1777296812.861037016,-0.056720,0.044811,1777296812.863121986,0.000089,0.000018,0.072343
1777296812.911026478,-0.056720,0.044811,1777296812.903108835,0.000025,0.000076,0.072257
1777296812.961010218,-0.056720,0.044811,1777296812.963545322,-0.000034,0.000183,0.072145
1777296813.011059999,-0.056720,0.044811,1777296813.023323059,-0.000010,-0.000148,0.072369
1777296813.061020374,-0.056720,0.044811,1777296813.053318262,0.000046,0.000009,0.072316
1777296813.110983372,-0.056720,0.044811,1777296813.113316059,0.000010,-0.000048,0.072322
1777296813.161003828,-0.056720,0.044811,1777296813.173103809,0.000008,0.000027,0.072275
1777296813.211035967,-0.056720,0.044811,1777296813.213325262,0.000054,-0.000112,0.072398
1777296813.260813475,-0.056720,0.044811,1777296813.273025274,0.000052,0.000033,0.072306
1777296813.310810328,-0.056720,0.044811,1777296813.303028584,0.000017,0.000157,0.072201
1777296813.360798120,-0.056720,0.044811,1777296813.363027811,0.000034,0.000014,0.072303
1777296813.411030769,-0.056720,0.044811,1777296813.423125505,0.000254,0.000021,0.072472
1777296813.461261511,-0.056720,0.044811,1777296813.453131676,0.000049,-0.000953,0.072918
1777296813.511071205,-0.056720,0.044811,1777296813.523108721,0.002431,-0.001896,0.075368
1777296813.560858965,-0.056720,0.044811,1777296813.553028107,0.002301,-0.001608,0.075088
1777296813.611510992,-0.056140,0.044773,1777296813.613027573,0.003952,-0.001933,0.076109
1777296813.661493063,-0.056140,0.044773,1777296813.653031826,0.005077,-0.002232,0.077182
1777296813.711735249,-0.055121,0.044708,1777296813.703409672,0.007229,-0.003693,0.078932
1777296813.760984898,-0.053923,0.044631,1777296813.763107061,0.008415,-0.003790,0.078935
1777296813.810813189,-0.052879,0.044556,1777296813.813024282,0.006225,-0.003755,0.076336
1777296813.860894203,-0.052257,0.044511,1777296813.863028049,0.009250,-0.004153,0.078430
1777296813.910808563,-0.050351,0.044364,1777296813.903020620,0.007858,-0.004052,0.075712
1777296813.960809231,-0.047556,0.044149,1777296813.963025331,0.010855,-0.006111,0.077058
1777296814.010860205,-0.045497,0.043993,1777296814.013024569,0.014300,-0.003905,0.076616
1777296814.060858965,-0.042903,0.043805,1777296814.083015680,0.016437,-0.004424,0.076467
1777296814.111005068,-0.040907,0.043661,1777296814.103027344,0.014972,-0.004063,0.073485
1777296814.160807848,-0.038148,0.043466,1777296814.153025389,0.018323,-0.004591,0.074152
1777296814.210808754,-0.035541,0.043285,1777296814.213031530,0.021450,-0.004784,0.074556
1777296814.260872126,-0.032081,0.043046,1777296814.263024092,0.024465,-0.004787,0.074064
1777296814.310855627,-0.029232,0.042848,1777296814.313024998,0.027063,-0.005474,0.074190
1777296814.360869169,-0.025781,0.042598,1777296814.353024006,0.030864,-0.005495,0.074307
1777296814.411486387,-0.022827,0.042388,1777296814.413028002,0.034868,-0.005406,0.074920
1777296814.461492538,-0.019138,0.042132,1777296814.463028193,0.035751,-0.007467,0.073979
1777296814.510807991,-0.015283,0.041868,1777296814.513059378,0.040914,-0.005972,0.073802
1777296814.560832500,-0.012298,0.041659,1777296814.553026915,0.042177,-0.006980,0.073029
1777296814.611061573,-0.009534,0.041468,1777296814.603196621,0.047509,-0.006472,0.074513
1777296814.661060095,-0.005291,0.041184,1777296814.653319120,0.050740,-0.006035,0.073274
1777296814.710969448,-0.000176,0.040850,1777296814.713171959,0.055061,-0.006917,0.073026
1777296814.760864496,0.003880,0.040594,1777296814.773027420,0.060676,-0.006550,0.073812
1777296814.810858488,0.007408,0.040348,1777296814.803025723,0.063490,-0.006951,0.073365
1777296814.860853910,0.012309,0.039996,1777296814.863027096,0.069536,-0.007358,0.074279
1777296814.910179138,0.017819,0.039608,1777296814.923026085,0.073995,-0.007767,0.073486
1777296814.960181713,0.021959,0.039299,1777296814.953026056,0.076560,-0.007724,0.072058
1777296815.010805130,0.026977,0.038932,1777296815.023027420,0.082764,-0.008133,0.072988
1777296815.060806990,0.031076,0.038653,1777296815.053025961,0.084139,-0.008048,0.070687
1777296815.111050606,0.036114,0.038309,1777296815.113323450,0.091587,-0.008645,0.072677
1777296815.160361767,0.040634,0.038000,1777296815.173114061,0.097870,-0.008702,0.073873
1777296815.210345745,0.046447,0.037591,1777296815.203110218,0.100606,-0.008976,0.071426
1777296815.260348558,0.051536,0.037227,1777296815.263010740,0.107493,-0.009103,0.072647
1777296815.310178280,0.054441,0.037015,1777296815.293025494,0.110908,-0.009673,0.073269
1777296815.360350132,0.061634,0.036476,1777296815.373123646,0.113028,-0.009926,0.069242
