timestamp_s,x_est,y_est,timestamp_gt_s,x_gt,y_gt,error_m
1777212999.560407400,-0.468860,0.127915,1777212999.560407400,0.046245,-0.000067,0.530766
1777212999.560551167,-0.446582,0.126054,1777212999.560407400,0.046245,-0.000067,0.508709
1777212999.583275318,-0.446336,0.126033,1777212999.580225229,0.095288,0.001152,0.555835
1777212999.607071638,-0.378379,0.120005,1777212999.600225210,0.143557,0.001230,0.535280
1777212999.622481585,-0.353746,0.117845,1777212999.620297432,0.143557,0.001230,0.510792
1777212999.648617744,-0.305373,0.113351,1777212999.640498877,0.191256,0.001559,0.509056
1777212999.662462950,-0.283136,0.111417,1777212999.660314083,0.238014,0.000284,0.532868
1777212999.696597815,-0.221334,0.105817,1777212999.700418711,0.285544,-0.000925,0.517995
1777212999.704803228,-0.208074,0.104664,1777212999.700418711,0.285544,-0.000925,0.504784
1777212999.740564585,-0.147805,0.099407,1777212999.740483761,0.381138,0.001711,0.537890
1777212999.753750086,-0.122177,0.096959,1777212999.760414124,0.381138,0.001711,0.512248
1777212999.796561480,-0.052069,0.090438,1777212999.800262928,0.475825,0.000880,0.535437
1777212999.822467566,-0.010737,0.086794,1777212999.820336342,0.475825,0.000880,0.494089
1777212999.840587378,0.017119,0.084168,1777212999.840530634,0.522625,-0.000837,0.512603
1777212999.862597704,0.052468,0.081104,1777212999.860322475,0.568643,0.001191,0.522325
1777212999.888963938,0.092446,0.077487,1777212999.880408049,0.568643,0.001191,0.482270
1777212999.904613018,0.117698,0.075266,1777212999.900714397,0.619078,0.000611,0.506908
1777212999.940387249,0.175601,0.070287,1777212999.940910578,0.666330,0.000382,0.495684
1777212999.942446709,0.178812,0.070001,1777212999.940910578,0.666330,0.000382,0.492465
1777212999.989584446,0.256303,0.062879,1777212999.980314732,0.762824,0.001812,0.510188
1777213000.036598444,0.332140,0.056136,1777213000.040406942,0.857851,0.001890,0.528502
1777213000.080415487,0.402104,0.050108,1777213000.080517769,0.904780,0.001990,0.504973
1777213000.080551386,0.403761,0.050175,1777213000.080517769,0.904780,0.001990,0.503330
1777213000.136207819,0.495317,0.041893,1777213000.140573978,0.999099,0.001754,0.505378
1777213000.142441273,0.504805,0.041064,1777213000.140573978,0.999099,0.001754,0.495854
1777213000.177034140,0.560621,0.036262,1777213000.180451393,1.047627,0.002651,0.488164
1777213000.182945967,0.570130,0.035426,1777213000.180451393,1.047627,0.002651,0.478621
1777213000.220411062,0.630221,0.030094,1777213000.220281839,1.140301,0.001713,0.510869
1777213000.222561836,0.633682,0.029794,1777213000.220281839,1.140301,0.001713,0.507397
1777213000.264682293,0.700888,0.024270,1777213000.260313034,1.187668,0.003240,0.487234
1777213000.311747074,0.778127,0.017650,1777213000.320503712,1.283775,0.004271,0.505826
1777213000.342441320,0.827481,0.013360,1777213000.340482235,1.329780,0.003424,0.502397
1777213000.360807419,0.856954,0.010874,1777213000.360520601,1.378114,0.004172,0.521203
1777213000.400506258,0.920343,0.005719,1777213000.400286674,1.426500,0.004038,0.506160
1777213000.400617361,0.921479,0.005663,1777213000.400286674,1.426500,0.004038,0.505023
1777213000.422581673,0.956914,0.002647,1777213000.420254469,1.472526,0.003666,0.515614
1777213000.457883358,1.014662,-0.001896,1777213000.460521936,1.519765,0.003763,0.505135
1777213000.462598562,1.022287,-0.002542,1777213000.460521936,1.519765,0.003763,0.497518
1777213000.504375458,1.089603,-0.008075,1777213000.500825644,1.568130,0.005199,0.478711
1777213000.552592993,1.166613,-0.014737,1777213000.560476065,1.663121,0.007024,0.496985
1777213000.582900524,1.215370,-0.018962,1777213000.580312014,1.708923,0.005769,0.494172
1777213000.605886936,1.252697,-0.022700,1777213000.600480080,1.756923,0.006399,0.505065
1777213000.622456551,1.279308,-0.024960,1777213000.620734215,1.756923,0.006399,0.478643
1777213000.648410320,1.320795,-0.028475,1777213000.640494108,1.804248,0.007555,0.484794
1777213000.662505627,1.343323,-0.030389,1777213000.660543203,1.850898,0.007151,0.508961
1777213000.692608833,1.390814,-0.034454,1777213000.700338125,1.898068,0.005777,0.508847
1777213000.705017328,1.410674,-0.036179,1777213000.700338125,1.898068,0.005777,0.489197
1777213000.736602545,1.460396,-0.040151,1777213000.740291595,1.994819,0.007237,0.536520
1777213000.780468225,1.530362,-0.046188,1777213000.780550957,2.042395,0.008469,0.514942
1777213000.784648418,1.538001,-0.046660,1777213000.780550957,2.042395,0.008469,0.507398
1777213000.824380875,1.602180,-0.052217,1777213000.820285559,2.089419,0.006472,0.490760
